term,relative_frequency
ahmte,0.004464285714285714
stimme,0.008928571428571428
oh,0.004464285714285714
professor,0.022321428571428572
mache,0.004464285714285714
sorgen,0.004464285714285714
glaube,0.004464285714285714
frage,0.004464285714285714
vierzehn,0.004464285714285714
b,0.004464285714285714
falsch,0.004464285714285714
beantwortet,0.004464285714285714
ach,0.004464285714285714
hör,0.004464285714285714
sagte,0.013392857142857142
einverstanden,0.004464285714285714
überwachen,0.004464285714285714
begann,0.004464285714285714
erzählen,0.004464285714285714
unterbrach,0.004464285714285714
wissen,0.004464285714285714
schon,0.004464285714285714
gehört,0.004464285714285714
heute,0.004464285714285714
morgen,0.004464285714285714
gesagt,0.004464285714285714
geholt,0.004464285714285714
kurz,0.004464285714285714
bevor,0.004464285714285714
gekommen,0.004464285714285714
kaum,0.004464285714285714
vernehmlich,0.004464285714285714
recht,0.004464285714285714
gehabt,0.004464285714285714
prüfte,0.004464285714285714
tatsächlich,0.004464285714285714
aufmunterungszaubern,0.004464285714285714
grunde,0.004464285714285714
gar,0.004464285714285714
schwer,0.004464285714285714
versuchte,0.004464285714285714
aufzumuntern,0.004464285714285714
unterricht,0.004464285714285714
hinausgingen,0.004464285714285714
ganzen,0.004464285714285714
stunde,0.004464285714285714
irgendwelche,0.004464285714285714
gegenstände,0.004464285714285714
durchs,0.004464285714285714
zimmer,0.004464285714285714
hände,0.004464285714285714
fliegen,0.004464285714285714
lassen,0.004464285714285714
wäre,0.004464285714285714
merkwürdiger,0.004464285714285714
magnet,0.004464285714285714
tafelschwämme,0.004464285714285714
papierkörbe,0.004464285714285714
lunaskope,0.004464285714285714
ertönte,0.004464285714285714
quiekende,0.004464285714285714
dünne,0.004464285714285714
schraken,0.004464285714285714
zusammen,0.004464285714285714
lehrerzimmer,0.004464285714285714
offensichtlich,0.004464285714285714
mehr,0.004464285714285714
frei,0.004464285714285714
reden,0.004464285714285714
leise,0.004464285714285714
drei,0.004464285714285714
tages,0.004464285714285714
dicht,0.004464285714285714
aneinandergedrängten,0.004464285714285714
professoren,0.004464285714285714
sprout,0.004464285714285714
vorbeikamen,0.004464285714285714
