term,relative_frequency
ungefähr,0.002652519893899204
drei,0.005305039787798408
meter,0.007957559681697613
entfernt,0.002652519893899204
hob,0.002652519893899204
langen,0.002652519893899204
abgebrochenen,0.002652519893899204
ast,0.005305039787798408
boden,0.007957559681697613
lächelte,0.002652519893899204
schulter,0.002652519893899204
beruhigend,0.002652519893899204
versetzte,0.002652519893899204
GRAWP,0.034482758620689655
astspitze,0.002652519893899204
harten,0.002652519893899204
stich,0.002652519893899204
mitten,0.002652519893899204
rücken,0.002652519893899204
unterdessen,0.002652519893899204
erhob,0.002652519893899204
gigantische,0.002652519893899204
erbebte,0.002652519893899204
gewaltiger,0.002652519893899204
hand,0.005305039787798408
darauf,0.002652519893899204
abstützte,0.002652519893899204
knie,0.005305039787798408
stemmen,0.002652519893899204
ach,0.002652519893899204
lass,0.002652519893899204
stöhnte,0.002652519893899204
bereits,0.002652519893899204
erhoben,0.002652519893899204
stach,0.002652519893899204
scharf,0.002652519893899204
sagte,0.005305039787798408
hastete,0.002652519893899204
hinüber,0.002652519893899204
is,0.005305039787798408
schoss,0.002652519893899204
einzig,0.002652519893899204
allein,0.002652519893899204
spiel,0.002652519893899204
reden,0.002652519893899204
schwierig,0.002652519893899204
gelegenheit,0.002652519893899204
finden,0.002652519893899204
erwähnen,0.002652519893899204
konnten,0.005305039787798408
knapp,0.002652519893899204
fünf,0.002652519893899204
groß,0.005305039787798408
macht,0.002652519893899204
spaß,0.002652519893899204
sechs,0.002652519893899204
hohe,0.002652519893899204
kiefern,0.002652519893899204
auszureißen,0.002652519893899204
kennt,0.002652519893899204
schnaubte,0.002652519893899204
namen,0.002652519893899204
nahm,0.002652519893899204
pfad,0.002652519893899204
gefolgt,0.002652519893899204
besuchen,0.002652519893899204
jahren,0.002652519893899204
unterschlupf,0.002652519893899204
monsters,0.002652519893899204
aragog,0.002652519893899204
gegangen,0.002652519893899204
lag,0.002652519893899204
lief,0.002652519893899204
hastig,0.002652519893899204
zwei,0.002652519893899204
dicke,0.002652519893899204
baumstämme,0.002652519893899204
bedrohlich,0.002652519893899204
auseinanderbogen,0.002652519893899204
unförmige,0.002652519893899204
gestalt,0.002652519893899204
riesen,0.002652519893899204
dazwischen,0.002652519893899204
erschien,0.002652519893899204
spürte,0.002652519893899204
schlotterte,0.002652519893899204
erneut,0.002652519893899204
mund,0.002652519893899204
weit,0.002652519893899204
öffnete,0.002652519893899204
tiefer,0.002652519893899204
polternder,0.002652519893899204
stimme,0.002652519893899204
schrie,0.002652519893899204
stampfte,0.002652519893899204
riesigen,0.002652519893899204
füßen,0.002652519893899204
zentauren,0.002652519893899204
stoben,0.002652519893899204
davon,0.002652519893899204
tropfen,0.002652519893899204
blut,0.002652519893899204
kieselsteine,0.002652519893899204
prasselten,0.002652519893899204
herab,0.002652519893899204
füße,0.002652519893899204
zog,0.002652519893899204
beiden,0.002652519893899204
schnell,0.002652519893899204
schutz,0.002652519893899204
bäume,0.005305039787798408
rannten,0.002652519893899204
sahen,0.002652519893899204
zorn,0.002652519893899204
aufbrüllte,0.002652519893899204
nachstürzte,0.002652519893899204
wobei,0.002652519893899204
mehr,0.002652519893899204
beiseiteschlug,0.002652519893899204
