term,relative_frequency
gekreischt,0.0015060240963855422
erscheinen,0.0015060240963855422
artikel,0.0015060240963855422
ersten,0.0015060240963855422
mal,0.0030120481927710845
begegnet,0.0015060240963855422
rief,0.0015060240963855422
vergnügt,0.0015060240963855422
machte,0.004518072289156626
fand,0.0015060240963855422
magische,0.0015060240963855422
geschöpfe,0.0030120481927710845
wohl,0.0015060240963855422
spannend,0.0015060240963855422
sagen,0.0015060240963855422
erklärte,0.0030120481927710845
letzten,0.0015060240963855422
stunde,0.0015060240963855422
pflege,0.0015060240963855422
magischer,0.0015060240963855422
weihnachten,0.0015060240963855422
fragten,0.0015060240963855422
interview,0.0015060240963855422
gelaufen,0.0015060240963855422
setz,0.0015060240963855422
dummes,0.0015060240963855422
kleines,0.0015060240963855422
gör,0.0015060240963855422
red,0.0015060240963855422
dinge,0.0015060240963855422
denen,0.0015060240963855422
verstehst,0.0015060240963855422
sagte,0.007530120481927711
kühl,0.0015060240963855422
musterte,0.0015060240963855422
harten,0.0015060240963855422
ausdruck,0.0015060240963855422
augen,0.0030120481927710845
zustande,0.0015060240963855422
bringt,0.0015060240963855422
allmählich,0.0015060240963855422
langweilig,0.0015060240963855422
warf,0.0015060240963855422
hexenwoche,0.0015060240963855422
immer,0.0030120481927710845
kichernd,0.0015060240963855422
leeren,0.0015060240963855422
stuhl,0.0015060240963855422
neben,0.0015060240963855422
bat,0.0015060240963855422
tatsächlich,0.0015060240963855422
hilfe,0.0015060240963855422
rachefeldzug,0.0015060240963855422
wofür,0.0015060240963855422
beide,0.0015060240963855422
dankbar,0.0015060240963855422
wochen,0.0015060240963855422
osterferien,0.0015060240963855422
stöhnten,0.0015060240963855422
lauter,0.0015060240963855422
wachsenden,0.0015060240963855422
berg,0.0015060240963855422
arbeit,0.0015060240963855422
kamen,0.0015060240963855422
setzten,0.0015060240963855422
unterhaltung,0.0015060240963855422
spaß,0.0015060240963855422
beinahe,0.0015060240963855422
fühlte,0.0015060240963855422
wäre,0.0015060240963855422
fuchsbau,0.0015060240963855422
vergaß,0.0015060240963855422
völlig,0.0015060240963855422
abendliche,0.0015060240963855422
aufgabe,0.0015060240963855422
sorgen,0.0015060240963855422
erst,0.0015060240963855422
auftauchte,0.0015060240963855422
nachdem,0.0015060240963855422
schon,0.0015060240963855422
halb,0.0015060240963855422
aufgegessen,0.0015060240963855422
fiel,0.0015060240963855422
ja,0.0015060240963855422
geistesblitz,0.0015060240963855422
gehabt,0.0015060240963855422
rätsel,0.0015060240963855422
lösen,0.0015060240963855422
oh,0.0015060240963855422
seit,0.0015060240963855422
dritten,0.0015060240963855422
runde,0.0015060240963855422
mehr,0.0015060240963855422
geschrieben,0.0015060240963855422
merkwürdig,0.0015060240963855422
verhaltenem,0.0015060240963855422
ton,0.0015060240963855422
