term,relative_frequency
VOLDEMORT,0.01863932898415657
falschen,0.0006213109661385523
erwischt,0.00031065548306927616
sagte,0.005902454178316247
wirt,0.0006213109661385523
stellte,0.00031065548306927616
salon,0.00031065548306927616
drei,0.0009319664492078285
tische,0.00031065548306927616
zusammen,0.0006213109661385523
sieben,0.00031065548306927616
weasleys,0.00031065548306927616
futterten,0.00031065548306927616
fünf,0.0006213109661385523
leckere,0.00031065548306927616
gänge,0.00031065548306927616
lord,0.0009319664492078285
knecht,0.00031065548306927616
schrie,0.0009319664492078285
dalag,0.00031065548306927616
dunkelheit,0.0015532774153463808
spürte,0.0012426219322771047
plötzlich,0.0006213109661385523
zorn,0.0006213109661385523
hass,0.0006213109661385523
aufsteigen,0.00031065548306927616
mr,0.00031065548306927616
mrs,0.00031065548306927616
longbottom,0.00031065548306927616
gefoltert,0.00031065548306927616
erinnerte,0.0006213109661385523
menge,0.00031065548306927616
gejubelt,0.00031065548306927616
crouchs,0.00031065548306927616
sohn,0.00031065548306927616
gefährten,0.00031065548306927616
dementoren,0.0006213109661385523
gericht,0.00031065548306927616
gezerrt,0.00031065548306927616
wurden,0.00031065548306927616
konnte,0.0031065548306927616
nachfühlen,0.00031065548306927616
milchig,0.00031065548306927616
weiße,0.00031065548306927616
gesicht,0.0006213109661385523
schreienden,0.00031065548306927616
jungen,0.00031065548306927616
jähem,0.00031065548306927616
schreck,0.00031065548306927616
fiel,0.00031065548306927616
junge,0.00031065548306927616
jahr,0.0009319664492078285
später,0.00031065548306927616
gestorben,0.00031065548306927616
dachte,0.00031065548306927616
starrte,0.00031065548306927616
baldachin,0.00031065548306927616
bettes,0.00031065548306927616
alldem,0.0006213109661385523
steckte,0.00031065548306927616
familien,0.00031065548306927616
auseinandergerissen,0.00031065548306927616
all,0.0012426219322771047
leben,0.0009319664492078285
zerstört,0.0006213109661385523
hätten,0.0006213109661385523
eigentlich,0.0006213109661385523
prüfungen,0.00031065548306927616
lernen,0.00031065548306927616
sollen,0.0006213109661385523
letzten,0.0012426219322771047
standen,0.00031065548306927616
tag,0.0006213109661385523
dritten,0.0006213109661385523
runde,0.00031065548306927616
größten,0.00031065548306927616
teil,0.00031065548306927616
kräfte,0.00031065548306927616
verwandten,0.00031065548306927616
darauf,0.0012426219322771047
vorbereitung,0.00031065548306927616
letzte,0.0006213109661385523
aufgabe,0.00031065548306927616
helfen,0.00031065548306927616
letztes,0.00031065548306927616
narbe,0.0009319664492078285
geschmerzt,0.00031065548306927616
obwohl,0.00031065548306927616
niemand,0.0006213109661385523
berührt,0.00031065548306927616
hätte,0.0015532774153463808
tun,0.0006213109661385523
momenten,0.00031065548306927616
fühlte,0.0012426219322771047
ja,0.0012426219322771047
meinte,0.00031065548306927616
sei,0.0006213109661385523
immer,0.0027958993476234857
passiert,0.00031065548306927616
