term,relative_frequency
KRUMMBEIN,0.027874564459930314
sagte,0.006968641114982578
rot,0.003484320557491289
löffel,0.003484320557491289
weglegte,0.003484320557491289
gespräch,0.003484320557491289
rundum,0.003484320557491289
ruhiger,0.003484320557491289
geworden,0.003484320557491289
lehnte,0.003484320557491289
stuhl,0.003484320557491289
zurück,0.003484320557491289
wirkte,0.003484320557491289
satt,0.003484320557491289
entspannt,0.003484320557491289
normalen,0.003484320557491289
nase,0.003484320557491289
gähnte,0.003484320557491289
herzhaft,0.003484320557491289
anrichte,0.003484320557491289
hervorgelockt,0.003484320557491289
saß,0.006968641114982578
schneidersitz,0.003484320557491289
boden,0.003484320557491289
warf,0.003484320557491289
butterbierkorken,0.003484320557491289
fangen,0.003484320557491289
kürbiskuchen,0.003484320557491289
aufgegessen,0.003484320557491289
tauschten,0.003484320557491289
eifrig,0.003484320557491289
schokofroschkarten,0.003484320557491289
abteiltür,0.003484320557491289
aufglitt,0.003484320557491289
beiden,0.006968641114982578
hereinkamen,0.003484320557491289
begleitet,0.003484320557491289
schrill,0.003484320557491289
käfig,0.003484320557491289
schreienden,0.003484320557491289
PIDWIDGEON,0.006968641114982578
tauchte,0.003484320557491289
gerade,0.003484320557491289
menge,0.003484320557491289
hielt,0.003484320557491289
widerspenstigen,0.003484320557491289
geklammert,0.003484320557491289
blickte,0.003484320557491289
hinüber,0.003484320557491289
schoß,0.003484320557491289
plauderte,0.003484320557491289
vergnügt,0.003484320557491289
zwei,0.003484320557491289
stricknadeln,0.003484320557491289
blitzend,0.003484320557491289
luft,0.003484320557491289
tanzten,0.003484320557491289
paar,0.003484320557491289
unförmiger,0.003484320557491289
elfensocken,0.003484320557491289
strickten,0.003484320557491289
lieber,0.003484320557491289
mrs,0.003484320557491289
weasley,0.003484320557491289
steckte,0.003484320557491289
kopf,0.003484320557491289
zimmer,0.003484320557491289
partie,0.003484320557491289
zaubererschach,0.003484320557491289
spielten,0.003484320557491289
zusahen,0.003484320557491289
würdest,0.003484320557491289
bitte,0.003484320557491289
küche,0.003484320557491289
runterkommen,0.003484320557491289
ministeriumswagen,0.003484320557491289
fuhren,0.003484320557491289
eingang,0.003484320557491289
fuchsbaus,0.003484320557491289
schon,0.003484320557491289
warteten,0.003484320557491289
koffer,0.003484320557491289
gepackt,0.003484320557491289
katze,0.003484320557491289
sicher,0.003484320557491289
reisekörbchen,0.003484320557491289
untergebracht,0.003484320557491289
HEDWIG,0.003484320557491289
eule,0.003484320557491289
neuer,0.003484320557491289
lila,0.003484320557491289
minimuff,0.006968641114982578
käfigen,0.003484320557491289
richtung,0.003484320557491289
getränketisch,0.003484320557491289
verdrückte,0.003484320557491289
stieß,0.003484320557491289
geradewegs,0.003484320557491289
zusammen,0.003484320557491289
schulter,0.003484320557491289
deren,0.003484320557491289
füßen,0.003484320557491289
hoffnungsvoll,0.003484320557491289
miaute,0.003484320557491289
