term,relative_frequency
mach,0.0020920502092050207
sorgen,0.0020920502092050207
KRUMMBEIN,0.03765690376569038
schläft,0.0020920502092050207
schlafsaal,0.0020920502092050207
KRAETZE,0.03347280334728033
problem,0.0020920502092050207
kreischte,0.0020920502092050207
ganze,0.0020920502092050207
gemeinschaftsraum,0.0020920502092050207
sah,0.0020920502092050207
wirbelte,0.0020920502092050207
tasche,0.0041841004184100415
kreis,0.0020920502092050207
herum,0.0020920502092050207
ließ,0.0041841004184100415
locker,0.0020920502092050207
kam,0.0041841004184100415
oben,0.0020920502092050207
herausgeflogen,0.0020920502092050207
schrie,0.0041841004184100415
überreste,0.0020920502092050207
liegen,0.0020920502092050207
tisch,0.0020920502092050207
sprang,0.0041841004184100415
panisch,0.0020920502092050207
davonrasenden,0.0020920502092050207
nachjagte,0.0020920502092050207
machte,0.0020920502092050207
hechtsprung,0.0020920502092050207
verfehlte,0.0020920502092050207
knapp,0.0020920502092050207
huschte,0.0020920502092050207
zwanzig,0.0020920502092050207
paar,0.0020920502092050207
beine,0.0020920502092050207
verschwand,0.0020920502092050207
alten,0.0020920502092050207
kommode,0.0041841004184100415
schlitternd,0.0020920502092050207
halt,0.0020920502092050207
legte,0.0020920502092050207
kopf,0.0041841004184100415
boden,0.006276150627615063
haute,0.0020920502092050207
zornig,0.0020920502092050207
tatzen,0.0020920502092050207
rannten,0.0020920502092050207
herbei,0.0020920502092050207
packte,0.0041841004184100415
bauch,0.0020920502092050207
hob,0.0020920502092050207
hoch,0.0020920502092050207
warf,0.0041841004184100415
zog,0.0020920502092050207
großer,0.0020920502092050207
mühe,0.0020920502092050207
schwanz,0.0041841004184100415
hervor,0.0020920502092050207
riechen,0.0020920502092050207
glaubst,0.0020920502092050207
kater,0.008368200836820083
abgesehen,0.0020920502092050207
los,0.0020920502092050207
zieh,0.0020920502092050207
ab,0.0020920502092050207
fügte,0.0020920502092050207
hinzu,0.0020920502092050207
schubste,0.0020920502092050207
fuß,0.006276150627615063
wendeltreppe,0.0020920502092050207
hinunter,0.0020920502092050207
lass,0.0020920502092050207
ruhe,0.0020920502092050207
brüllte,0.0020920502092050207
schlafanzug,0.0020920502092050207
zerfetzte,0.0020920502092050207
verzweifelten,0.0020920502092050207
fluchtversuch,0.0020920502092050207
schultern,0.0020920502092050207
unternahm,0.0020920502092050207
trat,0.0020920502092050207
jedoch,0.0020920502092050207
vergeblich,0.0020920502092050207
traf,0.0041841004184100415
koffer,0.0020920502092050207
bett,0.0020920502092050207
rauchte,0.0020920502092050207
immer,0.0020920502092050207
zorn,0.0020920502092050207
wegen,0.0020920502092050207
neuerlichem,0.0020920502092050207
versuch,0.0020920502092050207
verspeisen,0.0041841004184100415
wütend,0.0041841004184100415
wiederholten,0.0020920502092050207
versuche,0.0020920502092050207
ernst,0.0020920502092050207
genommen,0.0020920502092050207
außerdem,0.0020920502092050207
behauptete,0.0020920502092050207
beweis,0.0020920502092050207
gefressen,0.006276150627615063
rostroten,0.0020920502092050207
haare,0.0020920502092050207
seien,0.0020920502092050207
vielleicht,0.0020920502092050207
schon,0.006276150627615063
seit,0.008368200836820083
weihnachten,0.0020920502092050207
bettlaken,0.0020920502092050207
überhaupt,0.0020920502092050207
vorurteile,0.0020920502092050207
magischen,0.0020920502092050207
menagerie,0.0020920502092050207
gelandet,0.0020920502092050207
sei,0.0020920502092050207
sicher,0.0020920502092050207
erklären,0.0020920502092050207
tatsachen,0.0020920502092050207
richtung,0.0020920502092050207
deuteten,0.0020920502092050207
riss,0.0020920502092050207
geduldsfaden,0.0020920502092050207
urplötzlich,0.0020920502092050207
black,0.008368200836820083
schleuderte,0.0020920502092050207
schmerz,0.0020920502092050207
landete,0.0020920502092050207
wucht,0.0020920502092050207
gebrochenen,0.0020920502092050207
bein,0.0020920502092050207
stimmte,0.0020920502092050207
fiel,0.0020920502092050207
plötzlich,0.0020920502092050207
krank,0.0020920502092050207
ausgesehen,0.0020920502092050207
bevor,0.0020920502092050207
rückkehr,0.0020920502092050207
ägypten,0.0020920502092050207
geflohen,0.0020920502092050207
verrückt,0.0020920502092050207
sagte,0.0020920502092050207
heiserer,0.0020920502092050207
stimme,0.0020920502092050207
alte,0.0020920502092050207
ratte,0.0020920502092050207
ständig,0.0020920502092050207
beklagt,0.0020920502092050207
vermeintlich,0.0020920502092050207
untröstlich,0.0020920502092050207
