term,relative_frequency
kammer,0.0020920502092050207
geöffnet,0.0020920502092050207
schule,0.0020920502092050207
lieben,0.0020920502092050207
alten,0.0041841004184100415
verraten,0.0020920502092050207
geht,0.0020920502092050207
oh,0.0041841004184100415
immer,0.0041841004184100415
ruhe,0.0020920502092050207
sagte,0.0041841004184100415
nervös,0.0020920502092050207
beurlauben,0.0020920502092050207
nein,0.0041841004184100415
letzte,0.0020920502092050207
ernennung,0.0020920502092050207
entlassung,0.0020920502092050207
schulleiters,0.0020920502092050207
aufgabe,0.0020920502092050207
schulräte,0.0020920502092050207
mr,0.0020920502092050207
beiläufig,0.0020920502092050207
leuten,0.0041841004184100415
ausschuss,0.0020920502092050207
erklärt,0.0020920502092050207
SEIDENSCHNABEL,0.0020920502092050207
ordnung,0.0020920502092050207
angst,0.0020920502092050207
kennt,0.0020920502092050207
bedroht,0.0020920502092050207
vermut,0.0020920502092050207
mal,0.0020920502092050207
henker,0.0020920502092050207
alter,0.0041841004184100415
kumpel,0.0020920502092050207
schnell,0.0020920502092050207
sauber,0.0020920502092050207
gehen,0.0020920502092050207
werd,0.0020920502092050207
schluckte,0.0020920502092050207
drei,0.0020920502092050207
freien,0.0020920502092050207
plätzen,0.0020920502092050207
zweiten,0.0020920502092050207
reihe,0.0020920502092050207
direkt,0.0020920502092050207
drängten,0.0020920502092050207
besitzer,0.0020920502092050207
DOBBY,0.0020920502092050207
hauselfen,0.0020920502092050207
sohn,0.0020920502092050207
frau,0.0020920502092050207
vermutete,0.0020920502092050207
mutter,0.0020920502092050207
gestickte,0.0020920502092050207
goldene,0.0020920502092050207
doppellinie,0.0020920502092050207
verband,0.0020920502092050207
black,0.0020920502092050207
einfache,0.0020920502092050207
senkrechte,0.0020920502092050207
linie,0.0020920502092050207
führte,0.0020920502092050207
namen,0.0041841004184100415
konnte,0.0041841004184100415
glauben,0.0041841004184100415
wagte,0.0020920502092050207
gesicht,0.0020920502092050207
blicken,0.0020920502092050207
zaubereiministerium,0.0020920502092050207
sprach,0.0020920502092050207
obwohl,0.0020920502092050207
erst,0.0020920502092050207
wochen,0.0020920502092050207
berichtet,0.0020920502092050207
todesser,0.0020920502092050207
spendet,0.0020920502092050207
seit,0.0020920502092050207
jahren,0.0020920502092050207
mögliche,0.0020920502092050207
verschafft,0.0020920502092050207
zugang,0.0020920502092050207
richtigen,0.0020920502092050207
gefälligkeiten,0.0020920502092050207
bitten,0.0020920502092050207
gesetzesvorhaben,0.0020920502092050207
verschieben,0.0020920502092050207
passen,0.0020920502092050207
glänzende,0.0020920502092050207
beziehungen,0.0020920502092050207
zug,0.0020920502092050207
gesagt,0.0020920502092050207
vermuten,0.0020920502092050207
lässt,0.0020920502092050207
wusste,0.0020920502092050207
vater,0.0020920502092050207
weißt,0.0020920502092050207
ja,0.0020920502092050207
bahnsteig,0.0020920502092050207
komm,0.0020920502092050207
fall,0.0020920502092050207
hoch,0.0020920502092050207
fauchte,0.0020920502092050207
stimme,0.0020920502092050207
ohr,0.0020920502092050207
spürte,0.0020920502092050207
spitze,0.0020920502092050207
zauberstab,0.0020920502092050207
hart,0.0020920502092050207
rippen,0.0020920502092050207
sagen,0.0020920502092050207
bisher,0.0020920502092050207
gelungen,0.0020920502092050207
bitte,0.0041841004184100415
lieblingslehrer,0.0020920502092050207
freund,0.0020920502092050207
genießt,0.0020920502092050207
gunst,0.0020920502092050207
dunklen,0.0020920502092050207
lords,0.0020920502092050207
vertrautester,0.0020920502092050207
berater,0.0020920502092050207
sprechen,0.0020920502092050207
umstimmen,0.0020920502092050207
wirbelten,0.0020920502092050207
herum,0.0020920502092050207
schrie,0.0020920502092050207
stupor,0.0020920502092050207
macht,0.0020920502092050207
dafür,0.0020920502092050207
verantwortlich,0.0020920502092050207
denkt,0.0020920502092050207
hätte,0.0020920502092050207
platz,0.0020920502092050207
verdrängt,0.0020920502092050207
