term,relative_frequency
gehen,0.0056179775280898875
zusammen,0.0056179775280898875
lagen,0.011235955056179775
schwer,0.0056179775280898875
atmend,0.0056179775280898875
boden,0.011235955056179775
half,0.0056179775280898875
aschfahlen,0.0056179775280898875
beine,0.0056179775280898875
entschuldigte,0.0056179775280898875
immer,0.0056179775280898875
lädierter,0.0056179775280898875
zauberstab,0.0056179775280898875
angestellt,0.0056179775280898875
mochte,0.0056179775280898875
rauften,0.0056179775280898875
miteinander,0.0056179775280898875
schmerz,0.0056179775280898875
wimmerte,0.0056179775280898875
schwitzkasten,0.0056179775280898875
zauberstäbe,0.0056179775280898875
beiden,0.011235955056179775
vergessen,0.0056179775280898875
wissen,0.0056179775280898875
hässlich,0.0056179775280898875
weiß,0.0056179775280898875
nein,0.0056179775280898875
ernst,0.0056179775280898875
geh,0.0056179775280898875
lieber,0.0056179775280898875
beeilt,0.0056179775280898875
vertrödelt,0.0056179775280898875
zeit,0.0056179775280898875
sah,0.0056179775280898875
verwirrt,0.0056179775280898875
konnte,0.0056179775280898875
sehen,0.0056179775280898875
wand,0.0056179775280898875
gedrückt,0.0056179775280898875
wurde,0.0056179775280898875
versuchte,0.0056179775280898875
vergeblich,0.0056179775280898875
abzuschütteln,0.0056179775280898875
schrie,0.0056179775280898875
gebrochener,0.0056179775280898875
stimme,0.0056179775280898875
hervor,0.0056179775280898875
begann,0.0056179775280898875
schwach,0.0056179775280898875
rücken,0.0056179775280898875
umhang,0.0056179775280898875
weinen,0.0056179775280898875
