term,relative_frequency
gerade,0.002380952380952381
gesprochen,0.002380952380952381
sagte,0.009523809523809525
PEEVES,0.002380952380952381
heimtückisch,0.002380952380952381
MYRTE,0.023809523809523808
ohr,0.002380952380952381
beäugte,0.002380952380952381
misstrauisch,0.002380952380952381
gefühle,0.002380952380952381
müsst,0.002380952380952381
wissen,0.002380952380952381
obwohl,0.002380952380952381
tot,0.002380952380952381
niemand,0.004761904761904762
ärgern,0.004761904761904762
standen,0.002380952380952381
offenen,0.002380952380952381
mündern,0.002380952380952381
zuckte,0.002380952380952381
matt,0.002380952380952381
achseln,0.002380952380952381
meinte,0.002380952380952381
offen,0.002380952380952381
gestanden,0.002380952380952381
verhältnisse,0.002380952380952381
fast,0.004761904761904762
fröhliche,0.002380952380952381
unterhaltung,0.002380952380952381
kommt,0.002380952380952381
gehen,0.002380952380952381
weiß,0.002380952380952381
nachdem,0.002380952380952381
klo,0.004761904761904762
maulenden,0.002380952380952381
gerannt,0.002380952380952381
vielleicht,0.002380952380952381
umgebracht,0.002380952380952381
hätte,0.002380952380952381
gefallen,0.002380952380952381
getan,0.002380952380952381
schloss,0.002380952380952381
unbewegten,0.002380952380952381
miene,0.002380952380952381
gleiche,0.002380952380952381
dachte,0.004761904761904762
viertelstunde,0.002380952380952381
lang,0.002380952380952381
sprach,0.002380952380952381
gespannte,0.002380952380952381
schweigen,0.002380952380952381
hinein,0.002380952380952381
erzählte,0.002380952380952381
körperlosen,0.002380952380952381
stimme,0.002380952380952381
schließlich,0.002380952380952381
begriffen,0.002380952380952381
basilisken,0.004761904761904762
rohren,0.002380952380952381
gehört,0.002380952380952381
spinnen,0.002380952380952381
wald,0.002380952380952381
gefolgt,0.002380952380952381
aragog,0.002380952380952381
letzte,0.002380952380952381
opfer,0.004761904761904762
gestorben,0.002380952380952381
gedanken,0.002380952380952381
kam,0.002380952380952381
maulende,0.007142857142857143
eingang,0.004761904761904762
kammer,0.002380952380952381
schreckens,0.002380952380952381
toilette,0.002380952380952381
gut,0.007142857142857143
half,0.002380952380952381
wenig,0.002380952380952381
innehielt,0.002380952380952381
herausgefunden,0.002380952380952381
nebenher,0.002380952380952381
hundert,0.002380952380952381
schulregeln,0.002380952380952381
stücke,0.002380952380952381
gehauen,0.002380952380952381
hinzufügen,0.002380952380952381
welt,0.002380952380952381
lebend,0.002380952380952381
rausgekommen,0.002380952380952381
stimmte,0.002380952380952381
allerdings,0.002380952380952381
festgestellt,0.002380952380952381
kaputtes,0.002380952380952381
beste,0.002380952380952381
platz,0.002380952380952381
insgeheim,0.002380952380952381
brauen,0.002380952380952381
verbotenen,0.002380952380952381
zaubertrank,0.002380952380952381
stunde,0.002380952380952381
lebende,0.002380952380952381
abbilder,0.002380952380952381
verwandelt,0.002380952380952381
gemeinschaftsraum,0.002380952380952381
slytherins,0.002380952380952381
schmuggeln,0.002380952380952381
konnten,0.002380952380952381
nie,0.002380952380952381
gelaunt,0.002380952380952381
gesehen,0.002380952380952381
außer,0.002380952380952381
tag,0.002380952380952381
dosis,0.002380952380952381
haariges,0.002380952380952381
gesicht,0.002380952380952381
katzenschwanz,0.002380952380952381
verpasst,0.002380952380952381
erst,0.002380952380952381
dadrin,0.002380952380952381
wär,0.002380952380952381
