term,relative_frequency
nein,0.0022675736961451248
drauf,0.0022675736961451248
sieh,0.0022675736961451248
deutete,0.0022675736961451248
weiteres,0.0022675736961451248
kleines,0.0022675736961451248
rundes,0.0022675736961451248
brandloch,0.0022675736961451248
zwei,0.0022675736961451248
namen,0.0045351473922902496
ging,0.0022675736961451248
einzigen,0.0022675736961451248
mitglied,0.0022675736961451248
familie,0.0022675736961451248
black,0.0022675736961451248
irgendwelchen,0.0022675736961451248
respekt,0.0022675736961451248
blacks,0.0022675736961451248
cousine,0.0022675736961451248
schwester,0.0045351473922902496
frau,0.0022675736961451248
folgte,0.0022675736961451248
flatterndem,0.0022675736961451248
umhang,0.0022675736961451248
sah,0.0045351473922902496
gasse,0.0022675736961451248
häusern,0.0022675736961451248
zweite,0.0022675736961451248
ganz,0.0022675736961451248
ähnliche,0.0022675736961451248
straße,0.0022675736961451248
huschte,0.0022675736961451248
sagte,0.009070294784580499
quiekender,0.0022675736961451248
stimme,0.0022675736961451248
bedankte,0.0022675736961451248
leise,0.0022675736961451248
starrte,0.0022675736961451248
weiterhin,0.0022675736961451248
finster,0.0022675736961451248
denke,0.0022675736961451248
sollten,0.0022675736961451248
anhören,0.0022675736961451248
dringend,0.0022675736961451248
loswerden,0.0022675736961451248
lästige,0.0022675736961451248
unterbrechungen,0.0022675736961451248
ersparen,0.0022675736961451248
stockte,0.0022675736961451248
atem,0.0022675736961451248
schien,0.0022675736961451248
nerven,0.0022675736961451248
verlieren,0.0022675736961451248
saß,0.0022675736961451248
neben,0.0022675736961451248
dunklen,0.0022675736961451248
haar,0.0045351473922902496
schweren,0.0022675736961451248
augenlidern,0.0022675736961451248
aussehen,0.0022675736961451248
ebenso,0.0022675736961451248
wenig,0.0022675736961451248
ähnelte,0.0022675736961451248
haltung,0.0022675736961451248
gebaren,0.0022675736961451248
starr,0.0022675736961451248
teilnahmslos,0.0022675736961451248
dasaß,0.0022675736961451248
beugte,0.0022675736961451248
VOLDEMORT,0.0045351473922902496
worte,0.0022675736961451248
allein,0.0022675736961451248
konnten,0.0022675736961451248
verlangen,0.0022675736961451248
nähe,0.0022675736961451248
ausdruck,0.0022675736961451248
bringen,0.0045351473922902496
vergnügen,0.0022675736961451248
gegangen,0.0022675736961451248
hast,0.0022675736961451248
informationen,0.0022675736961451248
weitergeleitet,0.0022675736961451248
denkt,0.0022675736961451248
kreacher,0.0022675736961451248
wischte,0.0022675736961451248
handrücken,0.0022675736961451248
augen,0.0022675736961451248
untersteh,0.0022675736961451248
sprechen,0.0022675736961451248
zornig,0.0022675736961451248
schrie,0.0022675736961451248
halt,0.0022675736961451248
mund,0.0022675736961451248
wegzog,0.0022675736961451248
weiterem,0.0022675736961451248
schaden,0.0022675736961451248
schützen,0.0022675736961451248
sprang,0.0022675736961451248
wehenden,0.0022675736961451248
haaren,0.0022675736961451248
fuchtelte,0.0022675736961451248
silbernen,0.0045351473922902496
messer,0.0045351473922902496
zauberstab,0.0045351473922902496
tür,0.0022675736961451248
gerichtet,0.0022675736961451248
kreischte,0.0022675736961451248
gab,0.0022675736961451248
weiteren,0.0022675736961451248
lauten,0.0022675736961451248
knall,0.0022675736961451248
flog,0.0045351473922902496
luft,0.0022675736961451248
landete,0.0022675736961451248
seite,0.0022675736961451248
raumes,0.0022675736961451248
dunkelheit,0.0022675736961451248
hineindrehte,0.0022675736961451248
erhaschte,0.0022675736961451248
letzten,0.0022675736961451248
blick,0.0022675736961451248
salon,0.0022675736961451248
bleichen,0.0022675736961451248
erstarrten,0.0022675736961451248
gestalten,0.0022675736961451248
rote,0.0022675736961451248
schliere,0.0022675736961451248
verwischten,0.0022675736961451248
fleck,0.0022675736961451248
raum,0.0022675736961451248
dorthin,0.0045351473922902496
gerade,0.0022675736961451248
verschwand,0.0022675736961451248
shell,0.0022675736961451248
cottage,0.0022675736961451248
unbekannte,0.0022675736961451248
abgetaucht,0.0022675736961451248
konnte,0.0022675736961451248
tun,0.0022675736961451248
zielorts,0.0022675736961451248
wiederholen,0.0022675736961451248
hoffen,0.0022675736961451248
ausreichte,0.0022675736961451248
