term,relative_frequency
beide,0.0011587485515643105
ganz,0.0017381228273464658
blass,0.0005793742757821553
erwiderten,0.0005793742757821553
blick,0.0005793742757821553
tanzten,0.0005793742757821553
nähe,0.0005793742757821553
konnte,0.0011587485515643105
immer,0.0011587485515643105
gesicht,0.0005793742757821553
verziehen,0.0005793742757821553
sehen,0.0011587485515643105
füße,0.0005793742757821553
tappte,0.0005793742757821553
madame,0.0005793742757821553
walzer,0.0005793742757821553
hinlegte,0.0005793742757821553
sagte,0.006373117033603708
vorbeigequetscht,0.0005793742757821553
abteil,0.0005793742757821553
spähte,0.0005793742757821553
kürbiskuchen,0.0005793742757821553
aufgegessen,0.0005793742757821553
tauschten,0.0005793742757821553
eifrig,0.0005793742757821553
schokofroschkarten,0.0005793742757821553
abteiltür,0.0005793742757821553
aufglitt,0.0005793742757821553
beiden,0.0017381228273464658
hereinkamen,0.0005793742757821553
begleitet,0.0005793742757821553
KRUMMBEIN,0.0005793742757821553
schrill,0.0005793742757821553
käfig,0.0005793742757821553
schreienden,0.0005793742757821553
PIDWIDGEON,0.0005793742757821553
lachten,0.0005793742757821553
erster,0.0005793742757821553
kam,0.0005793742757821553
dicht,0.0005793742757821553
gefolgt,0.0005793742757821553
zusammen,0.0011587485515643105
magen,0.0005793742757821553
machte,0.0005793742757821553
salto,0.0005793742757821553
rückwärts,0.0005793742757821553
üblich,0.0005793742757821553
kichernden,0.0005793742757821553
freundinnen,0.0005793742757821553
danach,0.0017381228273464658
allein,0.0005793742757821553
verträumt,0.0005793742757821553
zufällig,0.0005793742757821553
hätte,0.0017381228273464658
hereinkommen,0.0005793742757821553
folgten,0.0011587485515643105
macmillan,0.0005793742757821553
rückenlangen,0.0005793742757821553
zopf,0.0005793742757821553
deren,0.0011587485515643105
name,0.0005793742757821553
kannte,0.0005793742757821553
drei,0.0028968713789107765
denen,0.0017381228273464658
ziemlich,0.0005793742757821553
sicher,0.0011587485515643105
hießen,0.0005793742757821553
großer,0.0005793742757821553
hagerer,0.0005793742757821553
blonder,0.0005793742757821553
junge,0.0011587485515643105
stupsnase,0.0005793742757821553
mitglied,0.0005793742757821553
hufflepuff,0.0005793742757821553
vager,0.0005793742757821553
erinnerung,0.0005793742757821553
nachhut,0.0005793742757821553
freund,0.0005793742757821553
großen,0.0011587485515643105
papiertüten,0.0005793742757821553
bepackt,0.0005793742757821553
proppenvoll,0.0005793742757821553
sachen,0.0005793742757821553
zonkos,0.0005793742757821553
laden,0.0005793742757821553
kaum,0.0005793742757821553
