term,relative_frequency
sprangen,0.0007499062617172854
boote,0.0003749531308586427
hinterher,0.0007499062617172854
augen,0.0011248593925759281
ruhten,0.0003749531308586427
kurz,0.0007499062617172854
umhang,0.0003749531308586427
linken,0.0003749531308586427
ohr,0.0003749531308586427
festgemacht,0.0003749531308586427
verschmierter,0.0003749531308586427
nase,0.0003749531308586427
nahm,0.0007499062617172854
tisch,0.0011248593925759281
neben,0.0022497187851518562
gearbeitet,0.0003749531308586427
sah,0.0018747656542932134
uhr,0.0011248593925759281
blickte,0.0011248593925759281
wütend,0.0007499062617172854
gab,0.0014998125234345708
plötzlich,0.0003749531308586427
ängstliches,0.0003749531308586427
quieken,0.0003749531308586427
rannte,0.0003749531308586427
los,0.0003749531308586427
stolperte,0.0003749531308586427
klammerte,0.0003749531308586427
arme,0.0011248593925759281
hüfte,0.0003749531308586427
beide,0.0003749531308586427
stürzten,0.0003749531308586427
mitten,0.0007499062617172854
rüstung,0.0003749531308586427
setzten,0.0003749531308586427
oberen,0.0003749531308586427
ränge,0.0003749531308586427
unermüdlichen,0.0003749531308586427
inzwischen,0.0011248593925759281
platz,0.0007499062617172854
rängen,0.0003749531308586427
gefunden,0.0003749531308586427
verstand,0.0003749531308586427
warum,0.0007499062617172854
grimmig,0.0003749531308586427
besorgt,0.0007499062617172854
aussahen,0.0003749531308586427
zauberstäbe,0.0011248593925759281
spiel,0.0007499062617172854
mitgebracht,0.0003749531308586427
heulten,0.0003749531308586427
laut,0.0003749531308586427
lachen,0.0003749531308586427
immer,0.0014998125234345708
abzuwenden,0.0003749531308586427
wagte,0.0003749531308586427
sagte,0.006374203224596925
gib,0.0003749531308586427
s,0.0007499062617172854
zögerte,0.0003749531308586427
erst,0.0007499062617172854
kletterte,0.0003749531308586427
sitzlehne,0.0003749531308586427
helfen,0.0003749531308586427
schrie,0.0007499062617172854
sprang,0.0003749531308586427
sitz,0.0011248593925759281
sehen,0.0007499062617172854
direkt,0.0003749531308586427
zuraste,0.0003749531308586427
bemerkte,0.0003749531308586427
wälzten,0.0003749531308586427
stöhnen,0.0003749531308586427
schreien,0.0003749531308586427
knäuel,0.0003749531308586427
drang,0.0003749531308586427
bestand,0.0003749531308586427
elf,0.0003749531308586427
abend,0.0003749531308586427
verabschiedeten,0.0003749531308586427
gemeinschaftsraum,0.0007499062617172854
gingen,0.0007499062617172854
hinunter,0.0007499062617172854
eingangshalle,0.0007499062617172854
geh,0.0007499062617172854
loch,0.0014998125234345708
sei,0.0003749531308586427
idiot,0.0007499062617172854
nenn,0.0003749531308586427
später,0.0011248593925759281
schon,0.0011248593925759281
verstehen,0.0003749531308586427
stiegen,0.0011248593925759281
tarnumhang,0.0003749531308586427
überwarfen,0.0003749531308586427
standen,0.0007499062617172854
jubelnd,0.0003749531308586427
schreiend,0.0003749531308586427
weiß,0.0003749531308586427
schreck,0.0003749531308586427
haufen,0.0003749531308586427
leute,0.0003749531308586427
begraben,0.0003749531308586427
wurde,0.0003749531308586427
umarmen,0.0003749531308586427
wollten,0.0003749531308586427
kam,0.0003749531308586427
ganz,0.0003749531308586427
gewöhnlich,0.0003749531308586427
sahen,0.0014998125234345708
