term,relative_frequency
sagten,0.0020920502092050207
sei,0.0020920502092050207
ende,0.0020920502092050207
juli,0.0020920502092050207
geboren,0.0020920502092050207
mum,0.0020920502092050207
dad,0.0020920502092050207
vergisst,0.0020920502092050207
nächsten,0.0020920502092050207
teil,0.0020920502092050207
prophezeiung,0.008368200836820083
letzte,0.0020920502092050207
entscheidende,0.0020920502092050207
merkmal,0.0020920502092050207
jungen,0.0020920502092050207
VOLDEMORT,0.027196652719665274
besiegen,0.0020920502092050207
ebenbürtigen,0.0020920502092050207
kennzeichnen,0.0020920502092050207
hätte,0.010460251046025104
abwarten,0.0020920502092050207
sollen,0.0041841004184100415
wäre,0.0041841004184100415
gefährlicher,0.0020920502092050207
aussah,0.0041841004184100415
älter,0.0020920502092050207
erst,0.0020920502092050207
wer,0.0020920502092050207
töten,0.0020920502092050207
versuchen,0.0020920502092050207
tat,0.0020920502092050207
praktischere,0.0020920502092050207
vorgehensweise,0.0020920502092050207
sagte,0.006276150627615063
allerdings,0.0020920502092050207
wissen,0.0020920502092050207
unvollständig,0.0020920502092050207
kindheit,0.0020920502092050207
zerstört,0.0020920502092050207
worden,0.0020920502092050207
genau,0.0020920502092050207
ahnte,0.0020920502092050207
beinahe,0.0020920502092050207
schicksal,0.0020920502092050207
gehabt,0.0020920502092050207
sowohl,0.0020920502092050207
beziehen,0.0020920502092050207
eigenen,0.0020920502092050207
unerforschlichen,0.0020920502092050207
gründen,0.0020920502092050207
vorgezogen,0.0020920502092050207
glauben,0.0020920502092050207
derjenige,0.0020920502092050207
betraf,0.0020920502092050207
gewählt,0.0020920502092050207
gegenübersitzen,0.0020920502092050207
trüge,0.0020920502092050207
blitzförmige,0.0020920502092050207
narbe,0.0020920502092050207
last,0.0020920502092050207
etwa,0.0020920502092050207
natürlich,0.0020920502092050207
beiden,0.0020920502092050207
musterschüler,0.0020920502092050207
besonderen,0.0020920502092050207
ort,0.0020920502092050207
nie,0.0041841004184100415
betreten,0.0020920502092050207
schulzeit,0.0020920502092050207
mal,0.0020920502092050207
gewohnten,0.0020920502092050207
wegen,0.0020920502092050207
abgewichen,0.0020920502092050207
endlich,0.0020920502092050207
geheimnis,0.0020920502092050207
kannten,0.0020920502092050207
entdeckt,0.0020920502092050207
wurde,0.0020920502092050207
aufgeschreckt,0.0020920502092050207
vorbeidonnerte,0.0020920502092050207
gefolgt,0.0020920502092050207
halben,0.0020920502092050207
dutzend,0.0020920502092050207
ohrenschützer,0.0020920502092050207
aufhatten,0.0020920502092050207
trugen,0.0020920502092050207
große,0.0020920502092050207
topfpflanzen,0.0020920502092050207
kennst,0.0020920502092050207
schlange,0.006276150627615063
ah,0.0020920502092050207
ja,0.0020920502092050207
erinnere,0.0020920502092050207
blickte,0.0020920502092050207
hinab,0.0020920502092050207
aufrappelte,0.0020920502092050207
unbewaffnet,0.0020920502092050207
schutzlos,0.0020920502092050207
niemandsland,0.0020920502092050207
überlebenden,0.0020920502092050207
todessern,0.0020920502092050207
fragte,0.0020920502092050207
gegenüberstand,0.0020920502092050207
leeren,0.0020920502092050207
hände,0.0020920502092050207
fäusten,0.0020920502092050207
geballt,0.0020920502092050207
vorführen,0.0020920502092050207
geschieht,0.0020920502092050207
töricht,0.0020920502092050207
weiterhin,0.0020920502092050207
widerstand,0.0020920502092050207
leisten,0.0020920502092050207
schlenker,0.0020920502092050207
zauberstabs,0.0020920502092050207
ließ,0.0020920502092050207
sprechenden,0.0020920502092050207
hut,0.0020920502092050207
flammen,0.0020920502092050207
aufgehen,0.0020920502092050207
einzigen,0.0020920502092050207
schlag,0.0020920502092050207
schnitt,0.0020920502092050207
großen,0.0020920502092050207
kopf,0.0020920502092050207
ab,0.0020920502092050207
hoch,0.0020920502092050207
luft,0.0020920502092050207
wirbelte,0.0020920502092050207
licht,0.0020920502092050207
schimmerte,0.0020920502092050207
eingangshalle,0.0020920502092050207
flutete,0.0020920502092050207
mund,0.0020920502092050207
stand,0.0020920502092050207
offen,0.0020920502092050207
wutschrei,0.0020920502092050207
entfuhr,0.0020920502092050207
niemand,0.0020920502092050207
hören,0.0020920502092050207
konnte,0.0041841004184100415
körper,0.0020920502092050207
fiel,0.0020920502092050207
dumpf,0.0020920502092050207
erde,0.0020920502092050207
füßen,0.0020920502092050207
tarnumhang,0.0020920502092050207
versteckt,0.0020920502092050207
warf,0.0020920502092050207
schildzauber,0.0020920502092050207
bevor,0.0020920502092050207
zauberstab,0.0020920502092050207
heben,0.0020920502092050207
