term,relative_frequency
schluss,0.0015822784810126582
bildeten,0.0015822784810126582
professor,0.011075949367088608
madame,0.02531645569620253
seite,0.0015822784810126582
saß,0.0031645569620253164
neben,0.0031645569620253164
chef,0.0015822784810126582
mr,0.0015822784810126582
vergangenen,0.0015822784810126582
monaten,0.0015822784810126582
unermüdlich,0.0015822784810126582
vorbereitung,0.0015822784810126582
trimagischen,0.0015822784810126582
turniers,0.0015822784810126582
gearbeitet,0.0015822784810126582
fuhr,0.0015822784810126582
fort,0.0015822784810126582
jury,0.0015822784810126582
bilden,0.0015822784810126582
leistungen,0.0015822784810126582
champions,0.0031645569620253164
befindet,0.0015822784810126582
seiten,0.0015822784810126582
wirkten,0.0015822784810126582
weniger,0.0015822784810126582
gespannt,0.0015822784810126582
erwartungsvoll,0.0015822784810126582
kelch,0.0015822784810126582
namen,0.0015822784810126582
ausgegeben,0.0015822784810126582
weit,0.0015822784810126582
gekommen,0.0015822784810126582
denke,0.0015822784810126582
darf,0.0015822784810126582
drücken,0.0015822784810126582
steht,0.0015822784810126582
regeln,0.0015822784810126582
verpflichtet,0.0015822784810126582
ganz,0.0031645569620253164
einfach,0.0015822784810126582
tun,0.0031645569620253164
kräften,0.0015822784810126582
tür,0.0015822784810126582
ging,0.0015822784810126582
größere,0.0015822784810126582
gruppe,0.0015822784810126582
kam,0.0015822784810126582
herein,0.0015822784810126582
dicht,0.0015822784810126582
gefolgt,0.0031645569620253164
tja,0.0015822784810126582
kennt,0.0015822784810126582
regelwerk,0.0015822784810126582
praktisch,0.0015822784810126582
auswendig,0.0015822784810126582
strahlte,0.0015822784810126582
wandte,0.0015822784810126582
sache,0.0015822784810126582
entschieden,0.0015822784810126582
wäre,0.0015822784810126582
vollkommen,0.0015822784810126582
recht,0.0015822784810126582
sagte,0.0031645569620253164
verneigte,0.0015822784810126582
schlummertrunk,0.0015822784810126582
drüben,0.0015822784810126582
samtbedeckten,0.0015822784810126582
tischen,0.0015822784810126582
saßen,0.0015822784810126582
vier,0.0015822784810126582
fünf,0.0015822784810126582
richter,0.0015822784810126582
immer,0.0015822784810126582
stand,0.0015822784810126582
stellte,0.0015822784810126582
schatten,0.0015822784810126582
fotograf,0.0015822784810126582
bekam,0.0015822784810126582
aufs,0.0015822784810126582
bild,0.0015822784810126582
beim,0.0015822784810126582
zurückgehen,0.0015822784810126582
hinten,0.0015822784810126582
wand,0.0015822784810126582
stieß,0.0015822784810126582
schließlich,0.0015822784810126582
setzen,0.0015822784810126582
herum,0.0031645569620253164
aufstellten,0.0015822784810126582
wickelte,0.0015822784810126582
ständig,0.0015822784810126582
spitzbart,0.0015822784810126582
finger,0.0015822784810126582
zusätzlichen,0.0015822784810126582
kringel,0.0015822784810126582
verpassen,0.0015822784810126582
gedacht,0.0015822784810126582
müsse,0.0015822784810126582
auftritte,0.0015822784810126582
gewöhnt,0.0015822784810126582
drückte,0.0015822784810126582
halb,0.0015822784810126582
verdeckt,0.0015822784810126582
hintergrund,0.0015822784810126582
vielleicht,0.0031645569620253164
sogar,0.0015822784810126582
zusammen,0.0015822784810126582
wald,0.0015822784810126582
entlanggehen,0.0015822784810126582
sehen,0.004746835443037975
ja,0.0015822784810126582
weitem,0.0015822784810126582
kaum,0.0015822784810126582
übersehen,0.0015822784810126582
stimmen,0.0015822784810126582
folgen,0.0015822784810126582
schon,0.0015822784810126582
genau,0.0015822784810126582
wissen,0.0031645569620253164
erwartete,0.0015822784810126582
wusste,0.0015822784810126582
drachen,0.0031645569620253164
einzige,0.0015822784810126582
champion,0.0015822784810126582
ahnung,0.0015822784810126582
sicher,0.0031645569620253164
schützlingen,0.0015822784810126582
gesagt,0.0031645569620253164
gewächshaus,0.0015822784810126582
augen,0.0015822784810126582
entschluss,0.0015822784810126582
gefasst,0.0015822784810126582
inzwischen,0.0015822784810126582
gesehen,0.0015822784810126582
anfang,0.0015822784810126582
könne,0.0015822784810126582
edel,0.0015822784810126582
gesinnt,0.0015822784810126582
alte,0.0015822784810126582
gezinkten,0.0015822784810126582
karten,0.0015822784810126582
spielen,0.0015822784810126582
tisch,0.0015822784810126582
podium,0.0015822784810126582
leer,0.0015822784810126582
tanzte,0.0015822784810126582
walzten,0.0015822784810126582
breite,0.0015822784810126582
schneise,0.0015822784810126582
tanzenden,0.0015822784810126582
spurlos,0.0015822784810126582
verschwunden,0.0015822784810126582
lächelte,0.0015822784810126582
schienen,0.0015822784810126582
keineswegs,0.0015822784810126582
erfreut,0.0015822784810126582
mienen,0.0015822784810126582
schließen,0.0015822784810126582
offenbar,0.0015822784810126582
geglaubt,0.0015822784810126582
mehr,0.0015822784810126582
auftauchen,0.0015822784810126582
schicken,0.0015822784810126582
weitere,0.0015822784810126582
eule,0.0015822784810126582
möchte,0.0015822784810126582
zahl,0.0015822784810126582
schüler,0.0015822784810126582
mitbringt,0.0015822784810126582
aufstocken,0.0015822784810126582
rundes,0.0015822784810126582
dutzend,0.0015822784810126582
veranschlagt,0.0015822784810126582
weatherby,0.0015822784810126582
hören,0.0015822784810126582
