term,relative_frequency
gefunden,0.000591715976331361
kleine,0.000591715976331361
freunden,0.0002958579881656805
wenig,0.000591715976331361
hilfe,0.000591715976331361
krone,0.0002958579881656805
murmelte,0.0008875739644970414
ohr,0.0002958579881656805
hausaufgaben,0.000591715976331361
nachgeforscht,0.0002958579881656805
ministerium,0.0002958579881656805
kontrolliert,0.0002958579881656805
hexen,0.0002958579881656805
zauberer,0.0002958579881656805
tiere,0.0002958579881656805
wurden,0.0002958579881656805
gibt,0.000591715976331361
liste,0.000591715976331361
verzeichnet,0.0002958579881656805
wer,0.0002958579881656805
tier,0.0002958579881656805
wurde,0.001183431952662722
merkmalen,0.0002958579881656805
nachgeschaut,0.0002958579881656805
gab,0.000591715976331361
jahrhundert,0.0002958579881656805
sieben,0.0002958579881656805
animagi,0.0002958579881656805
name,0.0002958579881656805
dabei,0.0002958579881656805
kaum,0.0002958579881656805
zeit,0.0002958579881656805
stillen,0.0002958579881656805
dafür,0.0002958579881656805
bewundern,0.0002958579881656805
mühe,0.0002958579881656805
diesmal,0.0002958579881656805
gesteckt,0.0002958579881656805
fing,0.000591715976331361
lachen,0.0002958579881656805
natürlich,0.0002958579881656805
vater,0.001183431952662722
bringen,0.0002958579881656805
gelang,0.0002958579881656805
passwörter,0.0002958579881656805
gestohlen,0.0002958579881656805
glaube,0.0002958579881656805
nachttisch,0.0002958579881656805
jungen,0.0002958579881656805
stibitzt,0.0002958579881656805
kam,0.0008875739644970414
denken,0.0002958579881656805
last,0.0002958579881656805
hörte,0.0014792899408284023
ermatten,0.0002958579881656805
gesagt,0.0002958579881656805
blut,0.000591715976331361
laken,0.0002958579881656805
hinterlassen,0.0002958579881656805
denke,0.0002958579881656805
gebissen,0.0002958579881656805
ja,0.000591715976331361
eigenen,0.0002958579881656805
tod,0.001183431952662722
vorzutäuschen,0.0002958579881656805
schon,0.001183431952662722
geklappt,0.0002958579881656805
worte,0.0008875739644970414
rissen,0.0002958579881656805
trance,0.0002958579881656805
keuchte,0.0008875739644970414
sah,0.0035502958579881655
schweißperlen,0.0002958579881656805
teigiges,0.0002958579881656805
gesicht,0.0008875739644970414
traten,0.000591715976331361
glaubst,0.0002958579881656805
etwa,0.0002958579881656805
versucht,0.0002958579881656805
umzubringen,0.0002958579881656805
wissen,0.0008875739644970414
sagte,0.0017751479289940828
spur,0.0002958579881656805
kühler,0.0002958579881656805
geistesabwesend,0.0002958579881656805
weit,0.000591715976331361
hergeholt,0.0002958579881656805
verrückt,0.0002958579881656805
achtete,0.0002958579881656805
eher,0.0002958579881656805
aschfarbenes,0.0002958579881656805
augen,0.002366863905325444
immer,0.0026627218934911242
fenster,0.000591715976331361
tür,0.000591715976331361
huschten,0.0002958579881656805
schwach,0.000591715976331361
hoffnung,0.0002958579881656805
zauberstab,0.0026627218934911242
jemals,0.0002958579881656805
leib,0.0002958579881656805
halten,0.000591715976331361
bild,0.000591715976331361
hogwarts,0.0008875739644970414
bester,0.0002958579881656805
lage,0.0002958579881656805
handeln,0.0002958579881656805
falls,0.0002958579881656805
ohren,0.000591715976331361
gelangen,0.0002958579881656805
dunkle,0.0014792899408284023
seite,0.0008875739644970414
macht,0.0002958579881656805
schüttelte,0.0008875739644970414
kopf,0.0014792899408284023
bewegte,0.0002958579881656805
stumm,0.000591715976331361
lippen,0.0002958579881656805
starrte,0.0002958579881656805
jedoch,0.0008875739644970414
unverwandt,0.0002958579881656805
black,0.001183431952662722
wäre,0.0014792899408284023
hypnotisiert,0.0002958579881656805
einzige,0.0002958579881656805
wusste,0.0017751479289940828
lebte,0.0002958579881656805
fiel,0.0008875739644970414
frau,0.0002958579881656805
erzählt,0.0002958579881656805
wachen,0.0002958579881656805
sagen,0.0002958579881656805
schlaf,0.000591715976331361
geredet,0.0002958579881656805
hätte,0.0017751479289940828
jemand,0.0008875739644970414
feuer,0.0002958579881656805
entfacht,0.0002958579881656805
fuhr,0.0002958579881656805
fort,0.000591715976331361
dementoren,0.0002958579881656805
konnten,0.0002958579881656805
ersticken,0.000591715976331361
glücksgefühl,0.0002958579881656805
besessen,0.0002958579881656805
kraft,0.000591715976331361
klärte,0.0002958579881656805
gedanken,0.0002958579881656805
knie,0.000591715976331361
gefallen,0.0002958579881656805
nicken,0.0002958579881656805
todesurteil,0.0002958579881656805
flüsterte,0.0002958579881656805
warf,0.000591715976331361
ausgestreckten,0.0002958579881656805
händen,0.000591715976331361
boden,0.0014792899408284023
gewollt,0.0002958579881656805
töten,0.000591715976331361
verstanden,0.0002958579881656805
gnade,0.0002958579881656805
erwiesen,0.0002958579881656805
rasch,0.0002958579881656805
packten,0.0002958579881656805
schultern,0.0002958579881656805
warfen,0.0002958579881656805
rücken,0.000591715976331361
seufzte,0.0002958579881656805
arme,0.000591715976331361
danke,0.000591715976331361
mehr,0.0008875739644970414
verdiene,0.0002958579881656805
lass,0.000591715976331361
los,0.0002958579881656805
fauchte,0.0002958579881656805
angewidert,0.0002958579881656805
hände,0.000591715976331361
ab,0.000591715976331361
bedenke,0.000591715976331361
getan,0.0002958579881656805
askaban,0.0002958579881656805
wiederholte,0.0002958579881656805
verdient,0.0002958579881656805
sitzen,0.0002958579881656805
pfeifendes,0.0002958579881656805
atmen,0.0002958579881656805
blickte,0.0008875739644970414
erbärmliche,0.0002958579881656805
gestalt,0.0002958579881656805
nickte,0.0002958579881656805
entging,0.0002958579881656805
gewandt,0.0002958579881656805
auszuhändigen,0.0002958579881656805
schrie,0.001183431952662722
richtete,0.000591715976331361
flog,0.0008875739644970414
nachthimmel,0.0002958579881656805
verschwand,0.000591715976331361
heulen,0.0002958579881656805
donnerndes,0.0002958579881656805
grollen,0.0002958579881656805
wandte,0.000591715976331361
werwolf,0.0002958579881656805
flucht,0.0002958579881656805
ergriff,0.0002958579881656805
langen,0.0002958579881656805
sprüngen,0.0002958579881656805
setzte,0.0002958579881656805
wald,0.0002958579881656805
verwandelt,0.0002958579881656805
plötzlich,0.0008875739644970414
wär,0.0002958579881656805
s,0.0002958579881656805
einfach,0.0008875739644970414
reinrennen,0.0002958579881656805
schnappen,0.0002958579881656805
nein,0.0002958579881656805
tun,0.0008875739644970414
lassen,0.0002958579881656805
entkommen,0.000591715976331361
leise,0.000591715976331361
kannte,0.0002958579881656805
wahrheit,0.0002958579881656805
geschehen,0.000591715976331361
nacht,0.0008875739644970414
SEIDENSCHNABEL,0.0002958579881656805
verschwanden,0.0002958579881656805
außer,0.0002958579881656805
stille,0.000591715976331361
aufsehen,0.0002958579881656805
erledigen,0.0002958579881656805
wünschte,0.0002958579881656805
jetzigen,0.0002958579881656805
zustand,0.0002958579881656805
komm,0.0002958579881656805
hindernis,0.0002958579881656805
musst,0.0002958579881656805
beseitigen,0.0002958579881656805
frei,0.0002958579881656805
fluch,0.0002958579881656805
treuer,0.0002958579881656805
diener,0.0002958579881656805
gut,0.000591715976331361
drehte,0.000591715976331361
legte,0.0002958579881656805
zimmer,0.0017751479289940828
sehen,0.0017751479289940828
versuchte,0.000591715976331361
matt,0.0002958579881656805
erleuchteten,0.0002958579881656805
raumes,0.0002958579881656805
festzuhalten,0.000591715976331361
wasser,0.0002958579881656805
hohlen,0.0002958579881656805
einzelheiten,0.000591715976331361
versickerten,0.0002958579881656805
umso,0.0002958579881656805
