term,relative_frequency
hätte,0.006051437216338881
hilfe,0.0015128593040847202
geschafft,0.0015128593040847202
letzten,0.0015128593040847202
moment,0.006051437216338881
überredet,0.0015128593040847202
statt,0.0015128593040847202
geheimniswahrer,0.0030257186081694403
nehmen,0.0015128593040847202
schuld,0.0015128593040847202
weiß,0.0030257186081694403
nacht,0.0030257186081694403
starben,0.0030257186081694403
besuchen,0.0015128593040847202
gegangen,0.0015128593040847202
versteck,0.0015128593040847202
sah,0.006051437216338881
kampf,0.0015128593040847202
wohl,0.0015128593040847202
haut,0.0015128593040847202
angst,0.0015128593040847202
sofort,0.0015128593040847202
eltern,0.0015128593040847202
zerstörtes,0.0015128593040847202
haus,0.0015128593040847202
leichen,0.0015128593040847202
klar,0.0015128593040847202
getan,0.0030257186081694403
stimme,0.0015128593040847202
versagte,0.0015128593040847202
kleine,0.0015128593040847202
unterhaltung,0.0015128593040847202
umgebracht,0.0015128593040847202
töten,0.0030257186081694403
musst,0.0030257186081694403
helfen,0.0015128593040847202
blacks,0.0015128593040847202
gesicht,0.0045385779122541605
ähnelte,0.0015128593040847202
mehr,0.0015128593040847202
je,0.0015128593040847202
totenschädel,0.0015128593040847202
starrte,0.0015128593040847202
unergründlichen,0.0015128593040847202
augen,0.0030257186081694403
erst,0.0015128593040847202
trocknete,0.0015128593040847202
erneut,0.0015128593040847202
rang,0.0015128593040847202
beinahe,0.0015128593040847202
luft,0.0015128593040847202
spion,0.0015128593040847202
verstand,0.0015128593040847202
verloren,0.0015128593040847202
niemals,0.0015128593040847202
sagen,0.0015128593040847202
kannst,0.0015128593040847202
machten,0.0015128593040847202
vorgeschlagen,0.0015128593040847202
zischte,0.0015128593040847202
black,0.0030257186081694403
giftig,0.0015128593040847202
schritt,0.0015128593040847202
zurücktrat,0.0015128593040847202
gewollt,0.0015128593040847202
verstanden,0.0015128593040847202
gnade,0.0015128593040847202
erwiesen,0.0015128593040847202
traten,0.0015128593040847202
rasch,0.0015128593040847202
packten,0.0015128593040847202
schultern,0.0015128593040847202
warfen,0.0015128593040847202
rücken,0.0015128593040847202
blick,0.0030257186081694403
blieb,0.0015128593040847202
haften,0.0015128593040847202
wandte,0.0015128593040847202
inzwischen,0.0015128593040847202
fetzen,0.0015128593040847202
schmierpergament,0.0015128593040847202
herumkritzelte,0.0015128593040847202
nachdem,0.0030257186081694403
fünf,0.0015128593040847202
minuten,0.0015128593040847202
angesehen,0.0015128593040847202
fragte,0.0015128593040847202
warum,0.0015128593040847202
aufforderte,0.0015128593040847202
zusammenzureißen,0.0015128593040847202
schien,0.0030257186081694403
aufmerksamkeit,0.0015128593040847202
genießen,0.0015128593040847202
steck,0.0015128593040847202
endlich,0.0015128593040847202
mal,0.0015128593040847202
sagte,0.0030257186081694403
schließlich,0.0015128593040847202
geschickten,0.0015128593040847202
fang,0.0015128593040847202
gemacht,0.0015128593040847202
jubelschrei,0.0015128593040847202
ausgestoßen,0.0015128593040847202
lief,0.0015128593040847202
wenig,0.0045385779122541605
rosa,0.0015128593040847202
grinste,0.0015128593040847202
ließ,0.0015128593040847202
ausdruck,0.0015128593040847202
begieriger,0.0015128593040847202
erwartung,0.0015128593040847202
wandern,0.0015128593040847202
darüber,0.0030257186081694403
nachzudenken,0.0015128593040847202
eher,0.0015128593040847202
tatsache,0.0015128593040847202
existiert,0.0015128593040847202
verstehst,0.0015128593040847202
viele,0.0015128593040847202
umstehenden,0.0015128593040847202
schüler,0.0015128593040847202
lachten,0.0015128593040847202
scheinbar,0.0015128593040847202
immer,0.0015128593040847202
buch,0.0015128593040847202
vertieft,0.0015128593040847202
lachte,0.0015128593040847202
ebenso,0.0015128593040847202
brüllten,0.0015128593040847202
lachen,0.0015128593040847202
beide,0.0015128593040847202
VOLDEMORT,0.0015128593040847202
jagd,0.0015128593040847202
sohn,0.0015128593040847202
geschickt,0.0015128593040847202
wichtig,0.0015128593040847202
rechts,0.0015128593040847202
stand,0.0015128593040847202
gut,0.0015128593040847202
kopf,0.0015128593040847202
kleiner,0.0015128593040847202
pummelig,0.0015128593040847202
wässrigen,0.0015128593040847202
gerötet,0.0015128593040847202
freude,0.0015128593040847202
coolsten,0.0015128593040847202
banden,0.0015128593040847202
gehörte,0.0015128593040847202
bewunderten,0.0015128593040847202
rebellen,0.0015128593040847202
beleidigt,0.0015128593040847202
ganzer,0.0015128593040847202
körper,0.0015128593040847202
entspannt,0.0015128593040847202
entfernten,0.0015128593040847202
gang,0.0015128593040847202
federnder,0.0015128593040847202
geworden,0.0015128593040847202
szene,0.0015128593040847202
löste,0.0015128593040847202
große,0.0015128593040847202
halle,0.0015128593040847202
verließ,0.0015128593040847202
verteidigung,0.0015128593040847202
dunklen,0.0015128593040847202
künste,0.0015128593040847202
abgelegt,0.0015128593040847202
schloss,0.0015128593040847202
ging,0.0015128593040847202
gedankenverloren,0.0015128593040847202
herumschlenderte,0.0015128593040847202
platz,0.0015128593040847202
buche,0.0015128593040847202
näherte,0.0015128593040847202
zusammensaßen,0.0015128593040847202
