term,relative_frequency
wussten,0.0007183908045977011
offensichtlich,0.0007183908045977011
black,0.0007183908045977011
VOLDEMORT,0.022988505747126436
arbeitete,0.0007183908045977011
liebend,0.0007183908045977011
gern,0.0007183908045977011
sehen,0.0021551724137931034
million,0.0007183908045977011
stücke,0.0007183908045977011
zerfetzt,0.0007183908045977011
fragte,0.0007183908045977011
immer,0.0028735632183908046
wohl,0.0007183908045977011
steckte,0.0007183908045977011
bereits,0.0007183908045977011
zuflucht,0.0007183908045977011
gefunden,0.0007183908045977011
brauche,0.0007183908045977011
wenig,0.0007183908045977011
mut,0.0014367816091954023
deinerseits,0.0007183908045977011
aufbringen,0.0007183908045977011
ganze,0.0007183908045977011
ausmaß,0.0007183908045977011
lord,0.0014367816091954023
zorn,0.0007183908045977011
spüren,0.0007183908045977011
willst,0.0007183908045977011
herr,0.0028735632183908046
hört,0.0007183908045977011
wirklich,0.0007183908045977011
vorgekommen,0.0007183908045977011
zwei,0.0007183908045977011
personen,0.0007183908045977011
traum,0.0028735632183908046
erschienen,0.0014367816091954023
kannte,0.0007183908045977011
dritte,0.0007183908045977011
nie,0.0014367816091954023
gesehen,0.0014367816091954023
sammelte,0.0007183908045977011
kraft,0.0014367816091954023
gedanken,0.0007183908045977011
runzelte,0.0007183908045977011
stirn,0.0014367816091954023
dachte,0.0021551724137931034
verschwommene,0.0007183908045977011
bild,0.0014367816091954023
abgedunkelten,0.0007183908045977011
zimmers,0.0007183908045977011
kam,0.0007183908045977011
sinn,0.0007183908045977011
schlange,0.0021551724137931034
kaminvorleger,0.0007183908045977011
gelegen,0.0007183908045977011
kleiner,0.0007183908045977011
mann,0.0014367816091954023
namens,0.0007183908045977011
spitzname,0.0007183908045977011
kalte,0.0007183908045977011
hohe,0.0007183908045977011
stimme,0.0014367816091954023
drehte,0.0014367816091954023
legte,0.0007183908045977011
gesicht,0.0007183908045977011
hände,0.0007183908045977011
zimmer,0.0014367816091954023
mehr,0.0021551724137931034
versuchte,0.0014367816091954023
matt,0.0007183908045977011
erleuchteten,0.0007183908045977011
raumes,0.0007183908045977011
festzuhalten,0.0014367816091954023
wasser,0.0007183908045977011
hohlen,0.0007183908045977011
händen,0.0007183908045977011
halten,0.0014367816091954023
einzelheiten,0.0014367816091954023
versickerten,0.0007183908045977011
umso,0.0007183908045977011
schneller,0.0007183908045977011
je,0.0014367816091954023
angestrengter,0.0007183908045977011
jemanden,0.0014367816091954023
gesprochen,0.0014367816091954023
getötet,0.0014367816091954023
konnte,0.0014367816091954023
namen,0.0007183908045977011
erinnern,0.0014367816091954023
verschworen,0.0007183908045977011
töten,0.0007183908045977011
hob,0.0007183908045977011
kopf,0.0014367816091954023
öffnete,0.0007183908045977011
augen,0.004310344827586207
blickte,0.0007183908045977011
umher,0.0007183908045977011
erwartete,0.0007183908045977011
ungewöhnliches,0.0007183908045977011
unschuldig,0.0007183908045977011
morde,0.0007183908045977011
verurteilt,0.0007183908045977011
worden,0.0014367816091954023
begangen,0.0007183908045977011
helfer,0.0007183908045977011
fast,0.0007183908045977011
tot,0.0014367816091954023
hielten,0.0007183908045977011
sagte,0.0028735632183908046
macht,0.0007183908045977011
gelangen,0.0007183908045977011
schrecklicher,0.0007183908045977011
herrschen,0.0007183908045977011
hilfe,0.0007183908045977011
dieners,0.0007183908045977011
schaffen,0.0007183908045977011
nacht,0.0021551724137931034
geflohen,0.0007183908045977011
seit,0.0014367816091954023
drei,0.0007183908045977011
jahren,0.0007183908045977011
schon,0.0007183908045977011
stellte,0.0007183908045977011
tod,0.0014367816091954023
eltern,0.0021551724137931034
herausgefunden,0.0007183908045977011
ermordet,0.0014367816091954023
wusste,0.0028735632183908046
geschehen,0.0007183908045977011
versteck,0.0007183908045977011
verraten,0.0014367816091954023
daraufhin,0.0007183908045977011
haus,0.0007183908045977011
aufgespürt,0.0007183908045977011
angeblich,0.0007183908045977011
weit,0.0007183908045977011
fernen,0.0007183908045977011
land,0.0007183908045977011
versteckte,0.0007183908045977011
einsam,0.0007183908045977011
allein,0.0014367816091954023
entkräftet,0.0007183908045977011
machtlos,0.0007183908045977011
schmerzender,0.0007183908045977011
narbe,0.0014367816091954023
hochgeschreckt,0.0007183908045977011
mord,0.0007183908045977011
ausgeheckt,0.0007183908045977011
erschrak,0.0007183908045977011
stand,0.0007183908045977011
plötzlich,0.0007183908045977011
fetten,0.0007183908045977011
dame,0.0007183908045977011
schrie,0.0021551724137931034
nerv,0.0007183908045977011
körpers,0.0007183908045977011
brennen,0.0007183908045977011
schreien,0.0007183908045977011
erfüllte,0.0007183908045977011
ohren,0.0007183908045977011
entflammte,0.0007183908045977011
rasendem,0.0007183908045977011
schmerz,0.0007183908045977011
laut,0.0014367816091954023
hören,0.0007183908045977011
wissen,0.0007183908045977011
flure,0.0007183908045977011
lief,0.0007183908045977011
überlegte,0.0007183908045977011
soeben,0.0007183908045977011
ebenso,0.0007183908045977011
klar,0.0007183908045977011
deutlich,0.0007183908045977011
ligusterweg,0.0007183908045977011
schlaf,0.0007183908045977011
gerissen,0.0007183908045977011
führte,0.0007183908045977011
später,0.0007183908045977011
gut,0.0007183908045977011
daran,0.0014367816091954023
gehört,0.0007183908045977011
beschuldigte,0.0007183908045977011
dummen,0.0007183908045977011
fehler,0.0014367816091954023
gemacht,0.0007183908045977011
uhu,0.0007183908045977011
gute,0.0007183908045977011
nachrichten,0.0007183908045977011
gebracht,0.0007183908045977011
ausgemerzt,0.0007183908045977011
jemand,0.0007183908045977011
deshalb,0.0007183908045977011
verfüttert,0.0007183908045977011
statt,0.0007183908045977011
fraß,0.0007183908045977011
vorgeworfen,0.0007183908045977011
gedankenversunken,0.0007183908045977011
steinernen,0.0007183908045977011
wasserspeier,0.0007183908045977011
eingang,0.0007183908045977011
büro,0.0007183908045977011
bewachte,0.0007183908045977011
einfach,0.0007183908045977011
vorbeigegangen,0.0007183908045977011
bitte,0.0028735632183908046
bückte,0.0007183908045977011
zog,0.0007183908045977011
linken,0.0007183908045977011
arm,0.0007183908045977011
hervor,0.0014367816091954023
schob,0.0007183908045977011
ärmel,0.0007183908045977011
umhangs,0.0007183908045977011
ellbogen,0.0007183908045977011
haut,0.0007183908045977011
unterarms,0.0007183908045977011
erkennen,0.0007183908045977011
aussah,0.0014367816091954023
brennend,0.0007183908045977011
rote,0.0014367816091954023
tätowierung,0.0007183908045977011
totenschädel,0.0007183908045977011
mund,0.0007183908045977011
drang,0.0007183908045977011
zeichen,0.0007183908045977011
himmel,0.0007183908045977011
dunkle,0.0007183908045977011
mal,0.0014367816091954023
untersuchte,0.0007183908045977011
sorgfältig,0.0007183908045977011
krampfartiges,0.0007183908045977011
schluchzen,0.0007183908045977011
achten,0.0007183908045977011
löste,0.0007183908045977011
finger,0.0007183908045977011
sah,0.0007183908045977011
pechschwarz,0.0007183908045977011
verfärbt,0.0007183908045977011
zusammen,0.0007183908045977011
bildeten,0.0007183908045977011
