term,relative_frequency
sagte,0.0038560411311053984
zornig,0.0012853470437017994
ging,0.0012853470437017994
hinüber,0.0012853470437017994
PIDWIDGEON,0.032133676092544985
schnabel,0.0012853470437017994
entrümpeln,0.0012853470437017994
heute,0.0012853470437017994
gingen,0.002570694087403599
gruppen,0.0012853470437017994
auffälligsten,0.0012853470437017994
KRUMMBEIN,0.008997429305912597
erste,0.0012853470437017994
dran,0.0012853470437017994
kaum,0.0012853470437017994
ganz,0.0012853470437017994
entspannt,0.0012853470437017994
munter,0.0012853470437017994
schwatzend,0.0012853470437017994
absperrung,0.0012853470437017994
gelehnt,0.0012853470437017994
schon,0.002570694087403599
seitlich,0.0012853470437017994
hindurchglitten,0.0012853470437017994
gleis,0.0012853470437017994
neundreiviertel,0.0012853470437017994
augen,0.0012853470437017994
auftauchte,0.0012853470437017994
öffnete,0.0012853470437017994
koffer,0.0038560411311053984
zog,0.0038560411311053984
kastanienbraunen,0.0012853470437017994
festumhang,0.0038560411311053984
hervor,0.002570694087403599
warf,0.0038560411311053984
käfig,0.006426735218508998
geschrei,0.0012853470437017994
dämpfen,0.0012853470437017994
wickelte,0.0012853470437017994
umhang,0.0012853470437017994
ließ,0.005141388174807198
hängen,0.0012853470437017994
ende,0.0012853470437017994
schaffte,0.0012853470437017994
überzeugen,0.0012853470437017994
laut,0.0012853470437017994
überlegte,0.0012853470437017994
wohl,0.0012853470437017994
müde,0.0012853470437017994
sei,0.0012853470437017994
bitten,0.0012853470437017994
leihen,0.0012853470437017994
daraufhin,0.0012853470437017994
streckte,0.0012853470437017994
bein,0.002570694087403599
brief,0.0038560411311053984
daran,0.0012853470437017994
festbinden,0.0012853470437017994
abend,0.0012853470437017994
hoch,0.0012853470437017994
eulerei,0.0012853470437017994
suchen,0.0012853470437017994
schicken,0.0012853470437017994
wollten,0.0012853470437017994
fuhr,0.0012853470437017994
fort,0.0012853470437017994
fenster,0.0012853470437017994
trug,0.0012853470437017994
warteten,0.002570694087403599
dunkelheit,0.0012853470437017994
verschwunden,0.0012853470437017994
hör,0.0012853470437017994
unten,0.0012853470437017994
gibt,0.0012853470437017994
s,0.0012853470437017994
ne,0.0012853470437017994
überraschungsparty,0.0012853470437017994
inzwischen,0.0012853470437017994
bestimmt,0.0012853470437017994
genug,0.0012853470437017994
futtern,0.0012853470437017994
küche,0.0012853470437017994
geklaut,0.0012853470437017994
ausleihen,0.0012853470437017994
zischte,0.0012853470437017994
nahm,0.002570694087403599
paar,0.0012853470437017994
stufen,0.0012853470437017994
oben,0.002570694087403599
packte,0.0012853470437017994
schloss,0.0012853470437017994
faust,0.0038560411311053984
quetschte,0.0012853470437017994
kopf,0.002570694087403599
schuhuhte,0.0038560411311053984
vergnügt,0.0012853470437017994
fauchte,0.0012853470437017994
fuchtelte,0.0012853470437017994
ausgelassener,0.0012853470437017994
rasch,0.0012853470437017994
luft,0.0012853470437017994
geschleudert,0.0012853470437017994
wurde,0.0012853470437017994
antwortbrief,0.0012853470437017994
vorsichtig,0.0012853470437017994
steckte,0.0012853470437017994
tasche,0.0012853470437017994
hasteten,0.0012853470437017994
lesen,0.0012853470437017994
verborgen,0.0012853470437017994
endlos,0.0012853470437017994
HEDWIG,0.007712082262210797
