term,relative_frequency
fragen,0.0011876484560570072
woher,0.0011876484560570072
karte,0.0011876484560570072
recht,0.0011876484560570072
zweifelhaften,0.0011876484560570072
magischen,0.0011876484560570072
gegenstand,0.0011876484560570072
eigentlich,0.0011876484560570072
geschichte,0.0011876484560570072
hände,0.0011876484560570072
gefallen,0.0011876484560570072
belasten,0.0011876484560570072
eigenen,0.0011876484560570072
vater,0.0011876484560570072
sowie,0.0011876484560570072
professor,0.0011876484560570072
letzten,0.0023752969121140144
lehrer,0.0011876484560570072
verteidigung,0.0011876484560570072
dunklen,0.0011876484560570072
künste,0.0011876484560570072
sagte,0.0035629453681710215
wies,0.0011876484560570072
schon,0.0035629453681710215
gerade,0.0011876484560570072
butterbier,0.0011876484560570072
eingeschenkt,0.0011876484560570072
stapfte,0.0023752969121140144
herein,0.0011876484560570072
salon,0.0011876484560570072
gestürmt,0.0023752969121140144
dicht,0.0011876484560570072
gefolgt,0.0023752969121140144
hinterdrein,0.0011876484560570072
gepäckkarre,0.0011876484560570072
fast,0.0011876484560570072
entladen,0.0011876484560570072
auftauchten,0.0011876484560570072
umrisse,0.0011876484560570072
mr,0.0023752969121140144
mrs,0.0023752969121140144
weasley,0.0023752969121140144
wurden,0.0011876484560570072
rasch,0.0011876484560570072
kleiner,0.0011876484560570072
schwarze,0.0011876484560570072
hund,0.0011876484560570072
sprang,0.0011876484560570072
neben,0.0011876484560570072
fenster,0.0011876484560570072
her,0.0011876484560570072
wedelte,0.0011876484560570072
schwanz,0.0011876484560570072
verschwommene,0.0011876484560570072
gestalten,0.0011876484560570072
bahnsteig,0.0011876484560570072
beobachteten,0.0011876484560570072
lachend,0.0023752969121140144
zug,0.0011876484560570072
nachjagte,0.0011876484560570072
ging,0.0011876484560570072
kurve,0.0011876484560570072
verschwunden,0.0011876484560570072
schluss,0.0011876484560570072
gezogen,0.0011876484560570072
weasleys,0.0023752969121140144
wussten,0.0011876484560570072
versteckt,0.0011876484560570072
hielt,0.0011876484560570072
denen,0.0023752969121140144
wohlverstandene,0.0011876484560570072
interesse,0.0011876484560570072
unserer,0.0011876484560570072
kinder,0.0011876484560570072
echtes,0.0011876484560570072
anliegen,0.0011876484560570072
sorge,0.0011876484560570072
launenhaften,0.0023752969121140144
entscheidungen,0.0023752969121140144
jahre,0.0011876484560570072
froh,0.0011876484560570072
wissen,0.0011876484560570072
ministerium,0.0011876484560570072
lage,0.0011876484560570072
auge,0.0023752969121140144
gehören,0.0011876484560570072
zweifellos,0.0011876484560570072
umstrittene,0.0011876484560570072
stellenbesetzungen,0.0011876484560570072
zeitung,0.0011876484560570072
bereits,0.0011876484560570072
berichteten,0.0011876484560570072
darunter,0.0023752969121140144
einstellung,0.0011876484560570072
werwolfs,0.0011876484560570072
halbriesen,0.0011876484560570072
wahnvorstellungen,0.0011876484560570072
leidenden,0.0011876484560570072
sobald,0.0011876484560570072
weihnachtsessen,0.0011876484560570072
fertig,0.0011876484560570072
wollten,0.0011876484560570072
eskortiert,0.0011876484560570072
besuchen,0.0011876484560570072
krachten,0.0011876484560570072
hoch,0.0011876484560570072
zwei,0.0011876484560570072
weitere,0.0011876484560570072
türen,0.0011876484560570072
fünf,0.0011876484560570072
leute,0.0011876484560570072
kamen,0.0011876484560570072
raum,0.0011876484560570072
immer,0.0023752969121140144
bogen,0.0023752969121140144
starrte,0.0011876484560570072
zornig,0.0011876484560570072
warten,0.0023752969121140144
ließ,0.0011876484560570072
kämpfte,0.0011876484560570072
befreien,0.0011876484560570072
erkannte,0.0011876484560570072
teil,0.0011876484560570072
nie,0.0011876484560570072
lange,0.0011876484560570072
lassen,0.0011876484560570072
riskiert,0.0011876484560570072
gelangen,0.0011876484560570072
helfen,0.0011876484560570072
mehr,0.0011876484560570072
auftauchte,0.0011876484560570072
obwohl,0.0011876484560570072
schrie,0.0011876484560570072
hinge,0.0011876484560570072
leben,0.0011876484560570072
davon,0.0011876484560570072
ab,0.0011876484560570072
einzig,0.0011876484560570072
mögliche,0.0011876484560570072
erklärung,0.0011876484560570072
zurückkommen,0.0011876484560570072
konnte,0.0011876484560570072
wirklich,0.0011876484560570072
meisten,0.0023752969121140144
verbliebenen,0.0011876484560570072
todesser,0.0011876484560570072
mitte,0.0011876484560570072
raums,0.0011876484560570072
zusammengedrängt,0.0011876484560570072
offenbar,0.0023752969121140144
unsichtbare,0.0011876484560570072
seile,0.0011876484560570072
außer,0.0011876484560570072
gefecht,0.0011876484560570072
gesetzt,0.0011876484560570072
stelle,0.0011876484560570072
gekrochen,0.0011876484560570072
boden,0.0011876484560570072
lag,0.0011876484560570072
versuchte,0.0011876484560570072
wiederzubeleben,0.0011876484560570072
hauptquartier,0.0011876484560570072
kontakt,0.0011876484560570072
aufnahm,0.0011876484560570072
nacht,0.0011876484560570072
liebe,0.0011876484560570072
wär,0.0011876484560570072
s,0.0011876484560570072
wochenende,0.0011876484560570072
abendessen,0.0011876484560570072
kämst,0.0011876484560570072
kommen,0.0011876484560570072
kannte,0.0011876484560570072
allerdings,0.0011876484560570072
mitglieder,0.0011876484560570072
phönixordens,0.0011876484560570072
deren,0.0011876484560570072
haar,0.00831353919239905
wunderbarerweise,0.0011876484560570072
höchst,0.0011876484560570072
leuchtenden,0.0011876484560570072
rosa,0.0011876484560570072
hand,0.0023752969121140144
gestützt,0.0011876484560570072
jacketts,0.0011876484560570072
schwarzer,0.0011876484560570072
drachenhaut,0.0011876484560570072
trugen,0.0011876484560570072
führte,0.0011876484560570072
hinein,0.0011876484560570072
küche,0.0011876484560570072
schwatzend,0.0011876484560570072
stühlen,0.0011876484560570072
niederließen,0.0011876484560570072
tante,0.0011876484560570072
glänzende,0.0011876484560570072
arbeitsplatten,0.0011876484560570072
hockten,0.0011876484560570072
makellos,0.0011876484560570072
sauberen,0.0011876484560570072
haushaltsgeräte,0.0011876484560570072
lehnten,0.0011876484560570072
lang,0.0011876484560570072
schlaksig,0.0011876484560570072
buschige,0.0011876484560570072
langen,0.0035629453681710215
zopf,0.0011876484560570072
zurückgebunden,0.0011876484560570072
