term,relative_frequency
nymphadora,0.001601708489054992
nenn,0.0005339028296849973
sagte,0.0058729311265349705
junge,0.0005339028296849973
hexe,0.0005339028296849973
schaudernd,0.0005339028296849973
bestens,0.0005339028296849973
blickte,0.002135611318739989
eintraten,0.0005339028296849973
nahm,0.0005339028296849973
arm,0.0010678056593699946
führte,0.0010678056593699946
grasfleck,0.0005339028296849973
straße,0.0005339028296849973
gehweg,0.0005339028296849973
koffer,0.0010678056593699946
trugen,0.001601708489054992
folgten,0.0005339028296849973
rest,0.0010678056593699946
leibgarde,0.0005339028296849973
flankierte,0.0005339028296849973
zauberstäbe,0.0005339028296849973
anschlag,0.0005339028296849973
schulter,0.0010678056593699946
sah,0.0037373198077949813
begleiter,0.0005339028296849973
nacheinander,0.0005339028296849973
hereinkommen,0.0005339028296849973
HEDWIG,0.0005339028296849973
käfig,0.0005339028296849973
reihe,0.0005339028296849973
hauselfenköpfen,0.0005339028296849973
wand,0.0005339028296849973
vorbeikamen,0.0005339028296849973
sahen,0.0005339028296849973
mrs,0.0037373198077949813
weasley,0.0037373198077949813
vielen,0.0010678056593699946
schlösser,0.0005339028296849973
riegel,0.0005339028296849973
haustür,0.0005339028296849973
gerade,0.002135611318739989
hinausgegangenen,0.0005339028296849973
magisch,0.0005339028296849973
versiegelten,0.0005339028296849973
reihum,0.0005339028296849973
sprang,0.0010678056593699946
denkwürdigen,0.0005339028296849973
nachmittag,0.0005339028296849973
lang,0.0010678056593699946
mörderischen,0.0005339028296849973
alten,0.0005339028296849973
ghul,0.0005339028296849973
fanden,0.0005339028296849973
toilette,0.0005339028296849973
oberen,0.0005339028296849973
stockwerk,0.0005339028296849973
lauerte,0.0005339028296849973
haus,0.0005339028296849973
wohnte,0.0005339028296849973
jedoch,0.0005339028296849973
immer,0.001601708489054992
längere,0.0005339028296849973
zeit,0.001601708489054992
verließ,0.0005339028296849973
geheime,0.0005339028296849973
aufträge,0.0005339028296849973
orden,0.0005339028296849973
erledigen,0.0005339028296849973
half,0.0005339028296849973
standuhr,0.0005339028296849973
reparieren,0.0005339028296849973
unangenehme,0.0005339028296849973
gewohnheit,0.0005339028296849973
angenommen,0.0005339028296849973
schwere,0.0005339028296849973
schrauben,0.0005339028296849973
vorbeigehende,0.0005339028296849973
schießen,0.0005339028296849973
schob,0.0005339028296849973
tür,0.0005339028296849973
mr,0.002135611318739989
dasitzen,0.0005339028296849973
fast,0.0010678056593699946
warten,0.001601708489054992
warf,0.0010678056593699946
blick,0.001601708489054992
wandte,0.0005339028296849973
wolltest,0.0005339028296849973
eben,0.0005339028296849973
