term,relative_frequency
gespräch,0.001488095238095238
kobolde,0.001488095238095238
vertieft,0.001488095238095238
sagte,0.002976190476190476
blickte,0.002976190476190476
reihum,0.001488095238095238
tut,0.001488095238095238
leid,0.001488095238095238
lieben,0.001488095238095238
kommt,0.002976190476190476
heute,0.001488095238095238
abend,0.001488095238095238
beiden,0.001488095238095238
unterbringen,0.001488095238095238
warf,0.001488095238095238
verärgerten,0.001488095238095238
blick,0.001488095238095238
schuld,0.001488095238095238
wäre,0.001488095238095238
statt,0.001488095238095238
schwiegertochter,0.001488095238095238
bekam,0.001488095238095238
sah,0.001488095238095238
hinüber,0.001488095238095238
gerade,0.001488095238095238
truthahnstückchen,0.001488095238095238
gabel,0.001488095238095238
fütterte,0.001488095238095238
dachte,0.001488095238095238
mrs,0.004464285714285714
weasley,0.004464285714285714
längst,0.001488095238095238
verlorene,0.001488095238095238
schlacht,0.001488095238095238
kämpfte,0.001488095238095238
nein,0.001488095238095238
glaube,0.001488095238095238
echter,0.001488095238095238
werwolf,0.001488095238095238
heißt,0.001488095238095238
gewissen,0.001488095238095238
vergiftung,0.001488095238095238
ganz,0.001488095238095238
außer,0.001488095238095238
hoffte,0.001488095238095238
widersprechen,0.002976190476190476
tat,0.001488095238095238
brach,0.001488095238095238
stuhl,0.001488095238095238
neben,0.001488095238095238
bett,0.001488095238095238
zusammen,0.001488095238095238
vergrub,0.001488095238095238
gesicht,0.002976190476190476
händen,0.001488095238095238
verwirrend,0.001488095238095238
mitgeteilt,0.001488095238095238
schule,0.001488095238095238
paar,0.001488095238095238
stunden,0.001488095238095238
verlassen,0.001488095238095238
sollten,0.002976190476190476
fälle,0.001488095238095238
korridoren,0.001488095238095238
patrouillieren,0.001488095238095238
nymphadora,0.001488095238095238
stoßen,0.002976190476190476
patrouilliert,0.001488095238095238
meisten,0.001488095238095238
kannte,0.001488095238095238
allerdings,0.001488095238095238
schon,0.001488095238095238
darunter,0.001488095238095238
mitglieder,0.001488095238095238
phönixordens,0.001488095238095238
deren,0.001488095238095238
haar,0.010416666666666666
wunderbarerweise,0.001488095238095238
höchst,0.001488095238095238
leuchtenden,0.001488095238095238
rosa,0.001488095238095238
offenbar,0.001488095238095238
hand,0.002976190476190476
mr,0.002976190476190476
gestützt,0.001488095238095238
gefolgt,0.001488095238095238
jacketts,0.001488095238095238
schwarzer,0.001488095238095238
drachenhaut,0.001488095238095238
trugen,0.001488095238095238
führte,0.001488095238095238
hinein,0.001488095238095238
küche,0.001488095238095238
lachend,0.001488095238095238
schwatzend,0.001488095238095238
stühlen,0.001488095238095238
niederließen,0.001488095238095238
tante,0.001488095238095238
glänzende,0.001488095238095238
arbeitsplatten,0.001488095238095238
hockten,0.001488095238095238
makellos,0.001488095238095238
sauberen,0.001488095238095238
haushaltsgeräte,0.001488095238095238
lehnten,0.001488095238095238
lang,0.001488095238095238
schlaksig,0.001488095238095238
buschige,0.001488095238095238
langen,0.004464285714285714
zopf,0.001488095238095238
zurückgebunden,0.001488095238095238
ununterscheidbar,0.001488095238095238
grinsend,0.001488095238095238
üblen,0.001488095238095238
narben,0.001488095238095238
haaren,0.001488095238095238
freundlichem,0.001488095238095238
schütterem,0.001488095238095238
leicht,0.001488095238095238
schief,0.001488095238095238
sitzender,0.001488095238095238
brille,0.001488095238095238
kampf,0.001488095238095238
gezeichnet,0.001488095238095238
bein,0.001488095238095238
strahlend,0.001488095238095238
blauen,0.001488095238095238
auge,0.001488095238095238
höhle,0.001488095238095238
surrte,0.001488095238095238
kurzes,0.001488095238095238
lieblingsfarbe,0.001488095238095238
trug,0.001488095238095238
knalligen,0.001488095238095238
pink,0.001488095238095238
grauer,0.001488095238095238
faltiger,0.001488095238095238
schlank,0.001488095238095238
schön,0.001488095238095238
silbrig,0.001488095238095238
blonden,0.001488095238095238
kahlköpfig,0.001488095238095238
schwarz,0.001488095238095238
breitschultrig,0.001488095238095238
struppigen,0.001488095238095238
bart,0.001488095238095238
gebückt,0.001488095238095238
dastand,0.001488095238095238
kopf,0.001488095238095238
decke,0.001488095238095238
klein,0.001488095238095238
schmutzig,0.001488095238095238
erbärmlich,0.001488095238095238
matten,0.001488095238095238
bassetartigen,0.001488095238095238
hundeaugen,0.001488095238095238
verfilzten,0.001488095238095238
weggegangen,0.001488095238095238
stellte,0.001488095238095238
glas,0.001488095238095238
kleinen,0.001488095238095238
tisch,0.001488095238095238
wandte,0.001488095238095238
gibt,0.001488095238095238
arbeit,0.001488095238095238
verabschiedeten,0.001488095238095238
gingen,0.001488095238095238
begräbnis,0.001488095238095238
bereiten,0.001488095238095238
gelungen,0.001488095238095238
leichnam,0.001488095238095238
bergen,0.001488095238095238
meinte,0.001488095238095238
zusammenleben,0.001488095238095238
murmelte,0.001488095238095238
rannte,0.001488095238095238
tür,0.002976190476190476
riss,0.001488095238095238
ging,0.001488095238095238
rasch,0.001488095238095238
wein,0.001488095238095238
holen,0.001488095238095238
überredete,0.001488095238095238
kleinigkeit,0.001488095238095238
trinken,0.001488095238095238
leeren,0.001488095238095238
gläser,0.001488095238095238
abstellte,0.001488095238095238
hinausgetragen,0.001488095238095238
zog,0.001488095238095238
sperrte,0.001488095238095238
lebhaften,0.001488095238095238
stimmen,0.001488095238095238
weiterfeierten,0.001488095238095238
schauten,0.001488095238095238
hoch,0.001488095238095238
herum,0.001488095238095238
standen,0.001488095238095238
