term,relative_frequency
sah,0.004942339373970346
oft,0.0016474464579901153
darunter,0.0016474464579901153
verschwinden,0.0016474464579901153
sagte,0.004942339373970346
fuchtelte,0.0016474464579901153
erneut,0.0032948929159802307
ungeduldig,0.0016474464579901153
hand,0.0016474464579901153
umgebracht,0.0016474464579901153
töten,0.0032948929159802307
musst,0.0016474464579901153
helfen,0.0016474464579901153
blacks,0.0016474464579901153
gesicht,0.0032948929159802307
ähnelte,0.0016474464579901153
mehr,0.0016474464579901153
je,0.0016474464579901153
totenschädel,0.0016474464579901153
starrte,0.0016474464579901153
unergründlichen,0.0016474464579901153
augen,0.0016474464579901153
erst,0.0016474464579901153
trocknete,0.0016474464579901153
rang,0.0016474464579901153
beinahe,0.0016474464579901153
luft,0.0016474464579901153
hätte,0.011532125205930808
gewollt,0.0016474464579901153
verstanden,0.0016474464579901153
gnade,0.0016474464579901153
erwiesen,0.0016474464579901153
black,0.0016474464579901153
traten,0.0016474464579901153
rasch,0.0016474464579901153
packten,0.0016474464579901153
schultern,0.0016474464579901153
warfen,0.0016474464579901153
rücken,0.0016474464579901153
VOLDEMORT,0.0016474464579901153
hast,0.0032948929159802307
ahnung,0.0032948929159802307
besitzt,0.0016474464579901153
waffen,0.0016474464579901153
denen,0.0016474464579901153
angst,0.0016474464579901153
nie,0.0016474464579901153
mutig,0.0016474464579901153
ja,0.0016474464579901153
versteh,0.0016474464579901153
meinst,0.0016474464579901153
kahlköpfiger,0.0016474464579901153
schwarzer,0.0016474464579901153
zauberer,0.0016474464579901153
ganz,0.0016474464579901153
hinten,0.0016474464579901153
stand,0.0016474464579901153
tiefe,0.0016474464579901153
bedächtige,0.0016474464579901153
stimme,0.0016474464579901153
trug,0.0016474464579901153
goldenen,0.0016474464579901153
ring,0.0016474464579901153
ohr,0.0016474464579901153
sieht,0.0016474464579901153
genau,0.0016474464579901153
schien,0.0016474464579901153
darüber,0.0016474464579901153
nachzudenken,0.0016474464579901153
eher,0.0016474464579901153
tatsache,0.0016474464579901153
existiert,0.0016474464579901153
verstehst,0.0016474464579901153
viele,0.0016474464579901153
umstehenden,0.0016474464579901153
schüler,0.0016474464579901153
lachten,0.0016474464579901153
scheinbar,0.0016474464579901153
immer,0.0032948929159802307
buch,0.0016474464579901153
vertieft,0.0016474464579901153
lachte,0.0016474464579901153
ebenso,0.0016474464579901153
wenig,0.006589785831960461
erinnerte,0.0016474464579901153
grimmauldplatz,0.0016474464579901153
gesagt,0.0032948929159802307
vertrauensschüler,0.0016474464579901153
gemacht,0.0032948929159802307
hoffnung,0.0016474464579901153
könne,0.0016474464579901153
bändigen,0.0016474464579901153
denkarium,0.0016474464579901153
dagesessen,0.0016474464579901153
geschehen,0.0016474464579901153
lassen,0.0016474464579901153
dachte,0.0016474464579901153
daran,0.0016474464579901153
eingegriffen,0.0016474464579901153
nein,0.0016474464579901153
glaube,0.0016474464579901153
erwiderte,0.0016474464579901153
gipfel,0.0016474464579901153
schande,0.0016474464579901153
betrachtet,0.0016474464579901153
freunden,0.0016474464579901153
misstrauen,0.0016474464579901153
links,0.0016474464579901153
schon,0.0016474464579901153
damals,0.0016474464579901153
schäbig,0.0016474464579901153
aussah,0.0016474464579901153
machte,0.0032948929159802307
eindruck,0.0016474464579901153
freudig,0.0016474464579901153
überrascht,0.0016474464579901153
schätzte,0.0016474464579901153
aufgenommen,0.0016474464579901153
las,0.0016474464579901153
dinge,0.0016474464579901153
deshalb,0.0016474464579901153
bild,0.0016474464579901153
heraus,0.0016474464579901153
wusste,0.0016474464579901153
kamin,0.0016474464579901153
gesprochen,0.0016474464579901153
wegen,0.0016474464579901153
vergewissern,0.0016474464579901153
getröstet,0.0016474464579901153
unterstützt,0.0016474464579901153
wütend,0.0016474464579901153
sohn,0.0016474464579901153
alten,0.0016474464579901153
freund,0.0016474464579901153
behandelt,0.0016474464579901153
moment,0.0016474464579901153
beleidigt,0.0016474464579901153
ganzer,0.0016474464579901153
körper,0.0016474464579901153
entspannt,0.0016474464579901153
entfernten,0.0016474464579901153
gang,0.0016474464579901153
federnder,0.0016474464579901153
geworden,0.0016474464579901153
szene,0.0016474464579901153
löste,0.0016474464579901153
große,0.0016474464579901153
halle,0.0016474464579901153
verließ,0.0016474464579901153
nachdem,0.0016474464579901153
verteidigung,0.0016474464579901153
dunklen,0.0016474464579901153
künste,0.0016474464579901153
abgelegt,0.0016474464579901153
schloss,0.0016474464579901153
ging,0.0016474464579901153
gedankenverloren,0.0016474464579901153
herumschlenderte,0.0016474464579901153
platz,0.0016474464579901153
buche,0.0016474464579901153
näherte,0.0016474464579901153
zusammensaßen,0.0016474464579901153
neben,0.0016474464579901153
gingen,0.0016474464579901153
fast,0.0016474464579901153
lautlos,0.0016474464579901153
anwesenheit,0.0016474464579901153
mut,0.0016474464579901153
grund,0.0016474464579901153
dafür,0.0016474464579901153
unaufhörlich,0.0016474464579901153
fuß,0.0016474464579901153
setzen,0.0016474464579901153
konnte,0.0016474464579901153
