term,relative_frequency
briefe,0.0015267175572519084
schule,0.0015267175572519084
sagte,0.007633587786259542
reichte,0.0007633587786259542
gleiche,0.0007633587786259542
umschläge,0.0007633587786259542
gelblichem,0.0007633587786259542
pergament,0.0007633587786259542
grüner,0.0007633587786259542
tinte,0.0007633587786259542
adressiert,0.0007633587786259542
drehten,0.0007633587786259542
belebte,0.0007633587786259542
straße,0.0007633587786259542
rannten,0.0015267175572519084
lief,0.0007633587786259542
rot,0.0007633587786259542
dunkler,0.0007633587786259542
außer,0.0007633587786259542
verzauberte,0.0007633587786259542
wagen,0.0022900763358778627
gehörte,0.0007633587786259542
tat,0.0007633587786259542
hätten,0.0007633587786259542
ganz,0.0007633587786259542
zufällig,0.0007633587786259542
fliegenden,0.0007633587786259542
bahnhof,0.0007633587786259542
gefunden,0.0007633587786259542
dachte,0.0007633587786259542
seit,0.0022900763358778627
bruchlandung,0.0007633587786259542
verschollen,0.0007633587786259542
ganze,0.0007633587786259542
bündel,0.0007633587786259542
regelbrüchen,0.0007633587786259542
schon,0.0022900763358778627
ausheckten,0.0007633587786259542
sei,0.0007633587786259542
albern,0.0007633587786259542
näherem,0.0007633587786259542
hinsehen,0.0007633587786259542
äußerst,0.0007633587786259542
angespannt,0.0007633587786259542
wirkte,0.0007633587786259542
bretterverschlag,0.0007633587786259542
explodierte,0.0007633587786259542
elektrische,0.0007633587786259542
feuer,0.0007633587786259542
flog,0.0007633587786259542
durchs,0.0007633587786259542
zimmer,0.0007633587786259542
wurden,0.0015267175572519084
wolke,0.0007633587786259542
schutt,0.0007633587786259542
holzspänen,0.0007633587786259542
kamin,0.0007633587786259542
geschleudert,0.0007633587786259542
dran,0.0007633587786259542
ah,0.0007633587786259542
ja,0.0015267175572519084
grinsend,0.0015267175572519084
sohn,0.0015267175572519084
gerade,0.0015267175572519084
ministerium,0.003816793893129771
angefangen,0.0007633587786259542
nein,0.0007633587786259542
tut,0.0007633587786259542
leid,0.0007633587786259542
tochter,0.0007633587786259542
freunde,0.0007633587786259542
beugte,0.0007633587786259542
milden,0.0007633587786259542
lächeln,0.0015267175572519084
hinüber,0.0007633587786259542
zog,0.0007633587786259542
hut,0.0007633587786259542
händen,0.0007633587786259542
heißt,0.0007633587786259542
lange,0.0007633587786259542
gefühle,0.0007633587786259542
abscheulich,0.0007633587786259542
hast,0.0030534351145038168
recht,0.0007633587786259542
warf,0.0007633587786259542
rasch,0.0015267175572519084
winkte,0.0007633587786259542
zeit,0.0015267175572519084
elfenrechte,0.0007633587786259542
diskutieren,0.0007633587786259542
paar,0.0007633587786259542
ergänzenden,0.0007633587786259542
worten,0.0007633587786259542
schilderte,0.0007633587786259542
wald,0.0007633587786259542
geschehen,0.0007633587786259542
zeichen,0.0007633587786259542
himmel,0.0007633587786259542
VOLDEMORT,0.0007633587786259542
anhänger,0.0007633587786259542
