term,relative_frequency
kleine,0.000702000702000702
schwester,0.001053001053001053
deutete,0.000351000351000351
sagte,0.007371007371007371
gedämpfter,0.0001755001755001755
stimme,0.000351000351000351
weißt,0.0001755001755001755
ja,0.000351000351000351
komisch,0.0001755001755001755
scheu,0.0001755001755001755
normalerweise,0.0001755001755001755
hört,0.0001755001755001755
plappern,0.0001755001755001755
stiegen,0.000351000351000351
zwei,0.001053001053001053
stockwerke,0.0001755001755001755
hoch,0.0005265005265005265
standen,0.0005265005265005265
tür,0.000702000702000702
frühstück,0.0001755001755001755
unten,0.0005265005265005265
gegangen,0.000351000351000351
mr,0.0005265005265005265
mrs,0.0015795015795015794
weasley,0.001404001404001404
schon,0.0026325026325026324
küchentisch,0.0001755001755001755
saßen,0.0008775008775008775
lief,0.0005265005265005265
scharlachrot,0.0001755001755001755
durchkämpften,0.0001755001755001755
bepackt,0.0001755001755001755
büchern,0.0001755001755001755
rot,0.0005265005265005265
dunkler,0.0001755001755001755
nehm,0.0001755001755001755
beide,0.000351000351000351
folgt,0.0001755001755001755
nahm,0.0005265005265005265
hand,0.0008775008775008775
machte,0.0001755001755001755
gesagt,0.0008775008775008775
erbost,0.0001755001755001755
denkt,0.0001755001755001755
offenbar,0.001053001053001053
immer,0.001755001755001755
schule,0.0001755001755001755
fliegt,0.0001755001755001755
nie,0.0005265005265005265
aufgeregt,0.0001755001755001755
gesehen,0.000351000351000351
heult,0.0001755001755001755
augen,0.001053001053001053
denk,0.0001755001755001755
mal,0.000702000702000702
erstklässler,0.0001755001755001755
wegen,0.0001755001755001755
ganzen,0.0001755001755001755
geschichte,0.0001755001755001755
völlig,0.000702000702000702
häuschen,0.0001755001755001755
egal,0.0001755001755001755
ohren,0.0001755001755001755
liefen,0.000351000351000351
forderten,0.0001755001755001755
paar,0.000702000702000702
spielen,0.000351000351000351
zauberschnippschnapp,0.0001755001755001755
heraus,0.0001755001755001755
saß,0.000351000351000351
ganz,0.0012285012285012285
niedergeschlagen,0.0001755001755001755
stammplatz,0.0001755001755001755
sah,0.0015795015795015794
versuchten,0.000351000351000351
spiele,0.0001755001755001755
rasch,0.000351000351000351
beenden,0.0001755001755001755
verloren,0.0001755001755001755
dauernd,0.0001755001755001755
absicht,0.0001755001755001755
dennoch,0.000351000351000351
weit,0.000351000351000351
mitternacht,0.0001755001755001755
endlich,0.000351000351000351
bett,0.000351000351000351
gingen,0.0008775008775008775
moment,0.001053001053001053
kam,0.0012285012285012285
herüber,0.0001755001755001755
setzte,0.000702000702000702
neben,0.001404001404001404
beugte,0.000351000351000351
sprach,0.0001755001755001755
leise,0.000351000351000351
hören,0.000702000702000702
konnten,0.0005265005265005265
gesund,0.0001755001755001755
strahlte,0.0001755001755001755
hielt,0.0005265005265005265
gute,0.000351000351000351
idee,0.0001755001755001755
sagen,0.000351000351000351
wer,0.000351000351000351
kammer,0.0001755001755001755
schreckens,0.0001755001755001755
geöffnet,0.0001755001755001755
jedenfalls,0.0001755001755001755
nimmst,0.0001755001755001755
besorgten,0.0001755001755001755
blick,0.0008775008775008775
DOBBY,0.0001755001755001755
belohnung,0.0001755001755001755
lang,0.000702000702000702
herrschte,0.0001755001755001755
stille,0.0001755001755001755
starrten,0.0001755001755001755
verdreckt,0.0001755001755001755
schleimbeschmiert,0.0001755001755001755
fall,0.0001755001755001755
blutbespritzt,0.0001755001755001755
dastanden,0.0001755001755001755
warf,0.000702000702000702
schnellen,0.0001755001755001755
scharfen,0.0001755001755001755
freund,0.000702000702000702
buch,0.0001755001755001755
entdeckt,0.0001755001755001755
hätten,0.0001755001755001755
hätte,0.0012285012285012285
schuld,0.0001755001755001755
gegeben,0.0008775008775008775
bekamen,0.0001755001755001755
abteil,0.0001755001755001755
mitte,0.0001755001755001755
bildes,0.0001755001755001755
groß,0.0001755001755001755
schlaksig,0.0001755001755001755
hausratte,0.0001755001755001755
KRAETZE,0.0001755001755001755
schulter,0.0005265005265005265
arm,0.0005265005265005265
gelegt,0.0001755001755001755
hau,0.0001755001755001755
ab,0.0005265005265005265
klein,0.0001755001755001755
rothaarig,0.0001755001755001755
jüngere,0.000351000351000351
verdrückten,0.0001755001755001755
küche,0.0008775008775008775
machten,0.0005265005265005265
gemeinsam,0.0005265005265005265
engen,0.0001755001755001755
flur,0.0001755001755001755
klapprige,0.0001755001755001755
treppe,0.000351000351000351
empor,0.0001755001755001755
zickzack,0.0001755001755001755
ganze,0.000351000351000351
haus,0.0001755001755001755
dachkammern,0.0001755001755001755
führte,0.0005265005265005265
lachten,0.0005265005265005265
jedoch,0.0005265005265005265
blieb,0.000351000351000351
stumm,0.000351000351000351
drei,0.000351000351000351
weitere,0.000351000351000351
treppen,0.0001755001755001755
herstiegen,0.0001755001755001755
hallten,0.0001755001755001755
rufe,0.0001755001755001755
doof,0.0001755001755001755
aufgehört,0.0001755001755001755
streiten,0.0001755001755001755
peinlichen,0.0001755001755001755
überbrücken,0.0001755001755001755
wanderte,0.0001755001755001755
neugierig,0.0001755001755001755
schicke,0.0001755001755001755
mittag,0.0001755001755001755
mann,0.000351000351000351
gewandt,0.000351000351000351
hinaus,0.0001755001755001755
folgten,0.0001755001755001755
