term,relative_frequency
sprangen,0.0001121805658387741
boote,2.2436113167754817e-05
hinterher,0.0002916694711808126
blickte,0.000740391734535909
genauso,0.00035897781068407707
verdutzt,0.00015705279217428372
aussah,0.0001121805658387741
hand,0.0008974445267101928
oben,0.0005160306028583608
geschnellt,2.2436113167754817e-05
sah,0.0021763029772722173
uhr,6.730833950326445e-05
wütend,0.00033654169751632225
öffnete,0.00020192501850979335
mund,0.0004711583765228512
vielleicht,0.00042628615018734157
genau,0.000493594489690606
erklären,0.0001121805658387741
fluch,6.730833950326445e-05
kobolde,0.00017948890534203853
funktionierte,2.2436113167754817e-05
zischen,2.2436113167754817e-05
gebot,2.2436113167754817e-05
schweigen,6.730833950326445e-05
scheuchte,2.2436113167754817e-05
weigerte,6.730833950326445e-05
sprechen,0.0003814139238518319
aufdringliche,2.2436113167754817e-05
besserwisserin,2.2436113167754817e-05
beiden,0.0007179556213681541
zusatzpunkt,2.2436113167754817e-05
verbuchten,2.2436113167754817e-05
jedoch,0.0005384667160261156
arbeiten,8.974445267101927e-05
hinunter,0.0004487222633550964
große,0.0004038500370195867
halle,0.0005609028291938704
hörten,0.00020192501850979335
freundin,6.730833950326445e-05
sagte,0.0067532700634942
sitze,2.2436113167754817e-05
heulend,2.2436113167754817e-05
mädchenklo,2.2436113167754817e-05
wolle,0.0001121805658387741
allein,0.0004487222633550964
gelassen,4.4872226335509633e-05
daraufhin,2.2436113167754817e-05
machte,0.0006282111686971349
verlegeneren,2.2436113167754817e-05
eindruck,6.730833950326445e-05
betraten,0.00017948890534203853
halloween,2.2436113167754817e-05
ausgeschmückt,2.2436113167754817e-05
vergaßen,2.2436113167754817e-05
letzte,0.0002243611316775482
tun,0.0004038500370195867
regeln,4.4872226335509633e-05
verstieß,2.2436113167754817e-05
stellte,0.000246797244845303
behauptete,4.4872226335509633e-05
ebendies,2.2436113167754817e-05
patsche,2.2436113167754817e-05
helfen,0.000246797244845303
seit,0.0002243611316775482
bergtroll,2.2436113167754817e-05
gerettet,4.4872226335509633e-05
worden,0.0002692333580130578
mehr,0.0008301361872069282
eng,0.0001121805658387741
überhaupt,0.0002243611316775482
netter,2.2436113167754817e-05
saßen,0.00042628615018734157
zusammen,0.0006955195082003993
fenster,0.00035897781068407707
las,0.00020192501850979335
hausaufgaben,0.000246797244845303
zauberkunst,4.4872226335509633e-05
gibt,0.0001346166790065289
nie,0.0002692333580130578
leben,0.00015705279217428372
sagten,0.00042628615018734157
munde,4.4872226335509633e-05
gefühl,0.00020192501850979335
nein,0.00042628615018734157
sagen,0.00042628615018734157
lehrer,0.00015705279217428372
zuhörten,2.2436113167754817e-05
ehrlich,6.730833950326445e-05
gesagt,0.00031410558434856743
glaubst,6.730833950326445e-05
seien,4.4872226335509633e-05
heilige,2.2436113167754817e-05
fuhr,0.0002916694711808126
setzten,0.0005384667160261156
oberen,6.730833950326445e-05
ränge,2.2436113167754817e-05
unermüdlichen,2.2436113167754817e-05
drängten,8.974445267101927e-05
aneinander,2.2436113167754817e-05
platz,0.00033654169751632225
bevor,0.0002692333580130578
wort,0.00035897781068407707
konnte,0.0016378362612461017
verschwunden,0.000246797244845303
los,0.0004487222633550964
mach,4.4872226335509633e-05
schon,0.0012788584505620247
murmelte,0.00035897781068407707
verzweifelt,0.00015705279217428372
hinten,0.00020192501850979335
wald,8.974445267101927e-05
hütte,0.00031410558434856743
braute,2.2436113167754817e-05
kräftigen,6.730833950326445e-05
tee,2.2436113167754817e-05
erklärte,8.974445267101927e-05
gesehen,0.00035897781068407707
sahen,0.0007628278477036638
unsicher,4.4872226335509633e-05
erzählen,0.00031410558434856743
sollten,0.00031410558434856743
zog,0.0006506472818648897
liste,4.4872226335509633e-05
fachgebieten,2.2436113167754817e-05
buchtiteln,2.2436113167754817e-05
hervor,0.00020192501850979335
denen,0.00031410558434856743
suchen,0.00015705279217428372
regale,4.4872226335509633e-05
entlangschlenderte,2.2436113167754817e-05
lust,0.00017948890534203853
laune,8.974445267101927e-05
mal,0.001233986224226515
buch,0.0002692333580130578
hervorzog,4.4872226335509633e-05
nämlich,4.4872226335509633e-05
vereinbart,2.2436113167754817e-05
lieber,0.000246797244845303
madam,0.00020192501850979335
fragen,0.0002243611316775482
wollten,0.0002916694711808126
flamel,2.2436113167754817e-05
finden,0.00017948890534203853
könnten,0.0001121805658387741
fünf,0.0002916694711808126
minuten,0.00035897781068407707
später,0.0005833389423616252
kamen,0.00042628615018734157
heraus,0.0002692333580130578
schüttelten,0.0001346166790065289
köpfe,0.000246797244845303
schön,0.0001121805658387741
gut,0.0007179556213681541
dachte,0.00033654169751632225
grund,0.0001346166790065289
warum,0.0002916694711808126
beim,0.00042628615018734157
quidditch,0.00017948890534203853
nähe,0.0001346166790065289
immer,0.0014134751295685536
training,4.4872226335509633e-05
blieben,0.000246797244845303
spieler,4.4872226335509633e-05
weile,0.0001346166790065289
beisammen,2.2436113167754817e-05
unterhielten,0.0001121805658387741
gleich,0.00020192501850979335
gemeinschaftsraum,0.0007628278477036638
gryffindors,0.0002916694711808126
schachspiel,2.2436113167754817e-05
fand,0.00033654169751632225
schach,4.4872226335509633e-05
einzige,0.00015705279217428372
verlor,4.4872226335509633e-05
meinung,6.730833950326445e-05
könne,6.730833950326445e-05
guttun,2.2436113167754817e-05
fragte,0.0007628278477036638
schleppte,2.2436113167754817e-05
hinüber,0.00042628615018734157
setzte,0.00042628615018734157
hieß,2.2436113167754817e-05
still,0.0001121805658387741
nachgeschaut,2.2436113167754817e-05
begann,0.0002243611316775482
murmelnd,6.730833950326445e-05
hastig,0.0001346166790065289
seiten,0.00017948890534203853
durchzublättern,2.2436113167754817e-05
ende,0.000493594489690606
gelesen,0.0001346166790065289
spielen,0.0002243611316775482
je,0.0002692333580130578
näher,0.00031410558434856743
spiel,0.00015705279217428372
rückte,2.2436113167754817e-05
desto,2.2436113167754817e-05
nervöser,2.2436113167754817e-05
wurde,0.00060577505552938
mochte,0.00017948890534203853
aufschneiderisch,2.2436113167754817e-05
getan,0.000246797244845303
folgenden,6.730833950326445e-05
nachmittag,0.0001121805658387741
wünschten,4.4872226335509633e-05
glück,0.0002916694711808126
wusste,0.0004487222633550964
fragten,8.974445267101927e-05
jemals,2.2436113167754817e-05
lebend,4.4872226335509633e-05
wiedersehen,2.2436113167754817e-05
inzwischen,0.00042628615018734157
rängen,2.2436113167754817e-05
gefunden,8.974445267101927e-05
neben,0.0006506472818648897
verstand,2.2436113167754817e-05
grimmig,4.4872226335509633e-05
besorgt,0.0002243611316775482
aussahen,4.4872226335509633e-05
zauberstäbe,0.0002916694711808126
mitgebracht,6.730833950326445e-05
ahnung,0.0001346166790065289
insgeheim,4.4872226335509633e-05
geübt,2.2436113167754817e-05
vergessen,0.000246797244845303
heißt,8.974445267101927e-05
locomotor,2.2436113167754817e-05
mortis,2.2436113167754817e-05
zauberstab,0.0007179556213681541
ärmel,4.4872226335509633e-05
hochschob,2.2436113167754817e-05
schrie,0.0004038500370195867
sprang,0.00035897781068407707
sitz,4.4872226335509633e-05
sehen,0.0006506472818648897
direkt,6.730833950326445e-05
zuraste,2.2436113167754817e-05
bemerkte,0.0002692333580130578
wälzten,2.2436113167754817e-05
stöhnen,2.2436113167754817e-05
schreien,0.0001346166790065289
knäuel,2.2436113167754817e-05
drang,6.730833950326445e-05
bestand,2.2436113167754817e-05
ging,0.0007852639608714186
feuchte,2.2436113167754817e-05
gras,8.974445267101927e-05
schleier,2.2436113167754817e-05
stunde,0.0002916694711808126
herbeigerannt,2.2436113167754817e-05
schultern,0.0001121805658387741
nehmen,0.000246797244845303
ferne,2.2436113167754817e-05
luft,0.0002916694711808126
blutverschmierter,2.2436113167754817e-05
nase,0.00017948890534203853
zujubelte,2.2436113167754817e-05
korridor,0.00020192501850979335
dritten,0.0001121805658387741
stock,0.0001346166790065289
vorbeigingen,4.4872226335509633e-05
drückten,8.974445267101927e-05
ohren,0.00017948890534203853
tür,0.0008301361872069282
hören,0.0004038500370195867
fluffy,2.2436113167754817e-05
dahinter,6.730833950326445e-05
knurrte,6.730833950326445e-05
verbrachten,0.0001121805658387741
größten,6.730833950326445e-05
teil,0.00017948890534203853
freien,8.974445267101927e-05
zeit,0.000740391734535909
stöhnend,2.2436113167754817e-05
gähnend,2.2436113167754817e-05
bibliothek,0.0002916694711808126
versuchten,0.00015705279217428372
vielen,8.974445267101927e-05
zusätzlichen,2.2436113167754817e-05
fertig,0.000246797244845303
strahlten,0.0001121805658387741
dachten,0.0001121805658387741
begonnen,4.4872226335509633e-05
stundenpläne,4.4872226335509633e-05
wiederholungen,2.2436113167754817e-05
auszuarbeiten,2.2436113167754817e-05
kräuterkunde,6.730833950326445e-05
schwänzen,4.4872226335509633e-05
schnurstracks,6.730833950326445e-05
gehen,0.0005609028291938704
davon,0.0005833389423616252
stritten,4.4872226335509633e-05
ganzen,0.0002916694711808126
schließlich,0.0003814139238518319
ließ,0.0009198806398779476
breitschlagen,2.2436113167754817e-05
großen,0.0004487222633550964
pause,0.00017948890534203853
laufen,6.730833950326445e-05
lächeln,0.00015705279217428372
ganze,0.00042628615018734157
nächste,0.0001121805658387741
woche,0.0001121805658387741
gesicht,0.0007179556213681541
hängen,4.4872226335509633e-05
blieb,0.00035897781068407707
nervös,6.730833950326445e-05
abend,0.00033654169751632225
rannten,0.00017948890534203853
krankenflügel,0.00015705279217428372
fürchterlichem,2.2436113167754817e-05
zustand,2.2436113167754817e-05
bett,0.0004711583765228512
vorfanden,2.2436113167754817e-05
beruhigen,6.730833950326445e-05
samstag,6.730833950326445e-05
mitternacht,4.4872226335509633e-05
vobei,2.2436113167754817e-05
besänftigte,2.2436113167754817e-05
mühten,2.2436113167754817e-05
spät,4.4872226335509633e-05
zutaten,4.4872226335509633e-05
komplizierter,2.2436113167754817e-05
gebräue,2.2436113167754817e-05
erinnerung,6.730833950326445e-05
rufen,4.4872226335509633e-05
zaubersprüche,4.4872226335509633e-05
zauberbanne,2.2436113167754817e-05
einzuprägen,4.4872226335509633e-05
jahreszahlen,2.2436113167754817e-05
großer,0.0001121805658387741
entdeckungen,2.2436113167754817e-05
zauberei,8.974445267101927e-05
koboldaufständen,2.2436113167754817e-05
auswendig,2.2436113167754817e-05
lernen,6.730833950326445e-05
etwa,0.0001346166790065289
prüfungen,6.730833950326445e-05
beginnen,4.4872226335509633e-05
jüngster,2.2436113167754817e-05
entschluss,2.2436113167754817e-05
dinge,0.0001346166790065289
stecken,0.0001121805658387741
angingen,2.2436113167754817e-05
unerwartet,2.2436113167754817e-05
probe,2.2436113167754817e-05
gestellt,6.730833950326445e-05
zurück,0.001346166790065289
astronomie,4.4872226335509633e-05
abfragte,2.2436113167754817e-05
augen,0.0010096250925489669
erschien,8.974445267101927e-05
funkeln,4.4872226335509633e-05
kommender,2.2436113167754817e-05
abenteuer,2.2436113167754817e-05
antwortete,0.0001346166790065289
aufmachen,4.4872226335509633e-05
überzeugt,0.00015705279217428372
dagegen,4.4872226335509633e-05
schienen,0.00015705279217428372
viele,0.00020192501850979335
gedanken,0.00033654169751632225
stein,6.730833950326445e-05
narbe,0.0001121805658387741
stirn,8.974445267101927e-05
brannte,4.4872226335509633e-05
sprach,0.00017948890534203853
gern,0.0001121805658387741
meinte,0.0002692333580130578
ganz,0.0007852639608714186
schlecht,0.00015705279217428372
sprachen,0.00017948890534203853
miteinander,0.000246797244845303
eingangshalle,0.0002692333580130578
ankamen,2.2436113167754817e-05
sonnendurchfluteten,2.2436113167754817e-05
schlosshof,2.2436113167754817e-05
kalt,4.4872226335509633e-05
düster,6.730833950326445e-05
wirkte,0.00033654169751632225
möchten,2.2436113167754817e-05
recht,0.00042628615018734157
kühn,2.2436113167754817e-05
fanden,0.00015705279217428372
kommst,2.2436113167754817e-05
bleibst,4.4872226335509633e-05
unten,0.000246797244845303
falls,8.974445267101927e-05
abtaucht,2.2436113167754817e-05
