term,relative_frequency
wandten,0.0009066183136899365
klitterer,0.0009066183136899365
hinweg,0.0009066183136899365
starrem,0.0009066183136899365
blick,0.0009066183136899365
ansah,0.0009066183136899365
völlig,0.0009066183136899365
perplex,0.0009066183136899365
wandte,0.001813236627379873
lachten,0.0009066183136899365
gesichtsausdruck,0.0009066183136899365
lächerlich,0.0009066183136899365
lange,0.0009066183136899365
gelächter,0.001813236627379873
zurück,0.001813236627379873
wippte,0.0009066183136899365
seiten,0.001813236627379873
hielt,0.0009066183136899365
immer,0.003626473254759746
anstarrte,0.0009066183136899365
japste,0.0009066183136899365
lachen,0.001813236627379873
nickte,0.0009066183136899365
trägt,0.0009066183136899365
antwortete,0.0009066183136899365
rasch,0.0009066183136899365
unbedingt,0.0009066183136899365
fragen,0.0009066183136899365
wissen,0.0009066183136899365
pferdewesen,0.0009066183136899365
sagte,0.009972801450589302
kutsche,0.0009066183136899365
zugingen,0.0009066183136899365
bereits,0.0009066183136899365
saßen,0.0009066183136899365
ließ,0.001813236627379873
grobheit,0.0009066183136899365
offensichtlich,0.0009066183136899365
ruhe,0.0009066183136899365
bringen,0.0009066183136899365
gegenteil,0.0009066183136899365
schweigen,0.0009066183136899365
trat,0.0009066183136899365
dümmste,0.0009066183136899365
je,0.0009066183136899365
gehört,0.0009066183136899365
einschließlich,0.0009066183136899365
all,0.001813236627379873
plunders,0.0009066183136899365
gibt,0.0027198549410698096
neuankömmlinge,0.0009066183136899365
setzten,0.0009066183136899365
zweit,0.0009066183136899365
dritt,0.0009066183136899365
rings,0.0009066183136899365
wobei,0.0009066183136899365
ziemlich,0.0009066183136899365
aufgeregt,0.0009066183136899365
wirkten,0.0009066183136899365
neugierig,0.0009066183136899365
träumerisch,0.0009066183136899365
leere,0.0009066183136899365
schaute,0.0009066183136899365
herübergeschwebt,0.0009066183136899365
bank,0.0009066183136899365
quetschte,0.0009066183136899365
meint,0.0009066183136899365
bisschen,0.0009066183136899365
feuerwhisky,0.0009066183136899365
verkaufen,0.0009066183136899365
raste,0.0009066183136899365
schon,0.0009066183136899365
korridor,0.0027198549410698096
entlang,0.0009066183136899365
paar,0.001813236627379873
minuten,0.0009066183136899365
später,0.0009066183136899365
sprang,0.0009066183136899365
letzten,0.0009066183136899365
stufen,0.0009066183136899365
hinab,0.0009066183136899365
schloss,0.0009066183136899365
dicht,0.0009066183136899365
zusammengedrängt,0.0009066183136899365
ende,0.0027198549410698096
standen,0.0009066183136899365
gehst,0.0009066183136899365
lenkst,0.0009066183136899365
ab,0.001813236627379873
fangt,0.0009066183136899365
leute,0.001813236627379873
vertreiben,0.0009066183136899365
ziehen,0.0009066183136899365
tarnumhang,0.0009066183136899365
warten,0.0009066183136899365
luft,0.0009066183136899365
rein,0.0009066183136899365
ging,0.0009066183136899365
zügigen,0.0009066183136899365
schritten,0.0009066183136899365
davon,0.0009066183136899365
leuchtend,0.0009066183136899365
rotes,0.0009066183136899365
haar,0.0009066183136899365
korridors,0.0009066183136899365
sehen,0.001813236627379873
draußen,0.0009066183136899365
gab,0.0009066183136899365
tumult,0.0009066183136899365
mehrere,0.0009066183136899365
große,0.0009066183136899365
slytherins,0.0009066183136899365
traten,0.0009066183136899365
verblüffte,0.0009066183136899365
gepackt,0.0009066183136899365
hielten,0.0009066183136899365
hierbleiben,0.0009066183136899365
zurückkehre,0.0009066183136899365
dafür,0.0009066183136899365
sorgen,0.0009066183136899365
denen,0.001813236627379873
wies,0.0009066183136899365
