term,relative_frequency
standen,0.00267379679144385
offenen,0.00267379679144385
mündern,0.00267379679144385
zuckte,0.00267379679144385
matt,0.00267379679144385
achseln,0.00267379679144385
meinte,0.00267379679144385
offen,0.00267379679144385
gestanden,0.00267379679144385
MYRTE,0.0213903743315508
verhältnisse,0.00267379679144385
fast,0.0053475935828877
fröhliche,0.00267379679144385
unterhaltung,0.00267379679144385
kommt,0.00267379679144385
gehen,0.00267379679144385
hoffe,0.00267379679144385
treibt,0.00267379679144385
schon,0.00267379679144385
mädchentoilette,0.00267379679144385
rum,0.00267379679144385
lachte,0.00267379679144385
gekünstelt,0.00267379679144385
wartete,0.00267379679144385
außer,0.00267379679144385
sicht,0.00267379679144385
machte,0.00267379679144385
schnurstracks,0.00267379679144385
klo,0.008021390374331552
maulenden,0.0053475935828877
weiß,0.00267379679144385
sagte,0.008021390374331552
nachdem,0.00267379679144385
gerannt,0.00267379679144385
drüben,0.00267379679144385
rausgespült,0.00267379679144385
worden,0.00267379679144385
sahen,0.00267379679144385
waschbecken,0.00267379679144385
deutete,0.00267379679144385
viertelstunde,0.00267379679144385
lang,0.00267379679144385
sprach,0.00267379679144385
gespannte,0.00267379679144385
schweigen,0.00267379679144385
hinein,0.00267379679144385
erzählte,0.00267379679144385
körperlosen,0.00267379679144385
stimme,0.00267379679144385
schließlich,0.00267379679144385
begriffen,0.00267379679144385
basilisken,0.0053475935828877
rohren,0.00267379679144385
gehört,0.00267379679144385
spinnen,0.00267379679144385
wald,0.00267379679144385
gefolgt,0.00267379679144385
aragog,0.00267379679144385
letzte,0.00267379679144385
opfer,0.0053475935828877
gestorben,0.00267379679144385
gedanken,0.00267379679144385
kam,0.00267379679144385
maulende,0.00267379679144385
eingang,0.0053475935828877
kammer,0.00267379679144385
schreckens,0.00267379679144385
toilette,0.00267379679144385
gut,0.0053475935828877
half,0.00267379679144385
wenig,0.00267379679144385
innehielt,0.00267379679144385
herausgefunden,0.00267379679144385
nebenher,0.00267379679144385
hundert,0.00267379679144385
schulregeln,0.00267379679144385
stücke,0.00267379679144385
gehauen,0.00267379679144385
hinzufügen,0.00267379679144385
welt,0.00267379679144385
lebend,0.00267379679144385
rausgekommen,0.00267379679144385
stimmte,0.00267379679144385
allerdings,0.00267379679144385
festgestellt,0.00267379679144385
kaputtes,0.00267379679144385
beste,0.00267379679144385
platz,0.00267379679144385
insgeheim,0.00267379679144385
brauen,0.00267379679144385
verbotenen,0.00267379679144385
zaubertrank,0.00267379679144385
stunde,0.00267379679144385
lebende,0.00267379679144385
abbilder,0.00267379679144385
verwandelt,0.00267379679144385
gemeinschaftsraum,0.00267379679144385
slytherins,0.00267379679144385
schmuggeln,0.00267379679144385
konnten,0.00267379679144385
kleinen,0.00267379679144385
wässrigen,0.00267379679144385
augen,0.00267379679144385
geheftet,0.00267379679144385
unverhohlen,0.00267379679144385
grinste,0.00267379679144385
sticheleien,0.00267379679144385
schienen,0.00267379679144385
frischen,0.00267379679144385
mut,0.00267379679144385
verliehen,0.00267379679144385
