term,relative_frequency
hinunter,0.002652519893899204
große,0.002652519893899204
halle,0.002652519893899204
hörten,0.002652519893899204
freundin,0.002652519893899204
sagte,0.007957559681697613
sitze,0.002652519893899204
heulend,0.002652519893899204
mädchenklo,0.002652519893899204
wolle,0.002652519893899204
allein,0.002652519893899204
gelassen,0.002652519893899204
warf,0.002652519893899204
saß,0.002652519893899204
verdutzten,0.002652519893899204
blick,0.002652519893899204
rutschte,0.002652519893899204
stuhl,0.002652519893899204
herumbeugte,0.002652519893899204
ansah,0.002652519893899204
warte,0.002652519893899204
stand,0.002652519893899204
ging,0.002652519893899204
geradewegs,0.002652519893899204
fand,0.002652519893899204
schwester,0.002652519893899204
führte,0.002652519893899204
hinüber,0.002652519893899204
übers,0.002652519893899204
ganze,0.002652519893899204
gesicht,0.002652519893899204
strahlte,0.002652519893899204
rückte,0.002652519893899204
ketten,0.002652519893899204
spangen,0.002652519893899204
zurecht,0.002652519893899204
gleich,0.002652519893899204
sagten,0.002652519893899204
wisperte,0.002652519893899204
augen,0.002652519893899204
neugier,0.002652519893899204
flackernd,0.002652519893899204
gleichzeitig,0.002652519893899204
schwung,0.002652519893899204
zauberstabs,0.002652519893899204
kissen,0.002652519893899204
fortjagte,0.002652519893899204
sauste,0.002652519893899204
luft,0.002652519893899204
schlug,0.002652519893899204
hut,0.002652519893899204
kopf,0.002652519893899204
fanden,0.005305039787798408
etwa,0.002652519893899204
mitte,0.002652519893899204
tisches,0.002652519893899204
zusammen,0.002652519893899204
platz,0.005305039787798408
fast,0.002652519893899204
kopflosen,0.002652519893899204
hausgespenst,0.002652519893899204
gryffindors,0.002652519893899204
allzu,0.002652519893899204
lebhaft,0.002652519893899204
freundlich,0.002652519893899204
begrüßten,0.002652519893899204
woraus,0.002652519893899204
sicheren,0.002652519893899204
schluss,0.002652519893899204
zog,0.002652519893899204
kurzen,0.002652519893899204
augenblick,0.002652519893899204
zuvor,0.002652519893899204
geredet,0.002652519893899204
folgten,0.002652519893899204
hinaus,0.002652519893899204
eingangshalle,0.002652519893899204
machten,0.002652519893899204
wahrsagen,0.002652519893899204
fragte,0.002652519893899204
verwirrt,0.002652519893899204
marmortreppe,0.002652519893899204
vorbeiging,0.002652519893899204
allerdings,0.002652519893899204
überraschte,0.002652519893899204
höhe,0.002652519893899204
plötzlich,0.002652519893899204
anstupste,0.002652519893899204
daraufhin,0.002652519893899204
umblickte,0.002652519893899204
breites,0.002652519893899204
lächeln,0.002652519893899204
schenkte,0.002652519893899204
lachte,0.002652519893899204
ungnädig,0.002652519893899204
katastrophalen,0.002652519893899204
ersten,0.002652519893899204
versuch,0.002652519893899204
irgendwie,0.002652519893899204
schaffte,0.002652519893899204
sensationellen,0.002652519893899204
schnauzbart,0.002652519893899204
verpassen,0.002652519893899204
rächte,0.002652519893899204
unbarmherzig,0.002652519893899204
genau,0.002652519893899204
nachahmte,0.002652519893899204
mal,0.002652519893899204
frage,0.002652519893899204
stellte,0.002652519893899204
abhopste,0.002652519893899204
äußerst,0.002652519893899204
amüsant,0.002652519893899204
rand,0.002652519893899204
tränen,0.002652519893899204
brachte,0.002652519893899204
schien,0.002652519893899204
gehört,0.002652519893899204
gerade,0.002652519893899204
hereingekommen,0.002652519893899204
