term,relative_frequency
seit,0.0022471910112359553
einladung,0.000749063670411985
einzigen,0.000749063670411985
brief,0.000749063670411985
mehr,0.00149812734082397
bekommen,0.000749063670411985
natürlich,0.00149812734082397
schnell,0.00149812734082397
bemerkt,0.000749063670411985
wandte,0.000749063670411985
gingen,0.000749063670411985
links,0.000749063670411985
fang,0.000749063670411985
rechts,0.000749063670411985
mädchen,0.000749063670411985
nimm,0.000749063670411985
buch,0.000749063670411985
vater,0.000749063670411985
bieten,0.000749063670411985
befreite,0.000749063670411985
griff,0.000749063670411985
trat,0.000749063670411985
stolzierten,0.000749063670411985
laden,0.000749063670411985
genannt,0.000749063670411985
guter,0.000749063670411985
mann,0.000749063670411985
wissen,0.000749063670411985
temperament,0.000749063670411985
tages,0.000749063670411985
schwierigkeiten,0.000749063670411985
bringen,0.000749063670411985
sagte,0.0044943820224719105
worüber,0.000749063670411985
freute,0.000749063670411985
wurde,0.000749063670411985
erst,0.000749063670411985
gut,0.00149812734082397
zwei,0.00149812734082397
wochen,0.000749063670411985
fortgang,0.000749063670411985
klar,0.000749063670411985
rief,0.000749063670411985
außer,0.000749063670411985
brachen,0.000749063670411985
jubel,0.000749063670411985
sah,0.003745318352059925
stählernes,0.000749063670411985
blitzen,0.000749063670411985
krallen,0.000749063670411985
kam,0.00299625468164794
durchdringender,0.000749063670411985
schrei,0.000749063670411985
schon,0.000749063670411985
stelle,0.000749063670411985
helft,0.000749063670411985
mal,0.00149812734082397
rausbringen,0.000749063670411985
lief,0.000749063670411985
tor,0.0022471910112359553
öffnete,0.00149812734082397
mühelos,0.000749063670411985
erde,0.000749063670411985
hob,0.000749063670411985
vorbeiging,0.000749063670411985
bemerkte,0.000749063670411985
lange,0.000749063670411985
klaffende,0.000749063670411985
wunde,0.000749063670411985
arm,0.000749063670411985
blut,0.00149812734082397
besprenkelte,0.000749063670411985
gras,0.000749063670411985
last,0.000749063670411985
hang,0.000749063670411985
schloss,0.00149812734082397
hochrannte,0.000749063670411985
wette,0.000749063670411985
hölle,0.000749063670411985
heiß,0.000749063670411985
ersten,0.000749063670411985
abendessen,0.000749063670411985
große,0.000749063670411985
halle,0.000749063670411985
kamen,0.000749063670411985
hofften,0.000749063670411985
treffen,0.000749063670411985
hätte,0.000749063670411985
hippogreife,0.000749063670411985
später,0.000749063670411985
aufheben,0.000749063670411985
sollen,0.00149812734082397
lieber,0.000749063670411985
flubberwürmern,0.000749063670411985
anfangen,0.000749063670411985
dachte,0.000749063670411985
wär,0.000749063670411985
ne,0.000749063670411985
gute,0.00149812734082397
erste,0.00149812734082397
stunde,0.00149812734082397
fehler,0.00149812734082397
ernster,0.000749063670411985
stimme,0.00149812734082397
reden,0.000749063670411985
gerade,0.0022471910112359553
freund,0.000749063670411985
leuten,0.000749063670411985
ausschuss,0.000749063670411985
erklärt,0.000749063670411985
SEIDENSCHNABEL,0.000749063670411985
ordnung,0.000749063670411985
angst,0.000749063670411985
kennt,0.000749063670411985
bedroht,0.000749063670411985
vermut,0.000749063670411985
henker,0.000749063670411985
alter,0.000749063670411985
kumpel,0.000749063670411985
sauber,0.000749063670411985
gehen,0.00149812734082397
werd,0.000749063670411985
schluckte,0.000749063670411985
mund,0.000749063670411985
offenbar,0.000749063670411985
angestrengt,0.000749063670411985
nachdenkend,0.000749063670411985
paar,0.000749063670411985
sekunden,0.000749063670411985
herrschte,0.000749063670411985
schweigen,0.000749063670411985
barsch,0.000749063670411985
ner,0.000749063670411985
nächsten,0.000749063670411985
jedenfalls,0.000749063670411985
lustlos,0.000749063670411985
nachdem,0.000749063670411985
vorschlag,0.000749063670411985
miene,0.000749063670411985
weihnachtsmannes,0.000749063670411985
gemacht,0.000749063670411985
besonders,0.00149812734082397
großes,0.000749063670411985
päckchen,0.000749063670411985
sack,0.000749063670411985
zieht,0.000749063670411985
kehrten,0.000749063670411985
unterricht,0.0022471910112359553
bestens,0.000749063670411985
gelaunt,0.000749063670411985
zurück,0.000749063670411985
erleben,0.000749063670411985
schranken,0.000749063670411985
wies,0.000749063670411985
genugtuung,0.000749063670411985
letzten,0.000749063670411985
jahr,0.000749063670411985
kräften,0.000749063670411985
bemüht,0.000749063670411985
schule,0.000749063670411985
werfen,0.000749063670411985
lassen,0.000749063670411985
abzusehen,0.000749063670411985
hämischen,0.000749063670411985
grinsen,0.00149812734082397
bereits,0.000749063670411985
verwachsen,0.000749063670411985
hütte,0.00299625468164794
johlten,0.000749063670411985
kriecherisch,0.000749063670411985
verstummte,0.000749063670411985
plötzlich,0.00149812734082397
hervor,0.000749063670411985
armen,0.00149812734082397
wackligen,0.000749063670411985
stapel,0.000749063670411985
holzkisten,0.000749063670411985
jeweils,0.000749063670411985
prächtig,0.000749063670411985
gediehenen,0.000749063670411985
knallrümpfigen,0.000749063670411985
kröter,0.000749063670411985
enthielten,0.000749063670411985
einzig,0.000749063670411985
ausführungen,0.000749063670411985
gedanken,0.000749063670411985
brachten,0.000749063670411985
größte,0.000749063670411985
teil,0.000749063670411985
klasse,0.00149812734082397
hintertür,0.000749063670411985
geflohen,0.000749063670411985
verbarrikadiert,0.000749063670411985
jedoch,0.00149812734082397
gehörten,0.000749063670411985
draußen,0.000749063670411985
blieben,0.000749063670411985
versuchten,0.000749063670411985
helfen,0.000749063670411985
zitierte,0.000749063670411985
immer,0.0022471910112359553
möglichen,0.000749063670411985
gelegenheit,0.00149812734082397
lautstark,0.000749063670411985
artikel,0.00149812734082397
erntete,0.000749063670411985
spärlichere,0.000749063670411985
lacher,0.000749063670411985
laune,0.000749063670411985
verbessern,0.000749063670411985
erschien,0.000749063670411985
tagespropheten,0.000749063670411985
publikum,0.000749063670411985
