term,relative_frequency
beide,0.002053388090349076
aufgeweckt,0.002053388090349076
natürlich,0.002053388090349076
ungewöhnlich,0.002053388090349076
klug,0.002053388090349076
fragen,0.002053388090349076
zwei,0.004106776180698152
unheilstifter,0.002053388090349076
wohl,0.004106776180698152
nie,0.002053388090349076
na,0.002053388090349076
weiß,0.002053388090349076
gluckste,0.002053388090349076
hätten,0.002053388090349076
ganz,0.002053388090349076
schön,0.004106776180698152
konkurrenz,0.002053388090349076
gemacht,0.002053388090349076
machten,0.002053388090349076
stattdessen,0.004106776180698152
spaß,0.002053388090349076
daraus,0.002053388090349076
aufgaben,0.002053388090349076
trimagischen,0.002053388090349076
turniers,0.002053388090349076
entlocken,0.002053388090349076
überlegten,0.002053388090349076
wild,0.002053388090349076
her,0.002053388090349076
bewerber,0.002053388090349076
champion,0.002053388090349076
schaffen,0.002053388090349076
inzwischen,0.002053388090349076
schon,0.002053388090349076
bartlos,0.002053388090349076
brüllten,0.002053388090349076
freude,0.002053388090349076
spurteten,0.002053388090349076
gewaltige,0.002053388090349076
pranke,0.002053388090349076
drücken,0.002053388090349076
sechs,0.002053388090349076
betonte,0.002053388090349076
führte,0.002053388090349076
hinein,0.002053388090349076
küche,0.002053388090349076
lachend,0.002053388090349076
schwatzend,0.002053388090349076
stühlen,0.002053388090349076
niederließen,0.002053388090349076
tante,0.002053388090349076
glänzende,0.002053388090349076
arbeitsplatten,0.002053388090349076
hockten,0.002053388090349076
makellos,0.002053388090349076
sauberen,0.002053388090349076
haushaltsgeräte,0.002053388090349076
lehnten,0.002053388090349076
lang,0.002053388090349076
schlaksig,0.002053388090349076
buschige,0.002053388090349076
haar,0.012320328542094456
langen,0.006160164271047228
zopf,0.002053388090349076
zurückgebunden,0.002053388090349076
ununterscheidbar,0.002053388090349076
grinsend,0.002053388090349076
üblen,0.002053388090349076
narben,0.002053388090349076
haaren,0.002053388090349076
freundlichem,0.002053388090349076
gesicht,0.002053388090349076
schütterem,0.002053388090349076
leicht,0.002053388090349076
schief,0.002053388090349076
sitzender,0.002053388090349076
brille,0.002053388090349076
kampf,0.002053388090349076
gezeichnet,0.002053388090349076
bein,0.002053388090349076
strahlend,0.002053388090349076
blauen,0.002053388090349076
auge,0.002053388090349076
höhle,0.002053388090349076
surrte,0.002053388090349076
kurzes,0.002053388090349076
lieblingsfarbe,0.002053388090349076
trug,0.002053388090349076
knalligen,0.002053388090349076
pink,0.002053388090349076
grauer,0.002053388090349076
faltiger,0.002053388090349076
schlank,0.002053388090349076
silbrig,0.002053388090349076
blonden,0.002053388090349076
kahlköpfig,0.002053388090349076
schwarz,0.002053388090349076
breitschultrig,0.002053388090349076
struppigen,0.002053388090349076
bart,0.002053388090349076
gebückt,0.002053388090349076
dastand,0.002053388090349076
kopf,0.002053388090349076
decke,0.002053388090349076
stoßen,0.002053388090349076
klein,0.002053388090349076
schmutzig,0.002053388090349076
erbärmlich,0.002053388090349076
matten,0.002053388090349076
bassetartigen,0.002053388090349076
hundeaugen,0.002053388090349076
verfilzten,0.002053388090349076
sagte,0.002053388090349076
barsch,0.002053388090349076
hob,0.002053388090349076
kragen,0.002053388090349076
hoch,0.002053388090349076
setzte,0.002053388090349076
neben,0.002053388090349076
ab,0.002053388090349076
ostentativ,0.002053388090349076
nase,0.002053388090349076
rümpfte,0.002053388090349076
wegging,0.002053388090349076
stellen,0.002053388090349076
wart,0.002053388090349076
dritten,0.002053388090349076
sah,0.004106776180698152
uhr,0.002053388090349076
geschafft,0.002053388090349076
sollten,0.002053388090349076
etwa,0.002053388090349076
minute,0.002053388090349076
zurück,0.002053388090349076
längst,0.002053388090349076
cousinen,0.002053388090349076
dunkelheit,0.002053388090349076
verschwunden,0.002053388090349076
untersetzter,0.002053388090349076
zauberer,0.002053388090349076
purpurroten,0.002053388090349076
filzhut,0.002053388090349076
sangen,0.002053388090349076
ecke,0.002053388090349076
odo,0.002053388090349076
held,0.002053388090349076
niedergeschlagen,0.002053388090349076
wurde,0.006160164271047228
schreiend,0.002053388090349076
gefällt,0.002053388090349076
quer,0.002053388090349076
raum,0.002053388090349076
geschleudert,0.002053388090349076
steinerne,0.002053388090349076
wand,0.002053388090349076
seite,0.002053388090349076
krachte,0.002053388090349076
bewusstlos,0.002053388090349076
boden,0.002053388090349076
rutschte,0.002053388090349076
