term,relative_frequency
gegensatz,0.001893939393939394
einfach,0.001893939393939394
großer,0.001893939393939394
mensch,0.001893939393939394
aussah,0.001893939393939394
wirkte,0.001893939393939394
GRAWP,0.030303030303030304
seltsam,0.001893939393939394
missgestaltet,0.001893939393939394
natürlich,0.001893939393939394
geschöpfe,0.001893939393939394
wald,0.005681818181818182
lebten,0.001893939393939394
fruchtlose,0.001893939393939394
versuche,0.001893939393939394
mitbekommen,0.001893939393939394
englisch,0.001893939393939394
beizubringen,0.001893939393939394
nein,0.001893939393939394
weck,0.001893939393939394
wirklich,0.001893939393939394
bereits,0.003787878787878788
großen,0.005681818181818182
baumstamm,0.001893939393939394
gestiegen,0.001893939393939394
ging,0.001893939393939394
sagte,0.005681818181818182
gespielt,0.001893939393939394
fröhlicher,0.001893939393939394
stimme,0.001893939393939394
wich,0.001893939393939394
zurück,0.001893939393939394
langen,0.001893939393939394
ast,0.003787878787878788
erhoben,0.003787878787878788
bereit,0.001893939393939394
stechen,0.001893939393939394
ach,0.001893939393939394
lass,0.001893939393939394
stöhnte,0.001893939393939394
stach,0.001893939393939394
scharf,0.001893939393939394
knie,0.001893939393939394
hastete,0.001893939393939394
hinüber,0.001893939393939394
is,0.003787878787878788
welt,0.001893939393939394
passieren,0.001893939393939394
jemand,0.003787878787878788
herausfand,0.001893939393939394
verbotenen,0.001893939393939394
versteckt,0.001893939393939394
hielt,0.001893939393939394
konnte,0.003787878787878788
trotz,0.001893939393939394
unglaublichen,0.001893939393939394
talents,0.001893939393939394
einzureden,0.001893939393939394
reißzähnige,0.001893939393939394
monster,0.001893939393939394
liebenswert,0.001893939393939394
harmlos,0.001893939393939394
vorstellung,0.001893939393939394
narren,0.001893939393939394
halten,0.001893939393939394
jemals,0.001893939393939394
lage,0.001893939393939394
menschen,0.001893939393939394
leben,0.003787878787878788
n,0.001893939393939394
guter,0.001893939393939394
kerl,0.001893939393939394
grunde,0.001893939393939394
tatsächlich,0.001893939393939394
schon,0.001893939393939394
mal,0.001893939393939394
gedanken,0.001893939393939394
gemacht,0.001893939393939394
nich,0.003787878787878788
probieren,0.001893939393939394
ne,0.001893939393939394
freundin,0.001893939393939394
finden,0.001893939393939394
hätte,0.001893939393939394
normalerweise,0.001893939393939394
sofort,0.001893939393939394
versucht,0.001893939393939394
idee,0.001893939393939394
auszureden,0.001893939393939394
aussicht,0.001893939393939394
zweiter,0.001893939393939394
riese,0.003787878787878788
wohnlich,0.001893939393939394
einrichtete,0.001893939393939394
womöglich,0.001893939393939394
wilder,0.001893939393939394
brutaler,0.001893939393939394
sicher,0.001893939393939394
grund,0.001893939393939394
beunruhigung,0.001893939393939394
irgendwie,0.001893939393939394
brachte,0.001893939393939394
kraft,0.001893939393939394
einwand,0.001893939393939394
durchzusetzen,0.001893939393939394
glücklich,0.001893939393939394
vermisste,0.001893939393939394
obwohl,0.001893939393939394
glaubte,0.001893939393939394
könnten,0.001893939393939394
ganz,0.001893939393939394
gut,0.003787878787878788
verzichten,0.001893939393939394
grad,0.001893939393939394
entwickelt,0.001893939393939394
hätt,0.001893939393939394
st,0.001893939393939394
hinten,0.001893939393939394
verletzt,0.001893939393939394
fluch,0.001893939393939394
abbekommen,0.001893939393939394
irgendwas,0.001893939393939394
wa,0.001893939393939394
richtete,0.001893939393939394
blick,0.001893939393939394
hinteren,0.001893939393939394
reihe,0.001893939393939394
zuging,0.001893939393939394
sah,0.001893939393939394
hinzog,0.001893939393939394
saß,0.001893939393939394
jacke,0.001893939393939394
hose,0.001893939393939394
jeweils,0.001893939393939394
groß,0.001893939393939394
kleines,0.001893939393939394
zirkuszelt,0.001893939393939394
hässlichen,0.001893939393939394
felsblockartigen,0.001893939393939394
kopf,0.003787878787878788
geneigt,0.001893939393939394
friedlich,0.001893939393939394
fast,0.003787878787878788
menschlich,0.001893939393939394
setzte,0.001893939393939394
neben,0.001893939393939394
halbbruder,0.001893939393939394
tätschelte,0.001893939393939394
heftig,0.001893939393939394
stuhl,0.001893939393939394
erde,0.001893939393939394
sank,0.001893939393939394
restliche,0.001893939393939394
abordnung,0.001893939393939394
ministeriums,0.001893939393939394
warten,0.001893939393939394
sehen,0.001893939393939394
wobei,0.001893939393939394
schluchzenden,0.001893939393939394
immer,0.003787878787878788
plätzen,0.001893939393939394
saßen,0.001893939393939394
nervöse,0.001893939393939394
blicke,0.001893939393939394
zuwarfen,0.001893939393939394
menge,0.001893939393939394
zerstreut,0.001893939393939394
nachzügler,0.001893939393939394
machten,0.001893939393939394
bogen,0.001893939393939394
gewaltige,0.001893939393939394
gestalt,0.001893939393939394
knuddelte,0.001893939393939394
traurige,0.001893939393939394
schreie,0.001893939393939394
wasser,0.001893939393939394
hallten,0.001893939393939394
