term,relative_frequency
erzählte,0.0008976660682226212
ersten,0.0008976660682226212
stunde,0.0008976660682226212
zuvor,0.0008976660682226212
schon,0.0017953321364452424
riet,0.0008976660682226212
darüber,0.0008976660682226212
gedanken,0.0008976660682226212
möge,0.0008976660682226212
eben,0.0008976660682226212
kaum,0.0008976660682226212
schüler,0.0017953321364452424
wusste,0.003590664272890485
mehr,0.0008976660682226212
erzählen,0.0008976660682226212
herausgefordert,0.0008976660682226212
worden,0.003590664272890485
sagte,0.0062836624775583485
steckte,0.0008976660682226212
großes,0.0008976660682226212
haariges,0.0008976660682226212
gesicht,0.0026929982046678637
baum,0.0008976660682226212
hervor,0.0008976660682226212
mag,0.0008976660682226212
schlägerei,0.0008976660682226212
hausregeln,0.0008976660682226212
öliger,0.0008976660682226212
stimme,0.0017953321364452424
tatsächlich,0.0008976660682226212
namen,0.0008976660682226212
seit,0.0008976660682226212
herausgerutscht,0.0008976660682226212
möglichen,0.0008976660682226212
büchern,0.0017953321364452424
gesucht,0.0008976660682226212
sollten,0.0008976660682226212
herausfinden,0.0008976660682226212
stehlen,0.0008976660682226212
versuchte,0.0017953321364452424
vielleicht,0.003590664272890485
herausgefunden,0.0008976660682226212
vorbeikommt,0.0017953321364452424
fragen,0.0008976660682226212
ließ,0.0017953321364452424
blick,0.0008976660682226212
unmenge,0.0008976660682226212
gleiten,0.0008976660682226212
umgaben,0.0008976660682226212
fremden,0.0008976660682226212
gesagt,0.0026929982046678637
fluffy,0.0008976660682226212
mantel,0.0008976660682226212
entweder,0.0008976660682226212
VOLDEMORT,0.0008976660682226212
ganz,0.0008976660682226212
leicht,0.0008976660682226212
sobald,0.0008976660682226212
betrunken,0.0008976660682226212
gemacht,0.0008976660682226212
vermisste,0.0008976660682226212
schloss,0.0008976660682226212
geheimgängen,0.0008976660682226212
geistern,0.0008976660682226212
unterrichtsstunden,0.0008976660682226212
gerade,0.0017953321364452424
lehrer,0.0008976660682226212
zaubertränke,0.0008976660682226212
eulenpost,0.0008976660682226212
festessen,0.0008976660682226212
großen,0.0008976660682226212
halle,0.0008976660682226212
himmelbett,0.0008976660682226212
turmschlafsaal,0.0008976660682226212
besuche,0.0008976660682226212
wildhüter,0.0017953321364452424
hütte,0.0017953321364452424
rand,0.0008976660682226212
verbotenen,0.0017953321364452424
walds,0.0008976660682226212
ländereien,0.0008976660682226212
schlosses,0.0008976660682226212
lebte,0.0008976660682226212
quidditch,0.0008976660682226212
beliebtesten,0.0008976660682226212
sport,0.0008976660682226212
welt,0.0008976660682226212
zauberer,0.0008976660682226212
sechs,0.0008976660682226212
torringe,0.0008976660682226212
hohen,0.0008976660682226212
stangen,0.0008976660682226212
vier,0.0008976660682226212
fliegende,0.0008976660682226212
bälle,0.0008976660682226212
vierzehn,0.0008976660682226212
spieler,0.0008976660682226212
fliegenden,0.0008976660682226212
besen,0.0008976660682226212
erinnern,0.0008976660682226212
weiß,0.0017953321364452424
genau,0.0008976660682226212
sei,0.0017953321364452424
schade,0.0008976660682226212
monster,0.0008976660682226212
aufnehmen,0.0008976660682226212
durften,0.0008976660682226212
bevor,0.0008976660682226212
verhaftet,0.0008976660682226212
wurde,0.0008976660682226212
meinte,0.0008976660682226212
spät,0.0017953321364452424
feier,0.0008976660682226212
gekommen,0.0017953321364452424
hast,0.0008976660682226212
gesehen,0.0008976660682226212
seht,0.0008976660682226212
mal,0.0017953321364452424
is,0.0017953321364452424
geht,0.0008976660682226212
mitternacht,0.0008976660682226212
warum,0.0008976660682226212
wütend,0.0008976660682226212
schau,0.0008976660682226212
verbog,0.0008976660682226212
unbehaglich,0.0008976660682226212
händen,0.0008976660682226212
armbrust,0.0008976660682226212
laut,0.0008976660682226212
splitternd,0.0008976660682226212
brach,0.0008976660682226212
entzwei,0.0008976660682226212
hältst,0.0008976660682226212
reinliest,0.0008976660682226212
nich,0.0017953321364452424
drin,0.0008976660682226212
eichenportal,0.0008976660682226212
aufgesprengt,0.0008976660682226212
steinplatten,0.0017953321364452424
blutverschmiert,0.0008976660682226212
etliche,0.0008976660682226212
verängstigte,0.0008976660682226212
standen,0.0008976660682226212
wand,0.0008976660682226212
gedrängt,0.0008976660682226212
zwei,0.0008976660682226212
kauerten,0.0008976660682226212
armen,0.0008976660682226212
boden,0.0026929982046678637
gewaltige,0.0008976660682226212
stundenglas,0.0008976660682226212
gryffindors,0.0008976660682226212
fluch,0.003590664272890485
getroffen,0.0008976660682226212
rubine,0.0008976660682226212
fielen,0.0008976660682226212
lautem,0.0008976660682226212
klirren,0.0008976660682226212
hinunter,0.0008976660682226212
flog,0.0008976660682226212
eingangshalle,0.0008976660682226212
hinaus,0.0008976660682226212
dunkle,0.0008976660682226212
gelände,0.0008976660682226212
konnte,0.0017953321364452424
drei,0.0008976660682226212
gestalten,0.0008976660682226212
erkennen,0.0017953321364452424
rasen,0.0008976660682226212
liefen,0.0008976660682226212
tor,0.0017953321364452424
disapparieren,0.0017953321364452424
konnten,0.0008976660682226212
aussah,0.0008976660682226212
riesige,0.0017953321364452424
blonde,0.0017953321364452424
todesser,0.0026929982046678637
stück,0.0008976660682226212
kalte,0.0008976660682226212
nachtluft,0.0008976660682226212
zerrte,0.0008976660682226212
lungen,0.0017953321364452424
nachjagte,0.0008976660682226212
sah,0.0017953321364452424
blitz,0.0026929982046678637
ferne,0.0008976660682226212
augenblick,0.0008976660682226212
umrisse,0.0008976660682226212
gegner,0.0017953321364452424
woher,0.0008976660682226212
kam,0.0008976660682226212
rannte,0.003590664272890485
nahe,0.0008976660682226212
genug,0.0008976660682226212
gut,0.0008976660682226212
abschießen,0.0008976660682226212
weiterer,0.0008976660682226212
rufe,0.0008976660682226212
lichtstrahlen,0.0008976660682226212
revanche,0.0008976660682226212
begriff,0.0008976660682226212
flucht,0.0017953321364452424
hindern,0.0008976660682226212
obwohl,0.0008976660682226212
atemzug,0.0008976660682226212
zerreißen,0.0008976660682226212
schien,0.0008976660682226212
stechen,0.0008976660682226212
brust,0.0008976660682226212
feuer,0.0008976660682226212
schneller,0.0008976660682226212
ungebetene,0.0008976660682226212
kopf,0.0026929982046678637
traf,0.0017953321364452424
hart,0.0008976660682226212
kreuz,0.0008976660682226212
schlug,0.0008976660682226212
vornüber,0.0008976660682226212
blut,0.0008976660682226212
strömte,0.0008976660682226212
beiden,0.0017953321364452424
nasenlöchern,0.0008976660682226212
seite,0.0008976660682226212
rollte,0.0008976660682226212
zauberstab,0.0017953321364452424
bereit,0.0008976660682226212
geschwister,0.0017953321364452424
dank,0.0008976660682226212
abkürzung,0.0008976660682226212
überholt,0.0008976660682226212
hinten,0.0008976660682226212
zukamen,0.0008976660682226212
impedimenta,0.0008976660682226212
schrie,0.0017953321364452424
wälzte,0.0008976660682226212
erneut,0.0008976660682226212
herum,0.0008976660682226212
schmiegte,0.0008976660682226212
dicht,0.0008976660682226212
dunklen,0.0008976660682226212
wunderbarerweise,0.0008976660682226212
strauchelte,0.0008976660682226212
stürzte,0.0008976660682226212
stolpern,0.0008976660682226212
brachte,0.0008976660682226212
sprang,0.0008976660682226212
beine,0.0008976660682226212
hinterher,0.0008976660682226212
licht,0.0008976660682226212
halbmonds,0.0008976660682226212
plötzlich,0.0008976660682226212
wolken,0.0008976660682226212
auftauchte,0.0008976660682226212
silhouette,0.0008976660682226212
schoss,0.0008976660682226212
ab,0.0008976660682226212
ungeheure,0.0008976660682226212
stärke,0.0008976660682226212
zähe,0.0008976660682226212
haut,0.0008976660682226212
geerbt,0.0008976660682226212
schienen,0.0008976660682226212
schützen,0.0008976660682226212
jedoch,0.0008976660682226212
immer,0.0008976660682226212
bald,0.0008976660682226212
gelassen,0.0008976660682226212
vorbei,0.0008976660682226212
zielte,0.0008976660682226212
rücken,0.0008976660682226212
stupor,0.0008976660682226212
brüllen,0.0008976660682226212
fang,0.0008976660682226212
heulen,0.0008976660682226212
hören,0.0008976660682226212
näherte,0.0008976660682226212
herabblickte,0.0008976660682226212
dalag,0.0008976660682226212
genauso,0.0008976660682226212
wehrlos,0.0008976660682226212
getötet,0.0008976660682226212
sag,0.0008976660682226212
erwiderte,0.0008976660682226212
schroff,0.0008976660682226212
schüttelte,0.0008976660682226212
miene,0.0008976660682226212
ungläubig,0.0008976660682226212
mitfühlend,0.0008976660682226212
glaubte,0.0008976660682226212
hätte,0.0008976660682226212
schlag,0.0008976660682226212
bekommen,0.0008976660682226212
wäre,0.0008976660682226212
durcheinander,0.0008976660682226212
wegen,0.0008976660682226212
nachwirkungen,0.0008976660682226212
zaubers,0.0008976660682226212
s,0.0008976660682226212
passiert,0.0008976660682226212
todessern,0.0008976660682226212
gehen,0.0008976660682226212
überzeugt,0.0008976660682226212
stuhl,0.0008976660682226212
besetzt,0.0008976660682226212
überlegte,0.0008976660682226212
gebracht,0.0008976660682226212
frühstück,0.0008976660682226212
kommen,0.0008976660682226212
platz,0.0008976660682226212
federlesen,0.0008976660682226212
eingenommen,0.0008976660682226212
wald,0.0008976660682226212
geschickt,0.0008976660682226212
arbeit,0.0008976660682226212
trottel,0.0008976660682226212
erledigen,0.0008976660682226212
hielt,0.0008976660682226212
bestrafung,0.0008976660682226212
wahrscheinlich,0.0008976660682226212
halb,0.0008976660682226212
totgelacht,0.0008976660682226212
