term,relative_frequency
heute,0.000949667616334283
VOLDEMORT,0.022792022792022793
auftrag,0.000949667616334283
hogwarts,0.000949667616334283
unterwegs,0.000949667616334283
sagte,0.007597340930674264
versetzte,0.000949667616334283
großen,0.001899335232668566
hand,0.000949667616334283
klaps,0.000949667616334283
schulter,0.000949667616334283
knie,0.000949667616334283
gehen,0.000949667616334283
ließ,0.000949667616334283
gesagt,0.003798670465337132
wusste,0.001899335232668566
überhaupt,0.000949667616334283
zauberer,0.000949667616334283
eltern,0.001899335232668566
fremden,0.000949667616334283
fluffy,0.000949667616334283
vorbeikommt,0.000949667616334283
mantel,0.000949667616334283
entweder,0.000949667616334283
ganz,0.000949667616334283
leicht,0.001899335232668566
sobald,0.000949667616334283
betrunken,0.000949667616334283
gemacht,0.000949667616334283
hätte,0.001899335232668566
schon,0.002849002849002849
irgendwie,0.001899335232668566
herausgefunden,0.000949667616334283
sprechen,0.000949667616334283
immerhin,0.000949667616334283
rausgefunden,0.000949667616334283
hättest,0.000949667616334283
brüllte,0.000949667616334283
bekam,0.001899335232668566
schreck,0.000949667616334283
weinen,0.000949667616334283
verging,0.000949667616334283
schönen,0.000949667616334283
abend,0.000949667616334283
schneidender,0.000949667616334283
stimme,0.001899335232668566
mach,0.000949667616334283
trat,0.000949667616334283
näher,0.000949667616334283
erinnert,0.000949667616334283
wer,0.000949667616334283
eigentlich,0.000949667616334283
solle,0.000949667616334283
verpfeifen,0.000949667616334283
wäre,0.000949667616334283
waisenhaus,0.000949667616334283
muggel,0.000949667616334283
gekommen,0.000949667616334283
schule,0.002849002849002849
geschlossen,0.000949667616334283
hätten,0.000949667616334283
deshalb,0.000949667616334283
verraten,0.000949667616334283
seite,0.001899335232668566
arm,0.000949667616334283
brillant,0.000949667616334283
elternlos,0.000949667616334283
mutig,0.000949667616334283
schulsprecher,0.000949667616334283
vorbildlicher,0.000949667616334283
schüler,0.000949667616334283
große,0.000949667616334283
stümperhafte,0.000949667616334283
gerät,0.000949667616334283
paar,0.000949667616334283
wochen,0.000949667616334283
schwierigkeiten,0.000949667616334283
versucht,0.000949667616334283
werwolfjunge,0.000949667616334283
bett,0.000949667616334283
großzuziehen,0.000949667616334283
schleicht,0.000949667616334283
verbotenen,0.002849002849002849
wald,0.001899335232668566
trollen,0.000949667616334283
raufen,0.000949667616334283
gebe,0.000949667616334283
überrascht,0.001899335232668566
gut,0.001899335232668566
plan,0.001899335232668566
funktionierte,0.000949667616334283
ja,0.001899335232668566
rauswurf,0.000949667616334283
genau,0.000949667616334283
auge,0.000949667616334283
behalten,0.000949667616334283
wenig,0.000949667616334283
lästig,0.000949667616334283
gleichmütig,0.000949667616334283
zwei,0.000949667616334283
weitere,0.000949667616334283
s,0.000949667616334283
zaubertränke,0.000949667616334283
fühlte,0.000949667616334283
immer,0.000949667616334283
folter,0.000949667616334283
gespannt,0.000949667616334283
womöglich,0.000949667616334283
rausgeworfen,0.000949667616334283
wurde,0.001899335232668566
konnte,0.002849002849002849
einfach,0.000949667616334283
aufhören,0.000949667616334283
