term,relative_frequency
trotz,0.0006230529595015577
konnte,0.0012461059190031153
gerade,0.0024922118380062306
gelungenen,0.0006230529595015577
abschluss,0.0006230529595015577
tages,0.0006230529595015577
reden,0.0006230529595015577
dachte,0.0006230529595015577
später,0.0006230529595015577
lange,0.0006230529595015577
wach,0.0006230529595015577
lag,0.0012461059190031153
hörte,0.0006230529595015577
einschliefen,0.0006230529595015577
krankenflügel,0.0006230529595015577
zurückgekehrt,0.0006230529595015577
setzten,0.0006230529595015577
oberen,0.0006230529595015577
ränge,0.0006230529595015577
unermüdlichen,0.0006230529595015577
weiß,0.0006230529595015577
hätte,0.0012461059190031153
genießen,0.0006230529595015577
sollen,0.0006230529595015577
schlafsaaltür,0.0006230529595015577
flog,0.0006230529595015577
herein,0.0012461059190031153
kamen,0.0012461059190031153
jungen,0.0006230529595015577
zweiten,0.0006230529595015577
klasse,0.0012461059190031153
gryffindor,0.0012461059190031153
starrte,0.0006230529595015577
inzwischen,0.0006230529595015577
ungläubiger,0.0006230529595015577
miene,0.001869158878504673
ersten,0.001869158878504673
reihe,0.0012461059190031153
saßen,0.0006230529595015577
schüttelten,0.0006230529595015577
unterdrücktem,0.0006230529595015577
lachen,0.0024922118380062306
aufgehört,0.0012461059190031153
leiser,0.0006230529595015577
stimme,0.0006230529595015577
aufzuwecken,0.0006230529595015577
wiederholte,0.0012461059190031153
wort,0.0006230529595015577
gehört,0.0012461059190031153
winkten,0.0006230529595015577
ganz,0.001869158878504673
aufgeregt,0.0006230529595015577
herüber,0.0006230529595015577
zog,0.0006230529595015577
hilfe,0.0006230529595015577
leintuch,0.0006230529595015577
hereinkamen,0.0006230529595015577
gingen,0.0012461059190031153
üblichen,0.0006230529595015577
zeit,0.0006230529595015577
bett,0.0012461059190031153
warteten,0.0012461059190031153
endlich,0.0006230529595015577
kammer,0.0006230529595015577
schreckens,0.0006230529595015577
diskutieren,0.0006230529595015577
standen,0.0006230529595015577
zogen,0.0012461059190031153
warfen,0.0006230529595015577
tarnumhang,0.0006230529595015577
traf,0.0012461059190031153
mitschüler,0.0006230529595015577
haus,0.0006230529595015577
gryffindors,0.0006230529595015577
arm,0.0006230529595015577
gelegt,0.0006230529595015577
sprach,0.0006230529595015577
ernst,0.0006230529595015577
wirkten,0.0006230529595015577
freunde,0.0006230529595015577
schauten,0.0006230529595015577
laufe,0.0006230529595015577
nachmittags,0.0006230529595015577
vorbei,0.0012461059190031153
darunter,0.0006230529595015577
rundgesichtiger,0.0006230529595015577
junge,0.0006230529595015577
großmutter,0.0006230529595015577
stattlichen,0.0006230529595015577
hexe,0.0006230529595015577
erzogen,0.0006230529595015577
worden,0.0006230529595015577
vergesslichkeit,0.0006230529595015577
berüchtigt,0.0006230529595015577
schien,0.0006230529595015577
gespräch,0.0006230529595015577
abteiltür,0.0006230529595015577
offen,0.0006230529595015577
gelassen,0.0006230529595015577
belauscht,0.0006230529595015577
machten,0.0006230529595015577
schon,0.0024922118380062306
schlafen,0.0006230529595015577
fertig,0.0006230529595015577
kopfbrett,0.0006230529595015577
bettes,0.0006230529595015577
gepinnt,0.0006230529595015577
reißzwecken,0.0006230529595015577
poster,0.0012461059190031153
nachttisch,0.0006230529595015577
befestigt,0.0006230529595015577
aaaah,0.0006230529595015577
sagte,0.003115264797507788
geheimnisvoll,0.0006230529595015577
waberndes,0.0006230529595015577
flüstern,0.0006230529595015577
nachahmend,0.0006230529595015577
zwei,0.0012461059190031153
neptune,0.0006230529595015577
himmel,0.0006230529595015577
erscheinen,0.0006230529595015577
sicheres,0.0006230529595015577
zeichen,0.0006230529595015577
zwerg,0.0006230529595015577
brille,0.0006230529595015577
geboren,0.0006230529595015577
nebentisch,0.0006230529595015577
arbeiteten,0.0006230529595015577
wieherten,0.0006230529595015577
laut,0.0012461059190031153
genug,0.0006230529595015577
aufgeregte,0.0006230529595015577
kreischen,0.0006230529595015577
übertönen,0.0006230529595015577
o,0.0006230529595015577
professor,0.0006230529595015577
sehen,0.0006230529595015577
führte,0.0006230529595015577
hinüber,0.0012461059190031153
darüber,0.0006230529595015577
unterhielten,0.0012461059190031153
volljährigen,0.0006230529595015577
wohl,0.0006230529595015577
bewerben,0.0006230529595015577
stand,0.0006230529595015577
wand,0.0006230529595015577
bebte,0.0006230529595015577
zorn,0.0006230529595015577
moment,0.0012461059190031153
lang,0.0006230529595015577
gefühl,0.0012461059190031153
sei,0.0006230529595015577
früher,0.0006230529595015577
wandte,0.0012461059190031153
ab,0.0006230529595015577
ließ,0.0012461059190031153
allein,0.0006230529595015577
tisch,0.0012461059190031153
zurück,0.0006230529595015577
setzte,0.0006230529595015577
fast,0.001869158878504673
uhr,0.0006230529595015577
morgens,0.0006230529595015577
schließlich,0.0006230529595015577
schlafsaal,0.003738317757009346
hochstieg,0.0006230529595015577
bemerkte,0.0006230529595015577
blick,0.0006230529595015577
schweifen,0.0006230529595015577
unschöne,0.0006230529595015577
schnittwunde,0.0006230529595015577
wange,0.0006230529595015577
deren,0.0006230529595015577
umhang,0.0006230529595015577
stark,0.0006230529595015577
versengt,0.0006230529595015577
mehrere,0.0006230529595015577
verbrannte,0.0006230529595015577
finger,0.0006230529595015577
leckte,0.0006230529595015577
hüttenfenster,0.0006230529595015577
große,0.0006230529595015577
rest,0.0006230529595015577
nasen,0.0006230529595015577
scheibe,0.0006230529595015577
platt,0.0006230529595015577
drückte,0.0006230529595015577
wartete,0.0006230529595015577
luft,0.0006230529595015577
rein,0.0006230529595015577
mädchen,0.0006230529595015577
ging,0.0012461059190031153
ziemlich,0.0006230529595015577
verletzter,0.0006230529595015577
davon,0.0006230529595015577
ganzen,0.0006230529595015577
geschichtsstunde,0.0006230529595015577
spötteleien,0.0006230529595015577
ergehen,0.0006230529595015577
lassen,0.0006230529595015577
schrei,0.0006230529595015577
geweckt,0.0012461059190031153
oben,0.0012461059190031153
festumhänge,0.0006230529595015577
guckten,0.0006230529595015577
dabei,0.001869158878504673
allesamt,0.0012461059190031153
recht,0.0012461059190031153
verlegen,0.0006230529595015577
wäsche,0.0006230529595015577
litt,0.0006230529595015577
qualen,0.0006230529595015577
hohen,0.0006230529595015577
spiegel,0.0006230529595015577
ecke,0.0006230529595015577
entsetzt,0.0006230529595015577
anstarrte,0.0006230529595015577
schwestern,0.0006230529595015577
schicksals,0.0006230529595015577
stimmten,0.0006230529595015577
langsame,0.0006230529595015577
traurige,0.0006230529595015577
melodie,0.0006230529595015577
darauf,0.0006230529595015577
bedacht,0.0006230529595015577
ja,0.0012461059190031153
niemanden,0.0006230529595015577
anzusehen,0.0006230529595015577
schritt,0.0006230529595015577
hell,0.0006230529595015577
erleuchtete,0.0006230529595015577
tanzfläche,0.0006230529595015577
augenwinkeln,0.0006230529595015577
sah,0.001869158878504673
zuwinkten,0.0006230529595015577
kicherten,0.0006230529595015577
händen,0.0006230529595015577
gefasst,0.0006230529595015577
legte,0.0006230529595015577
hüfte,0.0006230529595015577
hielt,0.0006230529595015577
fest,0.0006230529595015577
eigenen,0.0006230529595015577
tut,0.0006230529595015577
