term,relative_frequency
diesmal,0.003134796238244514
nerven,0.003134796238244514
behält,0.003134796238244514
sache,0.003134796238244514
richtig,0.003134796238244514
vertritt,0.003134796238244514
SEIDENSCHNABEL,0.03761755485893417
fall,0.003134796238244514
töten,0.003134796238244514
klar,0.003134796238244514
wirklich,0.003134796238244514
eigenen,0.003134796238244514
worte,0.003134796238244514
glaubte,0.003134796238244514
schüler,0.003134796238244514
herum,0.006269592476489028
schwatzten,0.003134796238244514
lachten,0.003134796238244514
freuten,0.003134796238244514
nachmittag,0.003134796238244514
vorbei,0.006269592476489028
besorgt,0.003134796238244514
wegen,0.003134796238244514
lust,0.003134796238244514
getümmel,0.003134796238244514
anzuschließen,0.003134796238244514
retten,0.003134796238244514
machten,0.003134796238244514
mucks,0.003134796238244514
hippogreif,0.009404388714733543
schien,0.003134796238244514
gespannt,0.003134796238244514
lauschen,0.003134796238244514
gut,0.003134796238244514
sagte,0.003134796238244514
klammerte,0.003134796238244514
hand,0.003134796238244514
fester,0.003134796238244514
leine,0.003134796238244514
schon,0.003134796238244514
hörten,0.003134796238244514
werwolf,0.003134796238244514
heulen,0.003134796238244514
konnten,0.003134796238244514
hütte,0.003134796238244514
sehen,0.003134796238244514
rutschte,0.003134796238244514
tür,0.003134796238244514
stieß,0.003134796238244514
flitzten,0.003134796238244514
wirbelte,0.003134796238244514
sah,0.006269592476489028
zuspringen,0.003134796238244514
schlepptau,0.003134796238244514
legte,0.003134796238244514
hände,0.003134796238244514
rücken,0.006269592476489028
half,0.003134796238244514
aufzuschwingen,0.003134796238244514
sekundenschnelle,0.003134796238244514
gelang,0.003134796238244514
bein,0.003134796238244514
schwingen,0.003134796238244514
ziehen,0.003134796238244514
landete,0.003134796238244514
hufklappernd,0.003134796238244514
zinnen,0.003134796238244514
ließen,0.003134796238244514
sofort,0.003134796238244514
heruntergleiten,0.003134796238244514
ganz,0.003134796238244514
sohn,0.003134796238244514
vaters,0.003134796238244514
drückte,0.003134796238244514
fersen,0.003134796238244514
seiten,0.003134796238244514
sprangen,0.003134796238244514
zurück,0.003134796238244514
gewaltigen,0.003134796238244514
flügel,0.003134796238244514
hoben,0.003134796238244514
neuem,0.003134796238244514
stieg,0.003134796238244514
nachthimmel,0.003134796238244514
kleiner,0.006269592476489028
wurden,0.003134796238244514
schob,0.003134796238244514
wolke,0.003134796238244514
mond,0.003134796238244514
fort,0.003134796238244514
hogwarts,0.003134796238244514
kannte,0.003134796238244514
wahrheit,0.003134796238244514
geschehen,0.003134796238244514
nacht,0.003134796238244514
verschwanden,0.003134796238244514
außer,0.003134796238244514
