term,relative_frequency
gut,0.0011933174224343676
kenn,0.0011933174224343676
vater,0.0011933174224343676
schon,0.002386634844868735
lange,0.0011933174224343676
junge,0.0011933174224343676
sag,0.002386634844868735
sohn,0.0011933174224343676
scharf,0.002386634844868735
auge,0.00477326968973747
behält,0.0011933174224343676
hauslehrer,0.0011933174224343676
sicher,0.0011933174224343676
bisherigen,0.0011933174224343676
lehrer,0.0011933174224343676
fach,0.0011933174224343676
ausstehen,0.0011933174224343676
daraus,0.0011933174224343676
hehl,0.0011933174224343676
gemacht,0.0011933174224343676
merkwürdigerweise,0.0011933174224343676
schien,0.0011933174224343676
lieber,0.0011933174224343676
offene,0.0011933174224343676
abneigung,0.0011933174224343676
zeigen,0.0011933174224343676
gegenteil,0.0011933174224343676
immer,0.007159904534606206
beiden,0.0011933174224343676
zusammen,0.0011933174224343676
sah,0.003579952267303103
beim,0.0011933174224343676
essen,0.0011933174224343676
gang,0.0011933174224343676
begegneten,0.0011933174224343676
deutlichen,0.0011933174224343676
eindruck,0.0011933174224343676
blick,0.002386634844868735
auswich,0.0011933174224343676
magischen,0.0011933174224343676
normalen,0.0011933174224343676
stell,0.0011933174224343676
gehörnte,0.0011933174224343676
kröte,0.0011933174224343676
verwandeln,0.0011933174224343676
sagte,0.002386634844868735
verklärtem,0.0011933174224343676
mauern,0.0011933174224343676
kerkers,0.0011933174224343676
her,0.0011933174224343676
klatschen,0.0011933174224343676
lassen,0.002386634844868735
viertklässler,0.0011933174224343676
gryffindor,0.0011933174224343676
gespannt,0.0011933174224343676
erste,0.0011933174224343676
stunde,0.0011933174224343676
donnerstag,0.0011933174224343676
mittagessen,0.0011933174224343676
früh,0.002386634844868735
klassenzimmer,0.0011933174224343676
erschienen,0.0011933174224343676
davor,0.0011933174224343676
schlange,0.0011933174224343676
standen,0.0011933174224343676
professoren,0.0011933174224343676
hielten,0.0011933174224343676
letzten,0.0011933174224343676
minute,0.0011933174224343676
unterrichts,0.0011933174224343676
trab,0.0011933174224343676
dachte,0.0011933174224343676
natürlich,0.0011933174224343676
genauso,0.0011933174224343676
wenig,0.0011933174224343676
daran,0.0011933174224343676
unterricht,0.002386634844868735
spielen,0.0011933174224343676
adoptieren,0.0011933174224343676
herz,0.002386634844868735
tat,0.0011933174224343676
ganz,0.0011933174224343676
fürchterlichen,0.0011933174224343676
schlag,0.0011933174224343676
konnte,0.003579952267303103
tarnumhänge,0.0011933174224343676
sehen,0.003579952267303103
allein,0.0011933174224343676
offenbarte,0.0011933174224343676
ganze,0.0011933174224343676
seltsamkeit,0.0011933174224343676
schauspiels,0.0011933174224343676
treppe,0.002386634844868735
nachthemd,0.0011933174224343676
ei,0.003579952267303103
arm,0.0011933174224343676
stufe,0.0011933174224343676
eingeklemmt,0.0011933174224343676
machte,0.002386634844868735
mund,0.0011933174224343676
ließ,0.0011933174224343676
blaues,0.0011933174224343676
wandern,0.0011933174224343676
karte,0.002386634844868735
flog,0.0011933174224343676
hoch,0.0011933174224343676
raschelte,0.0011933174224343676
ausgestreckte,0.0011933174224343676
finger,0.0011933174224343676
flatterte,0.0011933174224343676
stufen,0.0011933174224343676
hinunter,0.003579952267303103
direkt,0.0011933174224343676
hand,0.002386634844868735
gehört,0.0011933174224343676
vorhin,0.0011933174224343676
fallen,0.0011933174224343676
