term,relative_frequency
auslachte,0.00028595939376608524
verwandelte,0.0008578781812982557
hakennasigen,0.00028595939376608524
lehrer,0.00028595939376608524
lachen,0.00028595939376608524
spitz,0.00028595939376608524
kalt,0.00028595939376608524
wurde,0.0005719187875321705
grünes,0.00028595939376608524
licht,0.0005719187875321705
flammte,0.00028595939376608524
erwachte,0.00028595939376608524
zitternd,0.00028595939376608524
schweiß,0.00028595939376608524
gebadet,0.00028595939376608524
stürzte,0.0005719187875321705
moment,0.0008578781812982557
kam,0.0008578781812982557
treppe,0.001143837575064341
hoch,0.0005719187875321705
hasse,0.00028595939376608524
beide,0.00028595939376608524
sagte,0.005719187875321705
idee,0.00028595939376608524
gebracht,0.00028595939376608524
ausprobiert,0.00028595939376608524
bereit,0.0005719187875321705
hals,0.00028595939376608524
jagen,0.00028595939376608524
geringsten,0.00028595939376608524
anstalten,0.00028595939376608524
machte,0.00028595939376608524
schaden,0.00028595939376608524
paar,0.0005719187875321705
minuten,0.00028595939376608524
später,0.00028595939376608524
lauter,0.0005719187875321705
stimme,0.001143837575064341
hufflepuffs,0.0005719187875321705
schon,0.0028595939376608523
strafwurf,0.00028595939376608524
zusprach,0.00028595939376608524
diesmal,0.00028595939376608524
ganz,0.001143837575064341
grund,0.0005719187875321705
schrie,0.0008578781812982557
sprang,0.001143837575064341
sitz,0.0005719187875321705
sehen,0.0005719187875321705
direkt,0.00028595939376608524
zuraste,0.00028595939376608524
bemerkte,0.00028595939376608524
wälzten,0.00028595939376608524
stöhnen,0.00028595939376608524
schreien,0.00028595939376608524
knäuel,0.00028595939376608524
drang,0.00028595939376608524
bestand,0.00028595939376608524
kommen,0.00028595939376608524
sprechen,0.0005719187875321705
lieblingsschüler,0.0005719187875321705
schnippte,0.0005719187875321705
dauernd,0.00028595939376608524
pufferfischaugen,0.00028595939376608524
wussten,0.00028595939376608524
rächen,0.00028595939376608524
bekämen,0.00028595939376608524
schneller,0.0005719187875321705
strafarbeiten,0.00028595939376608524
aufgehalst,0.00028595939376608524
ungerecht,0.00028595939376608524
sagen,0.0014297969688304261
konnten,0.0005719187875321705
hämischen,0.00028595939376608524
grinsen,0.0005719187875321705
hob,0.0005719187875321705
zauberstab,0.002573634543894767
uuups,0.00028595939376608524
wenig,0.0005719187875321705
überhitzt,0.00028595939376608524
trat,0.0005719187875321705
beugte,0.00028595939376608524
hinunter,0.0005719187875321705
flüsterte,0.0005719187875321705
ohr,0.0008578781812982557
genau,0.001143837575064341
entwaffnet,0.00028595939376608524
zusehen,0.00028595939376608524
buch,0.00028595939376608524
hohem,0.00028595939376608524
bogen,0.00028595939376608524
hand,0.001143837575064341
flog,0.0008578781812982557
gut,0.0008578781812982557
dünnlippiges,0.00028595939376608524
lächeln,0.00028595939376608524
unterdrücken,0.00028595939376608524
konnte,0.0028595939376608523
ließ,0.0014297969688304261
unterricht,0.00028595939376608524
immer,0.0028595939376608523
durchgehen,0.00028595939376608524
leiter,0.00028595939376608524
hauses,0.00028595939376608524
slytherin,0.0005719187875321705
spüren,0.00028595939376608524
wer,0.00028595939376608524
professor,0.0005719187875321705
rief,0.0005719187875321705
brauche,0.00028595939376608524
hilfe,0.0005719187875321705
beim,0.0005719187875321705
zerschneiden,0.00028595939376608524
gänseblümchenwurzeln,0.00028595939376608524
arm,0.0005719187875321705
weasley,0.00028595939376608524
schneidest,0.00028595939376608524
wurzeln,0.00028595939376608524
antwortete,0.00028595939376608524
aufzusehen,0.00028595939376608524
kannst,0.00028595939376608524
schrumpelfeige,0.00028595939376608524
schälen,0.00028595939376608524
hasserfüllten,0.00028595939376608524
blick,0.0008578781812982557
bedachte,0.00028595939376608524
dachte,0.001143837575064341
worte,0.00028595939376608524
wütend,0.0005719187875321705
herzog,0.00028595939376608524
verlor,0.00028595939376608524
schließlich,0.00028595939376608524
nerven,0.00028595939376608524
warf,0.0005719187875321705
großes,0.00028595939376608524
glitschiges,0.00028595939376608524
krokodilherz,0.00028595939376608524
gesicht,0.0017157563625965113
traf,0.001143837575064341
daraufhin,0.00028595939376608524
zog,0.0005719187875321705
gryffindors,0.0005719187875321705
fünfzig,0.00028595939376608524
punkte,0.00028595939376608524
ab,0.0008578781812982557
mr,0.00028595939376608524
eben,0.0008578781812982557
merkwürdige,0.00028595939376608524
geschichte,0.0005719187875321705
erzählt,0.0005719187875321705
klingt,0.00028595939376608524
hätte,0.0008578781812982557
halluzin,0.00028595939376608524
halluzinationen,0.00028595939376608524
schnarrte,0.00028595939376608524
freu,0.00028595939376608524
ganze,0.00028595939376608524
zeit,0.0005719187875321705
pläuschchen,0.00028595939376608524
alten,0.00028595939376608524
komm,0.00028595939376608524
packte,0.00028595939376608524
oberarm,0.00028595939376608524
schleifte,0.00028595939376608524
richtung,0.00028595939376608524
kerker,0.00028595939376608524
fort,0.00028595939376608524
deutete,0.00028595939376608524
langen,0.00028595939376608524
gelben,0.00028595939376608524
finger,0.00028595939376608524
erkläre,0.00028595939376608524
vorn,0.00028595939376608524
ersten,0.00028595939376608524
reihe,0.00028595939376608524
drehte,0.00028595939376608524
rücken,0.0005719187875321705
grinste,0.00028595939376608524
drückte,0.0008578781812982557
anstecker,0.00028595939376608524
schlimmsten,0.00028595939376608524
feind,0.00028595939376608524
gegönnt,0.00028595939376608524
unvorbereitet,0.00028595939376608524
drachen,0.00028595939376608524
begegnen,0.00028595939376608524
na,0.00028595939376608524
ja,0.0005719187875321705
vielleicht,0.002573634543894767
einfach,0.0005719187875321705
fair,0.00028595939376608524
sir,0.00028595939376608524
oh,0.00028595939376608524
verzeihung,0.00028595939376608524
blickte,0.00028595939376608524
einigermaßen,0.00028595939376608524
überrascht,0.00028595939376608524
sinken,0.00028595939376608524
folgte,0.00028595939376608524
atem,0.00028595939376608524
beschlug,0.00028595939376608524
wahrhaftig,0.00028595939376608524
oberfläche,0.00028595939376608524
gedanken,0.00028595939376608524
geist,0.00028595939376608524
verharrte,0.00028595939376608524
unschlüssig,0.00028595939376608524
tun,0.001143837575064341
wonach,0.00028595939376608524
heftig,0.0008578781812982557
verlangte,0.00028595939376608524
wäre,0.001143837575064341
verrückt,0.00028595939376608524
zitterte,0.00028595939376608524
auftauchen,0.00028595939376608524
zorn,0.00028595939376608524
höhnisches,0.00028595939376608524
leichtsinnige,0.00028595939376608524
kühnheit,0.00028595939376608524
ergriff,0.0005719187875321705
besitz,0.00028595939376608524
gehört,0.0005719187875321705
bemerkt,0.00028595939376608524
vater,0.00028595939376608524
seien,0.0005719187875321705
schule,0.0005719187875321705
unruhestifter,0.00028595939376608524
beiden,0.001143837575064341
vorläufer,0.00028595939376608524
bezeichnet,0.00028595939376608524
vorstellen,0.00028595939376608524
jemanden,0.0008578781812982557
spaß,0.00028595939376608524
kopfüber,0.00028595939376608524
luft,0.0005719187875321705
hängen,0.00028595939376608524
wirklich,0.0005719187875321705
hassten,0.00028595939376608524
tatsächlich,0.0008578781812982557
verdiente,0.00028595939376608524
mühte,0.00028595939376608524
gründe,0.00028595939376608524
finden,0.0005719187875321705
warum,0.001143837575064341
verdient,0.00028595939376608524
erlitt,0.00028595939376608524
holen,0.00028595939376608524
bemühte,0.00028595939376608524
glattes,0.00028595939376608524
ausdrucksloses,0.00028595939376608524
zeigen,0.00028595939376608524
gang,0.0005719187875321705
her,0.00028595939376608524
schritte,0.00028595939376608524
hören,0.0008578781812982557
zurückkam,0.00028595939376608524
tür,0.0008578781812982557
aufhielt,0.00028595939376608524
erschienen,0.00028595939376608524
büro,0.0005719187875321705
hinunterführte,0.00028595939376608524
anblick,0.00028595939376608524
spürte,0.00028595939376608524
hass,0.00028595939376608524
aufwogen,0.00028595939376608524
übertraf,0.00028595939376608524
gegenüber,0.0005719187875321705
empfand,0.00028595939376608524
gesagt,0.001143837575064341
nie,0.00028595939376608524
verzeihen,0.00028595939376608524
niemals,0.00028595939376608524
steckte,0.00028595939376608524
zurück,0.001143837575064341
umhang,0.00028595939376608524
ging,0.0005719187875321705
geradewegs,0.00028595939376608524
portal,0.00028595939376608524
blickes,0.00028595939376608524
