term,relative_frequency
aufgeregt,0.003663003663003663
gewichtiger,0.003663003663003663
miene,0.003663003663003663
eilte,0.003663003663003663
her,0.003663003663003663
professoren,0.003663003663003663
folgten,0.003663003663003663
solange,0.003663003663003663
begann,0.003663003663003663
stoßseufzer,0.003663003663003663
brach,0.003663003663003663
ab,0.003663003663003663
gewandet,0.003663003663003663
prachtvollen,0.003663003663003663
pflaumenblauen,0.003663003663003663
umhang,0.007326007326007326
betrat,0.003663003663003663
bühne,0.003663003663003663
folgte,0.003663003663003663
üblichen,0.003663003663003663
schwarzen,0.003663003663003663
möchte,0.003663003663003663
assistenten,0.003663003663003663
vorstellen,0.003663003663003663
sagte,0.01098901098901099
ließ,0.003663003663003663
breites,0.003663003663003663
lächeln,0.003663003663003663
aufblitzen,0.003663003663003663
fragte,0.003663003663003663
weshalb,0.003663003663003663
eigentlich,0.003663003663003663
lächelte,0.003663003663003663
angesehen,0.003663003663003663
hätte,0.007326007326007326
schon,0.003663003663003663
längst,0.003663003663003663
weite,0.003663003663003663
gesucht,0.003663003663003663
wandten,0.003663003663003663
einander,0.003663003663003663
verbeugten,0.003663003663003663
wenigstens,0.003663003663003663
tat,0.003663003663003663
händegefuchtel,0.003663003663003663
gereizt,0.003663003663003663
kopf,0.003663003663003663
ruckte,0.003663003663003663
schrie,0.003663003663003663
nahm,0.003663003663003663
sache,0.003663003663003663
hand,0.007326007326007326
brauche,0.003663003663003663
zwei,0.003663003663003663
freiwillige,0.003663003663003663
longbottom,0.003663003663003663
wär,0.003663003663003663
s,0.003663003663003663
schlechte,0.003663003663003663
idee,0.003663003663003663
professor,0.003663003663003663
glitt,0.003663003663003663
herüber,0.003663003663003663
große,0.003663003663003663
unheil,0.003663003663003663
bringende,0.003663003663003663
fledermaus,0.003663003663003663
hämischen,0.003663003663003663
grinsen,0.003663003663003663
hob,0.003663003663003663
zauberstab,0.007326007326007326
uuups,0.003663003663003663
wenig,0.003663003663003663
überhitzt,0.003663003663003663
trat,0.003663003663003663
beugte,0.003663003663003663
hinunter,0.003663003663003663
flüsterte,0.003663003663003663
ohr,0.003663003663003663
genau,0.003663003663003663
entwaffnet,0.003663003663003663
zusehen,0.003663003663003663
buch,0.003663003663003663
hohem,0.003663003663003663
bogen,0.003663003663003663
flog,0.003663003663003663
hätten,0.003663003663003663
zeigen,0.003663003663003663
lassen,0.003663003663003663
dürfen,0.003663003663003663
wütend,0.003663003663003663
stieß,0.003663003663003663
koffer,0.003663003663003663
seite,0.003663003663003663
