term,relative_frequency
missachtete,0.0003563791874554526
immer,0.001781895937277263
zitternde,0.0003563791874554526
hand,0.0003563791874554526
gibt,0.0003563791874554526
nie,0.0021382751247327157
leben,0.0010691375623663579
sagten,0.0003563791874554526
munde,0.0003563791874554526
gefühl,0.0003563791874554526
nein,0.0003563791874554526
sagen,0.0007127583749109052
lehrer,0.001781895937277263
zuhörten,0.0003563791874554526
wusste,0.0010691375623663579
keuchte,0.0003563791874554526
sieh,0.0003563791874554526
mal,0.0014255167498218105
tribüne,0.0003563791874554526
durchgekämpft,0.0003563791874554526
stand,0.0003563791874554526
raste,0.0003563791874554526
sitzreihe,0.0003563791874554526
entlang,0.0003563791874554526
hielt,0.0003563791874554526
entschuldigen,0.0003563791874554526
professor,0.0010691375623663579
kopfüber,0.0003563791874554526
reihe,0.0003563791874554526
davor,0.0003563791874554526
stieß,0.0003563791874554526
erklärte,0.0010691375623663579
gesehen,0.0007127583749109052
schön,0.0003563791874554526
gut,0.0003563791874554526
dachte,0.0010691375623663579
grund,0.0007127583749109052
warum,0.0007127583749109052
beim,0.0010691375623663579
quidditch,0.0003563791874554526
lieber,0.0003563791874554526
nähe,0.0003563791874554526
training,0.0003563791874554526
blieben,0.0003563791874554526
spieler,0.0003563791874554526
weile,0.0003563791874554526
beisammen,0.0003563791874554526
unterhielten,0.0007127583749109052
machte,0.0021382751247327157
gleich,0.0007127583749109052
gemeinschaftsraum,0.0007127583749109052
gryffindors,0.0003563791874554526
schachspiel,0.0003563791874554526
fand,0.0010691375623663579
böse,0.0007127583749109052
gucken,0.0003563791874554526
sehen,0.0007127583749109052
schrie,0.0007127583749109052
sprang,0.0007127583749109052
sitz,0.0007127583749109052
direkt,0.0003563791874554526
zuraste,0.0003563791874554526
bemerkte,0.0003563791874554526
wälzten,0.0003563791874554526
stöhnen,0.0003563791874554526
schreien,0.0003563791874554526
knäuel,0.0003563791874554526
drang,0.0003563791874554526
bestand,0.0003563791874554526
ahmte,0.0003563791874554526
stimme,0.001781895937277263
oh,0.0003563791874554526
mache,0.0003563791874554526
sorgen,0.0007127583749109052
glaube,0.0007127583749109052
frage,0.0007127583749109052
vierzehn,0.0003563791874554526
b,0.0003563791874554526
falsch,0.0003563791874554526
beantwortet,0.0003563791874554526
ach,0.0003563791874554526
hör,0.0007127583749109052
sagte,0.008553100498930863
einverstanden,0.0003563791874554526
überwachen,0.0003563791874554526
wenigstens,0.0007127583749109052
fersen,0.0003563791874554526
meinte,0.0007127583749109052
gerade,0.0014255167498218105
porträt,0.0003563791874554526
fetten,0.0003563791874554526
dame,0.0003563791874554526
seite,0.0010691375623663579
klappte,0.0003563791874554526
hereinkam,0.0003563791874554526
riss,0.0003563791874554526
zauberstab,0.0007127583749109052
hervor,0.0003563791874554526
schwang,0.0003563791874554526
murmelte,0.0007127583749109052
schickte,0.0003563791874554526
strom,0.0003563791874554526
gleichen,0.0003563791874554526
bläulichen,0.0003563791874554526
flämmchen,0.0003563791874554526
pflanze,0.0003563791874554526
denen,0.0003563791874554526
schon,0.0021382751247327157
angekokelt,0.0003563791874554526
freundin,0.0003563791874554526
versehentlich,0.0003563791874554526
umgerempelt,0.0003563791874554526
hinüberrannte,0.0003563791874554526
anzuzünden,0.0003563791874554526
wartete,0.0003563791874554526
zeichen,0.0003563791874554526
hörte,0.0003563791874554526
kaum,0.0007127583749109052
trat,0.0010691375623663579
wässrige,0.0003563791874554526
suppe,0.0003563791874554526
spottete,0.0003563791874554526
weiterging,0.0003563791874554526
schikanieren,0.0003563791874554526
sah,0.0014255167498218105
hinüber,0.0003563791874554526
nickte,0.0003563791874554526
lange,0.0007127583749109052
bleiben,0.0007127583749109052
eingesprungen,0.0003563791874554526
rauschte,0.0003563791874554526
