term,relative_frequency
augenblick,0.0034965034965034965
später,0.0034965034965034965
kam,0.0034965034965034965
hereingestürmt,0.0034965034965034965
dicht,0.0034965034965034965
gefolgt,0.0034965034965034965
nachhut,0.0034965034965034965
tribüne,0.0034965034965034965
durchgekämpft,0.0034965034965034965
stand,0.0034965034965034965
raste,0.0034965034965034965
sitzreihe,0.0034965034965034965
entlang,0.0034965034965034965
hielt,0.0034965034965034965
entschuldigen,0.0034965034965034965
professor,0.0034965034965034965
kopfüber,0.0034965034965034965
reihe,0.0034965034965034965
davor,0.0034965034965034965
stieß,0.0034965034965034965
feind,0.0034965034965034965
sagte,0.006993006993006993
trat,0.0034965034965034965
schritt,0.0034965034965034965
recht,0.0034965034965034965
stein,0.01048951048951049
weisen,0.0034965034965034965
versucht,0.0034965034965034965
zwingen,0.0034965034965034965
helfen,0.0034965034965034965
gefragt,0.0034965034965034965
wüsste,0.0034965034965034965
fluffy,0.006993006993006993
vorbeikommen,0.0034965034965034965
gesagt,0.0034965034965034965
wette,0.0034965034965034965
gibt,0.0034965034965034965
mehr,0.0034965034965034965
außer,0.0034965034965034965
bewacht,0.0034965034965034965
menge,0.0034965034965034965
zaubersprüche,0.0034965034965034965
wahrscheinlich,0.0034965034965034965
gegenflüche,0.0034965034965034965
schutz,0.0034965034965034965
schwarze,0.0034965034965034965
magie,0.0034965034965034965
ausgesprochen,0.0034965034965034965
durchbrechen,0.0034965034965034965
meinst,0.0034965034965034965
sicher,0.0034965034965034965
solange,0.0034965034965034965
rückgrat,0.0034965034965034965
bricht,0.0034965034965034965
zauber,0.006993006993006993
sprout,0.0034965034965034965
teufelsschlinge,0.0034965034965034965
schlüssel,0.0034965034965034965
verhext,0.0034965034965034965
schachfiguren,0.0034965034965034965
lebendig,0.0034965034965034965
gemacht,0.0034965034965034965
bleibt,0.0034965034965034965
weitere,0.0034965034965034965
tür,0.0034965034965034965
gelangt,0.0034965034965034965
dachte,0.0034965034965034965
bedrohen,0.0034965034965034965
ersten,0.0034965034965034965
mal,0.0034965034965034965
huschte,0.0034965034965034965
ängstliches,0.0034965034965034965
zucken,0.0034965034965034965
gesicht,0.0034965034965034965
