term,relative_frequency
hielt,0.0008976660682226212
blatt,0.00017953321364452425
kerzenlicht,8.976660682226212e-05
las,0.0003590664272890485
black,0.00026929982046678633
immer,0.0020646319569120287
freiem,8.976660682226212e-05
fuß,0.0003590664272890485
wohl,0.0004488330341113106
berüchtigtste,8.976660682226212e-05
gefangene,0.00017953321364452425
je,0.00026929982046678633
festung,8.976660682226212e-05
askaban,0.00026929982046678633
saß,0.00017953321364452425
flucht,0.00026929982046678633
zaubereiministerium,0.00017953321364452425
heute,0.0003590664272890485
bestätigte,8.976660682226212e-05
sah,0.0024236983842010774
überschatteten,8.976660682226212e-05
augen,0.0013464991023339318
einzige,0.0004488330341113106
partie,8.976660682226212e-05
eingesunkenen,8.976660682226212e-05
gesichts,0.00017953321364452425
lebendig,8.976660682226212e-05
schien,0.000718132854578097
versucht,8.976660682226212e-05
entkommen,0.0004488330341113106
zaubergesetz,8.976660682226212e-05
gebrochen,8.976660682226212e-05
genau,0.0003590664272890485
starrte,0.000718132854578097
gesicht,0.0008976660682226212
weiß,0.000718132854578097
schock,0.00017953321364452425
her,0.0003590664272890485
sagte,0.00637342908438061
genervt,8.976660682226212e-05
langsam,8.976660682226212e-05
genug,8.976660682226212e-05
scherereien,8.976660682226212e-05
dementoren,0.0004488330341113106
schloss,0.0006283662477558348
fernhalten,8.976660682226212e-05
kommt,8.976660682226212e-05
rumschleicht,8.976660682226212e-05
warfen,0.00017953321364452425
raschen,8.976660682226212e-05
blick,0.000718132854578097
erwarteten,8.976660682226212e-05
ausschelten,8.976660682226212e-05
wahrheit,0.00026929982046678633
gesagt,0.0008976660682226212
dachte,0.000807899461400359
stimmt,0.00017953321364452425
vielleicht,0.000807899461400359
besen,0.00017953321364452425
geschickt,0.0005385996409335727
matt,0.00017953321364452425
wenig,0.000807899461400359
hilfe,8.976660682226212e-05
krone,8.976660682226212e-05
murmelte,0.0004488330341113106
ohr,8.976660682226212e-05
welt,0.00017953321364452425
zaubereiminister,8.976660682226212e-05
abwärts,8.976660682226212e-05
bemüht,8.976660682226212e-05
berühmten,8.976660682226212e-05
schützen,0.00017953321364452425
geholfen,0.0003590664272890485
kommen,0.0003590664272890485
gewiss,0.00017953321364452425
stirbt,8.976660682226212e-05
merkwürdiges,0.00017953321364452425
zittern,8.976660682226212e-05
huschte,8.976660682226212e-05
übers,8.976660682226212e-05
schuldest,8.976660682226212e-05
natürlich,8.976660682226212e-05
vater,0.0008976660682226212
gehört,0.0006283662477558348
erklären,0.00017953321364452425
töten,8.976660682226212e-05
zwei,0.0005385996409335727
weitere,0.00017953321364452425
nacht,0.0008976660682226212
glühten,8.976660682226212e-05
besessenen,8.976660682226212e-05
hörte,0.0004488330341113106
heulen,8.976660682226212e-05
donnerndes,8.976660682226212e-05
grollen,8.976660682226212e-05
wandte,0.0006283662477558348
werwolf,0.00017953321364452425
ergriff,8.976660682226212e-05
langen,0.00017953321364452425
sprüngen,8.976660682226212e-05
setzte,0.0004488330341113106
wald,8.976660682226212e-05
fort,0.00017953321364452425
verwandelt,0.00017953321364452425
komm,8.976660682226212e-05
drang,0.00026929982046678633
jaulen,8.976660682226212e-05
wimmern,8.976660682226212e-05
dunkelheit,0.0003590664272890485
herüber,8.976660682226212e-05
hund,0.0004488330341113106
qualen,8.976660682226212e-05
litt,8.976660682226212e-05
hinein,8.976660682226212e-05
kämpfen,0.00017953321364452425
expecto,0.00017953321364452425
patronum,0.00017953321364452425
konnte,0.0026032315978456013
mehr,0.000807899461400359
sehen,0.0006283662477558348
ferne,8.976660682226212e-05
vertraute,0.00017953321364452425
schreien,8.976660682226212e-05
tastete,8.976660682226212e-05
nebel,8.976660682226212e-05
fand,8.976660682226212e-05
arm,0.0004488330341113106
zulassen,0.00017953321364452425
fortnahmen,8.976660682226212e-05
paar,0.0005385996409335727
kräftige,8.976660682226212e-05
nasskalte,8.976660682226212e-05
hände,0.00017953321364452425
klammerten,0.00017953321364452425
plötzlich,0.0003590664272890485
hals,0.00026929982046678633
unschuldig,0.00017953321364452425
eben,0.00026929982046678633
geredet,8.976660682226212e-05
nehme,8.976660682226212e-05
märchen,8.976660682226212e-05
erzählt,0.00026929982046678633
hirn,8.976660682226212e-05
gepflanzt,8.976660682226212e-05
ministerium,0.00026929982046678633
ausgesagt,8.976660682226212e-05
geheimniswahrer,8.976660682226212e-05
hinzufügen,8.976660682226212e-05
meisten,0.00026929982046678633
dermaßen,8.976660682226212e-05
misstrauen,8.976660682226212e-05
zeugnis,8.976660682226212e-05
gewicht,0.00017953321364452425
tatsache,8.976660682226212e-05
alte,0.0003590664272890485
freunde,8.976660682226212e-05
hör,0.00026929982046678633
eins,8.976660682226212e-05
verstehe,8.976660682226212e-05
warum,0.0006283662477558348
gekriegt,8.976660682226212e-05
kreisten,8.976660682226212e-05
augenblick,8.976660682226212e-05
laufen,0.00026929982046678633
schaute,8.976660682226212e-05
hinüber,0.0005385996409335727
see,0.00017953321364452425
herz,0.00026929982046678633
führte,0.00017953321364452425
art,8.976660682226212e-05
trommelwirbel,8.976660682226212e-05
brust,0.0004488330341113106
wer,8.976660682226212e-05
patronus,0.00017953321364452425
moment,0.0009874326750448834
auftauchen,0.0004488330341113106
bruchteil,0.00017953321364452425
sekunde,0.00017953321364452425
stand,0.0004488330341113106
unentschlossen,8.976660682226212e-05
tür,0.0006283662477558348
gesehen,0.0009874326750448834
fenster,0.00017953321364452425
auftauchten,0.00017953321364452425
verschwindest,8.976660682226212e-05
besten,0.0003590664272890485
schnell,0.00026929982046678633
keuchte,8.976660682226212e-05
hogwarts,0.000807899461400359
kannte,0.00026929982046678633
geschehen,0.00026929982046678633
SEIDENSCHNABEL,0.00026929982046678633
verschwanden,8.976660682226212e-05
außer,0.0004488330341113106
wetter,8.976660682226212e-05
herrlich,8.976660682226212e-05
bestens,8.976660682226212e-05
gelaunt,0.00017953321364452425
wusste,0.0010771992818671453
fast,0.0003590664272890485
unmögliche,8.976660682226212e-05
geschafft,0.00017953321364452425
freiheit,8.976660682226212e-05
verholfen,8.976660682226212e-05
ende,0.00026929982046678633
schuljahres,8.976660682226212e-05
nie,0.000718132854578097
niedergeschlagen,8.976660682226212e-05
entgegengesehen,8.976660682226212e-05
schreibe,8.976660682226212e-05
bald,0.0004488330341113106
sofort,0.00026929982046678633
umschlag,8.976660682226212e-05
pate,0.0004488330341113106
erteile,8.976660682226212e-05
hiermit,0.00017953321364452425
erlaubnis,0.00017953321364452425
wochenenden,8.976660682226212e-05
hogsmeade,8.976660682226212e-05
gehen,0.000718132854578097
brief,0.0009874326750448834
wort,0.0003590664272890485
bahnhof,8.976660682226212e-05
king,0.00017953321364452425
s,0.0004488330341113106
cross,0.00017953321364452425
einfuhren,8.976660682226212e-05
sprang,0.00017953321364452425
bett,0.00017953321364452425
stürzte,8.976660682226212e-05
durchs,8.976660682226212e-05
zimmer,0.0003590664272890485
schreibtisch,8.976660682226212e-05
zog,0.0006283662477558348
pergament,0.00017953321364452425
füllte,0.00017953321364452425
adlerfeder,8.976660682226212e-05
tinte,8.976660682226212e-05
schrieb,0.0003590664272890485
lieber,0.00026929982046678633
inne,8.976660682226212e-05
überlegte,0.00026929982046678633
problem,0.00026929982046678633
ausdrücken,8.976660682226212e-05
gab,0.0005385996409335727
einfachen,0.00017953321364452425
grund,0.0005385996409335727
dahin,0.00017953321364452425
leben,0.000807899461400359
überhaupt,0.0004488330341113106
aufgetaucht,8.976660682226212e-05
gesteckt,8.976660682226212e-05
schrecklichen,0.00017953321364452425
zauberergefängnis,8.976660682226212e-05
genannten,8.976660682226212e-05
wesen,0.00026929982046678633
bewacht,0.00017953321364452425
wurde,0.0006283662477558348
blinden,8.976660682226212e-05
seelen,8.976660682226212e-05
saugenden,8.976660682226212e-05
finsterlingen,8.976660682226212e-05
gekommen,0.0005385996409335727
entflohenen,8.976660682226212e-05
suchen,0.00017953321364452425
wunderbare,8.976660682226212e-05
stunde,0.00017953321364452425
lang,0.0005385996409335727
geglaubt,0.00017953321364452425
endlich,0.0003590664272890485
dursleys,0.00017953321364452425
verlassen,0.0003590664272890485
zuhause,8.976660682226212e-05
angeboten,8.976660682226212e-05
sobald,0.00017953321364452425
name,8.976660682226212e-05
rein,0.00017953321364452425
gewaschen,8.976660682226212e-05
rücken,0.0003590664272890485
hippogreifs,8.976660682226212e-05
namens,0.00017953321364452425
seither,8.976660682226212e-05
dank,0.00017953321364452425
all,0.00017953321364452425
schulsachen,0.00017953321364452425
haltung,0.00017953321364452425
geändert,8.976660682226212e-05
herausgefunden,8.976660682226212e-05
gefährlicher,8.976660682226212e-05
mörder,0.00017953321364452425
bequemerweise,8.976660682226212e-05
vergessen,0.00017953321364452425
sagen,0.0011669658886894075
briefe,0.00026929982046678633
erhalten,0.00017953321364452425
seit,0.000718132854578097
ligusterweg,8.976660682226212e-05
wohnte,8.976660682226212e-05
jedoch,0.0004488330341113106
mochte,0.00026929982046678633
vögel,8.976660682226212e-05
erinnerten,8.976660682226212e-05
palmen,8.976660682226212e-05
weißen,8.976660682226212e-05
sand,8.976660682226212e-05
hoffte,8.976660682226212e-05
briefen,8.976660682226212e-05
verriet,8.976660682226212e-05
falls,8.976660682226212e-05
abgefangen,8.976660682226212e-05
wurden,8.976660682226212e-05
gut,0.000718132854578097
lassen,0.0005385996409335727
kaum,0.0004488330341113106
vorstellen,0.00026929982046678633
strahlenden,8.976660682226212e-05
sonne,0.00017953321364452425
lange,0.0003590664272890485
überleben,8.976660682226212e-05
deshalb,8.976660682226212e-05
süden,8.976660682226212e-05
gegangen,0.00026929982046678633
schließlich,0.00026929982046678633
geburtstag,8.976660682226212e-05
glatt,8.976660682226212e-05
übergangen,8.976660682226212e-05
vier,0.00017953321364452425
köstliche,8.976660682226212e-05
geburtstagskuchen,8.976660682226212e-05
davon,0.0009874326750448834
abhielt,8.976660682226212e-05
schreiben,0.00017953321364452425
denken,0.0004488330341113106
schlecht,0.00026929982046678633
behandelt,0.00017953321364452425
verbot,8.976660682226212e-05
weltmeisterschaft,8.976660682226212e-05
berichten,8.976660682226212e-05
wäre,0.0012567324955116697
überzeugt,0.0003590664272890485
zurück,0.0003590664272890485
fuchsbau,0.00017953321364452425
nächsten,0.0004488330341113106
tag,8.976660682226212e-05
zwölf,0.00026929982046678633
koffer,8.976660682226212e-05
gepackt,8.976660682226212e-05
augapfel,8.976660682226212e-05
hütete,8.976660682226212e-05
tarnumhang,0.0003590664272890485
geerbt,0.00017953321364452425
geschenkt,0.0004488330341113106
magischen,0.00017953321364452425
karte,0.00026929982046678633
letztes,0.00017953321364452425
jahr,0.00017953321364452425
überlassen,8.976660682226212e-05
fragen,0.00017953321364452425
ließ,0.0006283662477558348
tisch,0.0003590664272890485
schweifen,8.976660682226212e-05
sicherzugehen,8.976660682226212e-05
eifrig,8.976660682226212e-05
unterhielten,8.976660682226212e-05
leise,0.0004488330341113106
steht,8.976660682226212e-05
hast,0.0004488330341113106
letzter,8.976660682226212e-05
zeit,0.0006283662477558348
narbe,0.00026929982046678633
achselzuckend,8.976660682226212e-05
hass,0.00026929982046678633
übertroffen,8.976660682226212e-05
gesteigert,8.976660682226212e-05
direkt,0.00017953321364452425
übergroßer,8.976660682226212e-05
nase,0.00026929982046678633
eigenen,8.976660682226212e-05
schulzeit,8.976660682226212e-05
miteinander,0.00017953321364452425
verfeindet,8.976660682226212e-05
großen,0.0004488330341113106
anstarrten,8.976660682226212e-05
zurückkäme,8.976660682226212e-05
gefasst,0.00017953321364452425
schuld,0.00017953321364452425
wochen,0.00017953321364452425
mühte,0.00017953321364452425
kräften,8.976660682226212e-05
sorgen,0.00026929982046678633
antwort,0.0003590664272890485
HEDWIG,0.00026929982046678633
bein,0.0004488330341113106
bot,8.976660682226212e-05
speckschwarten,8.976660682226212e-05
schinkens,8.976660682226212e-05
dankbar,8.976660682226212e-05
auffraß,8.976660682226212e-05
nachdem,0.0003590664272890485
vergewissert,8.976660682226212e-05
erneut,0.0003590664272890485
gespräch,0.00017953321364452425
trimagische,8.976660682226212e-05
turnier,8.976660682226212e-05
vertieft,8.976660682226212e-05
flüsterton,8.976660682226212e-05
nachlaufen,8.976660682226212e-05
sicher,0.0003590664272890485
reden,0.0004488330341113106
reinhauen,8.976660682226212e-05
beides,8.976660682226212e-05
reize,8.976660682226212e-05
lesen,0.00017953321364452425
stark,0.00017953321364452425
ungarische,8.976660682226212e-05
hornschwanz,0.00017953321364452425
aussicht,0.00017953321364452425
sprechen,0.0004488330341113106
laune,0.00026929982046678633
helle,8.976660682226212e-05
fleck,0.00017953321364452425
horizont,8.976660682226212e-05
dunkel,8.976660682226212e-05
fiel,0.0006283662477558348
schwer,0.0003590664272890485
zukunft,8.976660682226212e-05
gefühl,0.0008976660682226212
ganzes,8.976660682226212e-05
geradewegs,0.00017953321364452425
erste,8.976660682226212e-05
aufgabe,8.976660682226212e-05
zugelaufen,8.976660682226212e-05
enden,8.976660682226212e-05
eingestand,8.976660682226212e-05
ahnung,0.0003590664272890485
eigentlich,0.0003590664272890485
aufmuntern,8.976660682226212e-05
hunderten,8.976660682226212e-05
zuschauern,8.976660682226212e-05
unbekannten,8.976660682226212e-05
schwierigen,8.976660682226212e-05
gefährlichen,8.976660682226212e-05
zauber,0.00026929982046678633
bewältigen,8.976660682226212e-05
bloße,8.976660682226212e-05
anblick,8.976660682226212e-05
freundlichen,8.976660682226212e-05
immerhin,0.0003590664272890485
schon,0.001526032315978456
antwortete,0.00026929982046678633
vorgeschlagenen,8.976660682226212e-05
kamin,0.0003590664272890485
gemeinschaftsraums,8.976660682226212e-05
anstellen,8.976660682226212e-05
könnten,8.976660682226212e-05
etwaige,8.976660682226212e-05
trödler,8.976660682226212e-05
vertreiben,8.976660682226212e-05
festgezurrte,8.976660682226212e-05
knoten,0.00017953321364452425
lockern,8.976660682226212e-05
solltest,8.976660682226212e-05
nervös,8.976660682226212e-05
zischte,0.00017953321364452425
verpasst,8.976660682226212e-05
mitternacht,8.976660682226212e-05
treffen,0.00017953321364452425
hieß,8.976660682226212e-05
zusammenkunft,8.976660682226212e-05
ganz,0.000718132854578097
schön,0.00017953321364452425
knapp,0.00017953321364452425
schlug,0.00026929982046678633
sollten,0.00026929982046678633
schicken,0.0003590664272890485
abzusagen,8.976660682226212e-05
vorausgesetzt,8.976660682226212e-05
herablassen,8.976660682226212e-05
besser,0.0003590664272890485
kurz,0.00017953321364452425
anzuhören,8.976660682226212e-05
rasch,0.0003590664272890485
verschwinden,8.976660682226212e-05
ging,0.0004488330341113106
waldrand,8.976660682226212e-05
entlang,8.976660682226212e-05
beschleunigte,8.976660682226212e-05
schritte,0.00017953321364452425
fünfzehn,8.976660682226212e-05
minuten,0.0004488330341113106
gelangen,0.00017953321364452425
erinnerung,8.976660682226212e-05
ja,0.000807899461400359
behauptet,8.976660682226212e-05
sei,0.0006283662477558348
mal,0.0021543985637342907
falscher,8.976660682226212e-05
alarm,8.976660682226212e-05
hastig,0.00017953321364452425
hinzu,0.00017953321364452425
mund,0.0003590664272890485
aufmachte,8.976660682226212e-05
recht,0.00017953321364452425
glauben,0.00026929982046678633
rappelte,0.00017953321364452425
hoch,0.00026929982046678633
stellte,0.00017953321364452425
aufrecht,8.976660682226212e-05
feuer,0.000718132854578097
jemand,0.00026929982046678633
mauern,8.976660682226212e-05
gäbe,8.976660682226212e-05
unglaublichen,8.976660682226212e-05
aufruhr,0.00017953321364452425
alarmiert,8.976660682226212e-05
gebet,8.976660682226212e-05
nehmen,0.00026929982046678633
stecke,8.976660682226212e-05
leises,8.976660682226212e-05
plopp,8.976660682226212e-05
verschwunden,0.00026929982046678633
krallenschneiden,8.976660682226212e-05
zauberkraft,8.976660682226212e-05
behandlung,8.976660682226212e-05
schuppenflechte,8.976660682226212e-05
bringt,8.976660682226212e-05
eher,0.00017953321364452425
spinner,8.976660682226212e-05
viecher,8.976660682226212e-05
aufpäppeln,8.976660682226212e-05
äußerst,0.00017953321364452425
erlegen,8.976660682226212e-05
aufgrund,8.976660682226212e-05
uralten,8.976660682226212e-05
kräfte,8.976660682226212e-05
denen,0.00026929982046678633
dicken,8.976660682226212e-05
häute,8.976660682226212e-05
durchdrungen,8.976660682226212e-05
mächtigsten,8.976660682226212e-05
brechen,0.00017953321364452425
simpler,8.976660682226212e-05
genügen,8.976660682226212e-05
versuchen,8.976660682226212e-05
zauberbüchern,8.976660682226212e-05
pfefferte,8.976660682226212e-05
männer,8.976660682226212e-05
drachen,8.976660682226212e-05
lieben,0.00017953321364452425
beiseite,0.00017953321364452425
gingen,0.00026929982046678633
abend,0.00026929982046678633
eulerei,0.00026929982046678633
PIDWIDGEON,0.00026929982046678633
wollten,0.00017953321364452425
sackte,8.976660682226212e-05
erst,0.00017953321364452425
meter,0.00017953321364452425
tiefe,0.00017953321364452425
fangen,8.976660682226212e-05
höhe,0.00026929982046678633
steigen,8.976660682226212e-05
länger,0.00026929982046678633
schwerer,8.976660682226212e-05
einzelne,8.976660682226212e-05
flugmanöver,8.976660682226212e-05
beschreiben,8.976660682226212e-05
umkreist,8.976660682226212e-05
gereizt,8.976660682226212e-05
ausgetrickst,8.976660682226212e-05
antwortbrief,8.976660682226212e-05
vorsichtig,0.00017953321364452425
steckte,0.0006283662477558348
tasche,0.0005385996409335727
hasteten,8.976660682226212e-05
oben,0.0003590664272890485
hört,0.00017953321364452425
genauso,0.0003590664272890485
umhang,0.00017953321364452425
buch,8.976660682226212e-05
großbritanniens,8.976660682226212e-05
irlands,8.976660682226212e-05
bekam,8.976660682226212e-05
prall,8.976660682226212e-05
gefüllte,8.976660682226212e-05
tüte,8.976660682226212e-05
stinkbomben,8.976660682226212e-05
praktisches,8.976660682226212e-05
taschenmesser,8.976660682226212e-05
vielfältigem,8.976660682226212e-05
zubehör,8.976660682226212e-05
öffnen,8.976660682226212e-05
schenkte,8.976660682226212e-05
riesenschachtel,8.976660682226212e-05
süßigkeiten,8.976660682226212e-05
lieblingsleckereien,8.976660682226212e-05
bohnen,8.976660682226212e-05
geschmacksrichtung,8.976660682226212e-05
schokofrösche,8.976660682226212e-05
bubbels,8.976660682226212e-05
bester,8.976660682226212e-05
blaskaugummi,8.976660682226212e-05
zischende,8.976660682226212e-05
zauberdrops,8.976660682226212e-05
folgte,8.976660682226212e-05
wunsch,8.976660682226212e-05
merkwürdigen,8.976660682226212e-05
geschehnisse,8.976660682226212e-05
unterrichtet,8.976660682226212e-05
schickte,8.976660682226212e-05
per,8.976660682226212e-05
waldkauz,0.00017953321364452425
einbruch,8.976660682226212e-05
büro,0.0006283662477558348
zusammenstoß,8.976660682226212e-05
berichtete,0.00017953321364452425
kritzelte,0.00017953321364452425
datum,0.00017953321364452425
rückseite,8.976660682226212e-05
band,0.00017953321364452425
waldkauzes,8.976660682226212e-05
vogel,8.976660682226212e-05
rückflug,8.976660682226212e-05
ansetzte,8.976660682226212e-05
rückkehr,0.00017953321364452425
ganze,0.00026929982046678633
trubel,8.976660682226212e-05
zweiten,8.976660682226212e-05
runde,8.976660682226212e-05
unbedingt,8.976660682226212e-05
hören,0.0003590664272890485
sees,8.976660682226212e-05
gutes,8.976660682226212e-05
wenigstens,0.00017953321364452425
gemeinsam,0.00017953321364452425
rampenlicht,8.976660682226212e-05
tauchte,0.00017953321364452425
freitagmorgens,8.976660682226212e-05
beim,8.976660682226212e-05
frühstück,8.976660682226212e-05
hälfte,8.976660682226212e-05
federn,8.976660682226212e-05
falsche,0.00017953321364452425
richtung,8.976660682226212e-05
gebürstet,8.976660682226212e-05
gerissen,8.976660682226212e-05
flatterte,8.976660682226212e-05
offensichtlich,8.976660682226212e-05
furcht,8.976660682226212e-05
gleich,0.0003590664272890485
lüfte,8.976660682226212e-05
essen,0.00026929982046678633
mitbringen,8.976660682226212e-05
trug,0.00026929982046678633
dutzend,8.976660682226212e-05
hühnerbeine,8.976660682226212e-05
laib,8.976660682226212e-05
brot,0.00017953321364452425
flasche,8.976660682226212e-05
kürbissaft,8.976660682226212e-05
mittagstisch,8.976660682226212e-05
geklaut,0.00017953321364452425
wartete,0.00017953321364452425
vorderpfoten,0.00017953321364452425
obersten,8.976660682226212e-05
stange,8.976660682226212e-05
großer,8.976660682226212e-05
zottiger,0.00017953321364452425
schwarzer,0.00017953321364452425
packen,8.976660682226212e-05
zeitungen,8.976660682226212e-05
maul,8.976660682226212e-05
bekannt,8.976660682226212e-05
vorkam,8.976660682226212e-05
hallo,8.976660682226212e-05
erreicht,8.976660682226212e-05
gurte,8.976660682226212e-05
schnitten,8.976660682226212e-05
schultern,0.00017953321364452425
drei,0.00017953321364452425
gerieten,8.976660682226212e-05
schwitzen,8.976660682226212e-05
halbe,8.976660682226212e-05
wedelndem,8.976660682226212e-05
schwanz,0.00017953321364452425
folgten,8.976660682226212e-05
gewundenen,8.976660682226212e-05
steinigen,8.976660682226212e-05
pfad,8.976660682226212e-05
emporkletterten,8.976660682226212e-05
öffnete,0.00026929982046678633
reichte,8.976660682226212e-05
bündel,8.976660682226212e-05
hühnerbeinen,8.976660682226212e-05
