term,relative_frequency
liefen,0.0009328358208955224
zusammen,0.0009328358208955224
überkreuzten,0.0009328358208955224
wucherten,0.0009328358208955224
ecken,0.0009328358208955224
pergaments,0.0009328358208955224
erblühten,0.0009328358208955224
wörter,0.0009328358208955224
blatt,0.0009328358208955224
großer,0.0009328358208955224
grüner,0.0009328358208955224
verschnörkelter,0.0009328358208955224
schrift,0.0009328358208955224
verkündeten,0.0009328358208955224
hochwohlgeborenen,0.0009328358208955224
herren,0.0018656716417910447
krone,0.005597014925373134
hilfsmittel,0.0009328358208955224
magischen,0.0009328358208955224
tunichtgut,0.0009328358208955224
gmbh,0.0009328358208955224
präsentieren,0.0009328358208955224
stolz,0.0009328358208955224
karte,0.0018656716417910447
rumtreibers,0.0009328358208955224
einzelheit,0.0009328358208955224
hogwarts,0.0018656716417910447
schlossgeländes,0.0009328358208955224
zeigte,0.0018656716417910447
seufzte,0.0009328358208955224
strich,0.0009328358208955224
sanft,0.0009328358208955224
namen,0.002798507462686567
hersteller,0.0009328358208955224
jemand,0.0009328358208955224
filmausschnitt,0.0009328358208955224
sah,0.0046641791044776115
ähnelte,0.0009328358208955224
tausend,0.0009328358208955224
stücke,0.0009328358208955224
sprengte,0.0009328358208955224
wenig,0.002798507462686567
hilfe,0.0018656716417910447
murmelte,0.0018656716417910447
ohr,0.0009328358208955224
deutete,0.0009328358208955224
pergament,0.0009328358208955224
immer,0.002798507462686567
worte,0.0009328358208955224
schimmerten,0.0009328358208955224
dachten,0.0018656716417910447
hätte,0.0046641791044776115
umgebracht,0.0009328358208955224
sagte,0.002798507462686567
nickte,0.0009328358208955224
natürlich,0.0009328358208955224
vater,0.0046641791044776115
geschafft,0.0009328358208955224
ganze,0.0009328358208955224
zeit,0.0009328358208955224
eltern,0.0009328358208955224
verraten,0.0018656716417910447
gejagt,0.0018656716417910447
gestellt,0.0009328358208955224
mutter,0.0009328358208955224
wahr,0.0009328358208955224
weiß,0.0009328358208955224
meinst,0.0009328358208955224
wisperte,0.0009328358208955224
atem,0.0009328358208955224
ging,0.0018656716417910447
schneller,0.0009328358208955224
s,0.0009328358208955224
freund,0.0009328358208955224
black,0.0018656716417910447
stieß,0.0018656716417910447
fuß,0.0009328358208955224
zuckte,0.0009328358208955224
zurück,0.0009328358208955224
wimmerte,0.0009328358208955224
getötet,0.0009328358208955224
hörte,0.0009328358208955224
heulen,0.0009328358208955224
donnerndes,0.0009328358208955224
grollen,0.0009328358208955224
wandte,0.0009328358208955224
werwolf,0.0018656716417910447
flucht,0.0009328358208955224
ergriff,0.0009328358208955224
langen,0.0009328358208955224
sprüngen,0.0009328358208955224
setzte,0.0009328358208955224
wald,0.0009328358208955224
fort,0.0009328358208955224
verwandelt,0.0009328358208955224
professor,0.002798507462686567
sagt,0.0009328358208955224
wahrheit,0.0018656716417910447
gesehen,0.0009328358208955224
konnte,0.0009328358208955224
entkommen,0.0018656716417910447
verwandelte,0.0009328358208955224
ratte,0.0009328358208955224
vorderpfote,0.0009328358208955224
finger,0.0009328358208955224
abgeschnitten,0.0009328358208955224
angegriffen,0.0018656716417910447
hob,0.0009328358208955224
hand,0.0009328358208955224
flut,0.0009328358208955224
erklärungen,0.0009328358208955224
aufzuhalten,0.0009328358208955224
straße,0.0009328358208955224
voller,0.0009328358208955224
augenzeugen,0.0009328358208955224
geschworen,0.0009328358208955224
ermordet,0.0009328358208955224
fette,0.0009328358208955224
dame,0.0009328358208955224
messer,0.0009328358208955224
eingedrungen,0.0009328358208955224
jedenfalls,0.0009328358208955224
tot,0.0018656716417910447
lebendig,0.0009328358208955224
chance,0.0018656716417910447
strafe,0.0009328358208955224
ersparen,0.0009328358208955224
dachte,0.0009328358208955224
drei,0.0009328358208955224
älteste,0.0009328358208955224
freunde,0.0009328358208955224
vier,0.0009328358208955224
heute,0.0009328358208955224
nacht,0.0018656716417910447
gelände,0.0009328358208955224
gesagt,0.0009328358208955224
hätten,0.0018656716417910447
schule,0.0009328358208955224
locken,0.0009328358208955224
lustig,0.0009328358208955224
gefunden,0.0009328358208955224
davon,0.0009328358208955224
abgehalten,0.0009328358208955224
töten,0.0009328358208955224
kannte,0.0009328358208955224
geschehen,0.0009328358208955224
SEIDENSCHNABEL,0.0009328358208955224
verschwanden,0.0009328358208955224
außer,0.0009328358208955224
unschuldig,0.0009328358208955224
morde,0.0009328358208955224
verurteilt,0.0009328358208955224
worden,0.0018656716417910447
begangen,0.0009328358208955224
VOLDEMORT,0.0009328358208955224
helfer,0.0009328358208955224
fast,0.0009328358208955224
hielten,0.0009328358208955224
geraubt,0.0009328358208955224
bevor,0.0009328358208955224
zaubereiministerium,0.0009328358208955224
bringen,0.0009328358208955224
fliehen,0.0009328358208955224
leben,0.0009328358208955224
retten,0.0009328358208955224
jedoch,0.0009328358208955224
berichtete,0.0009328358208955224
arm,0.0009328358208955224
dolch,0.0009328358208955224
aufgeritzt,0.0009328358208955224
entsetzten,0.0009328358208955224
schrei,0.0009328358208955224
sprang,0.0009328358208955224
schnell,0.0009328358208955224
zusammenzuckte,0.0009328358208955224
steck,0.0009328358208955224
endlich,0.0009328358208955224
mal,0.0009328358208955224
schließlich,0.0009328358208955224
geschickten,0.0009328358208955224
fang,0.0009328358208955224
gemacht,0.0009328358208955224
jubelschrei,0.0009328358208955224
ausgestoßen,0.0009328358208955224
ließ,0.0009328358208955224
ausdruck,0.0009328358208955224
begieriger,0.0009328358208955224
erwartung,0.0009328358208955224
blick,0.0009328358208955224
wandern,0.0009328358208955224
schien,0.0009328358208955224
darüber,0.0018656716417910447
nachzudenken,0.0009328358208955224
eher,0.0009328358208955224
tatsache,0.0009328358208955224
existiert,0.0009328358208955224
verstehst,0.0009328358208955224
viele,0.0009328358208955224
umstehenden,0.0009328358208955224
schüler,0.0009328358208955224
lachten,0.0009328358208955224
scheinbar,0.0009328358208955224
buch,0.0009328358208955224
vertieft,0.0009328358208955224
lachte,0.0009328358208955224
ebenso,0.0009328358208955224
brüllten,0.0009328358208955224
lachen,0.0009328358208955224
vorausgeahnt,0.0009328358208955224
nutzlose,0.0009328358208955224
langweilige,0.0009328358208955224
arbeit,0.0009328358208955224
zweifellos,0.0009328358208955224
geplant,0.0009328358208955224
regelmäßig,0.0009328358208955224
stiche,0.0009328358208955224
magen,0.0009328358208955224
verspürte,0.0009328358208955224
vaters,0.0009328358208955224
las,0.0009328358208955224
meistens,0.0009328358208955224
gemeinsam,0.0009328358208955224
verschiedene,0.0009328358208955224
kleine,0.0009328358208955224
missetaten,0.0009328358208955224
verstrickt,0.0009328358208955224
wobei,0.0009328358208955224
gelegentlich,0.0009328358208955224
auftauchten,0.0009328358208955224
rechts,0.0009328358208955224
stand,0.0009328358208955224
gut,0.0009328358208955224
kopf,0.0009328358208955224
kleiner,0.0009328358208955224
pummelig,0.0009328358208955224
wässrigen,0.0009328358208955224
augen,0.0009328358208955224
gesicht,0.0009328358208955224
gerötet,0.0009328358208955224
freude,0.0009328358208955224
coolsten,0.0009328358208955224
banden,0.0009328358208955224
gehörte,0.0009328358208955224
bewunderten,0.0009328358208955224
rebellen,0.0009328358208955224
zimmer,0.0009328358208955224
schlief,0.0009328358208955224
lag,0.0009328358208955224
bett,0.0009328358208955224
licht,0.0009328358208955224
zauberstabs,0.0009328358208955224
alte,0.0009328358208955224
foto,0.0009328358208955224
gerichtet,0.0009328358208955224
zehn,0.0009328358208955224
minuten,0.0009328358208955224
lang,0.0009328358208955224
plan,0.0009328358208955224
gesellten,0.0009328358208955224
moment,0.0009328358208955224
beleidigt,0.0009328358208955224
ganzer,0.0009328358208955224
körper,0.0009328358208955224
entspannt,0.0009328358208955224
entfernten,0.0009328358208955224
gang,0.0009328358208955224
federnder,0.0009328358208955224
geworden,0.0009328358208955224
szene,0.0009328358208955224
löste,0.0009328358208955224
große,0.0009328358208955224
halle,0.0009328358208955224
verließ,0.0009328358208955224
nachdem,0.0009328358208955224
verteidigung,0.0009328358208955224
dunklen,0.0009328358208955224
künste,0.0009328358208955224
abgelegt,0.0009328358208955224
schloss,0.0009328358208955224
gedankenverloren,0.0009328358208955224
herumschlenderte,0.0009328358208955224
platz,0.0009328358208955224
buche,0.0009328358208955224
näherte,0.0009328358208955224
zusammensaßen,0.0009328358208955224
