term,relative_frequency
schon,0.0015236160487557136
wegen,0.0015236160487557136
streiten,0.0005078720162519045
natürlich,0.0005078720162519045
absicht,0.0005078720162519045
genug,0.0005078720162519045
scherereien,0.0005078720162519045
dementoren,0.0005078720162519045
schloss,0.0015236160487557136
fernhalten,0.0005078720162519045
kommt,0.0005078720162519045
rumschleicht,0.0005078720162519045
warfen,0.001015744032503809
raschen,0.0005078720162519045
blick,0.0025393600812595226
erwarteten,0.0005078720162519045
ausschelten,0.0005078720162519045
wahrheit,0.0015236160487557136
black,0.001015744032503809
gesagt,0.002031488065007618
professor,0.001015744032503809
sagt,0.001015744032503809
gesehen,0.0015236160487557136
konnte,0.0015236160487557136
entkommen,0.0005078720162519045
werwolf,0.0005078720162519045
verwandelte,0.0005078720162519045
ratte,0.0005078720162519045
vorderpfote,0.0005078720162519045
finger,0.0005078720162519045
abgeschnitten,0.0005078720162519045
angegriffen,0.0005078720162519045
hob,0.001015744032503809
hand,0.002031488065007618
flut,0.0005078720162519045
erklärungen,0.0005078720162519045
aufzuhalten,0.0005078720162519045
hogwarts,0.0005078720162519045
kannte,0.001015744032503809
geschehen,0.001015744032503809
nacht,0.001015744032503809
SEIDENSCHNABEL,0.0005078720162519045
verschwanden,0.0005078720162519045
außer,0.0005078720162519045
schließlich,0.0015236160487557136
geburtstag,0.0005078720162519045
dursleys,0.0005078720162519045
glatt,0.0005078720162519045
übergangen,0.0005078720162519045
vier,0.0005078720162519045
köstliche,0.0005078720162519045
geburtstagskuchen,0.0005078720162519045
erhalten,0.0005078720162519045
je,0.0005078720162519045
flucht,0.0005078720162519045
tatkräftig,0.0005078720162519045
mitgeholfen,0.0005078720162519045
beinahe,0.001015744032503809
ebenso,0.001015744032503809
paten,0.0005078720162519045
besorgt,0.0005078720162519045
ließ,0.0005078720162519045
tisch,0.0005078720162519045
schweifen,0.0005078720162519045
sicherzugehen,0.0005078720162519045
eifrig,0.0005078720162519045
unterhielten,0.0005078720162519045
sagte,0.0045708481462671405
leise,0.0005078720162519045
steht,0.0005078720162519045
s,0.001015744032503809
hast,0.0005078720162519045
letzter,0.0005078720162519045
zeit,0.0005078720162519045
gehört,0.0005078720162519045
plötzlich,0.0005078720162519045
fiel,0.0005078720162519045
grund,0.001015744032503809
geschrieben,0.0005078720162519045
moment,0.0005078720162519045
lang,0.0005078720162519045
erzählen,0.0005078720162519045
narbe,0.0005078720162519045
schmerzte,0.0005078720162519045
traum,0.0005078720162519045
berichten,0.0005078720162519045
aufgeweckt,0.0005078720162519045
grunde,0.0005078720162519045
beunruhigen,0.0005078720162519045
glücklich,0.0005078720162519045
zufrieden,0.0005078720162519045
fühlte,0.0005078720162519045
glaubst,0.0005078720162519045
erwischt,0.0005078720162519045
sah,0.0015236160487557136
großen,0.0005078720162519045
augen,0.0005078720162519045
anstarrten,0.0005078720162519045
nachdem,0.0005078720162519045
vergewissert,0.0005078720162519045
erneut,0.0005078720162519045
gespräch,0.0005078720162519045
trimagische,0.0005078720162519045
turnier,0.001015744032503809
vertieft,0.0005078720162519045
las,0.0005078720162519045
flüsterton,0.0005078720162519045
brief,0.002031488065007618
allerdings,0.0005078720162519045
saftigen,0.0005078720162519045
tritt,0.0005078720162519045
schreiben,0.0005078720162519045
bevor,0.0005078720162519045
recht,0.001015744032503809
wusste,0.0015236160487557136
geschah,0.0005078720162519045
mehr,0.001015744032503809
geredet,0.0005078720162519045
ganzen,0.0005078720162519045
letzten,0.001015744032503809
tage,0.0005078720162519045
zusammen,0.001015744032503809
erzählte,0.001015744032503809
willen,0.001015744032503809
gelangt,0.0005078720162519045
tagespropheten,0.0005078720162519045
lügen,0.0005078720162519045
verbreitet,0.0005078720162519045
flur,0.0005078720162519045
entlanggehen,0.0005078720162519045
hämische,0.0005078720162519045
bemerkungen,0.0005078720162519045
anhören,0.0005078720162519045
müssen,0.0005078720162519045
redete,0.0005078720162519045
glaubte,0.0005078720162519045
eifersüchtig,0.0005078720162519045
gerade,0.0005078720162519045
vorhin,0.0005078720162519045
gezeigt,0.001015744032503809
ersten,0.0005078720162519045
runde,0.001015744032503809
bringen,0.0005078720162519045
nämlich,0.0005078720162519045
drachen,0.0005078720162519045
erledigt,0.0005078720162519045
verzweifelt,0.001015744032503809
gingen,0.0005078720162519045
abend,0.001015744032503809
hoch,0.0005078720162519045
eulerei,0.0015236160487557136
PIDWIDGEON,0.001015744032503809
suchen,0.0005078720162519045
schicken,0.0015236160487557136
wollten,0.0015236160487557136
oben,0.0015236160487557136
zog,0.001015744032503809
antwortbrief,0.0005078720162519045
vorsichtig,0.001015744032503809
bein,0.0005078720162519045
steckte,0.0005078720162519045
tasche,0.0005078720162519045
hasteten,0.0005078720162519045
lesen,0.0005078720162519045
buch,0.0005078720162519045
geschenkt,0.0005078720162519045
großbritanniens,0.0005078720162519045
irlands,0.0005078720162519045
bekam,0.0005078720162519045
prall,0.0005078720162519045
gefüllte,0.0005078720162519045
tüte,0.0005078720162519045
stinkbomben,0.0005078720162519045
praktisches,0.0005078720162519045
taschenmesser,0.0005078720162519045
vielfältigem,0.0005078720162519045
zubehör,0.0005078720162519045
knoten,0.0005078720162519045
öffnen,0.0005078720162519045
schenkte,0.0005078720162519045
riesenschachtel,0.0005078720162519045
süßigkeiten,0.0005078720162519045
all,0.0005078720162519045
lieblingsleckereien,0.0005078720162519045
bohnen,0.0005078720162519045
geschmacksrichtung,0.0005078720162519045
schokofrösche,0.0005078720162519045
bubbels,0.0005078720162519045
bester,0.0005078720162519045
blaskaugummi,0.0005078720162519045
zischende,0.0005078720162519045
zauberdrops,0.0005078720162519045
ganz,0.001015744032503809
sicher,0.0005078720162519045
warum,0.0005078720162519045
hilfe,0.001015744032503809
ablehnte,0.0005078720162519045
eigentlich,0.0005078720162519045
gar,0.0005078720162519045
annehmen,0.0005078720162519045
hätte,0.002031488065007618
eher,0.0005078720162519045
gefühl,0.0005078720162519045
mogeln,0.0005078720162519045
rat,0.0005078720162519045
fragte,0.0005078720162519045
rückkehr,0.0005078720162519045
ganze,0.001015744032503809
trubel,0.0005078720162519045
zweiten,0.0005078720162519045
unbedingt,0.0005078720162519045
hören,0.001015744032503809
genau,0.001015744032503809
sees,0.0005078720162519045
gutes,0.0005078720162519045
stand,0.0005078720162519045
wenigstens,0.001015744032503809
gemeinsam,0.0005078720162519045
rampenlicht,0.0005078720162519045
krank,0.0005078720162519045
geschafft,0.0005078720162519045
hochzukommen,0.0005078720162519045
bruder,0.001015744032503809
crouchs,0.0005078720162519045
persönlicher,0.0005078720162519045
assistent,0.0005078720162519045
gewandt,0.0005078720162519045
hauselfen,0.0005078720162519045
irgendwas,0.0005078720162519045
reingesteigert,0.001015744032503809
murmelte,0.0005078720162519045
wobei,0.001015744032503809
finsteren,0.0005078720162519045
zuwarf,0.0005078720162519045
ja,0.0005078720162519045
wandte,0.0005078720162519045
sagendem,0.0005078720162519045
schweigen,0.001015744032503809
gebieten,0.0005078720162519045
beide,0.0005078720162519045
wohl,0.0005078720162519045
jeweils,0.0005078720162519045
wahres,0.0005078720162519045
dran,0.0005078720162519045
nachdenklich,0.0005078720162519045
schleimiger,0.0005078720162519045
öliger,0.0005078720162519045
fetthaariger,0.0005078720162519045
bengel,0.0005078720162519045
fügte,0.0005078720162519045
hinzu,0.0005078720162519045
grinsten,0.0005078720162519045
blickte,0.0005078720162519045
leid,0.0005078720162519045
hausaufgaben,0.0005078720162519045
gemeinschaftsraum,0.0005078720162519045
ständig,0.0005078720162519045
angifteten,0.0005078720162519045
allein,0.0005078720162519045
esspaket,0.0005078720162519045
