term,relative_frequency
müssen,0.003289473684210526
SEIDENSCHNABEL,0.039473684210526314
fenster,0.006578947368421052
fliegen,0.006578947368421052
retten,0.003289473684210526
fliehen,0.003289473684210526
zusammen,0.003289473684210526
entkommen,0.006578947368421052
ungefährlich,0.003289473684210526
geflohen,0.003289473684210526
rücken,0.006578947368421052
strahlte,0.003289473684210526
inzwischen,0.003289473684210526
wohl,0.003289473684210526
hogwarts,0.006578947368421052
kannte,0.003289473684210526
wahrheit,0.003289473684210526
geschehen,0.003289473684210526
nacht,0.003289473684210526
verschwanden,0.003289473684210526
außer,0.003289473684210526
geholfen,0.003289473684210526
hippogreifs,0.003289473684210526
namens,0.003289473684210526
seither,0.003289473684210526
flucht,0.003289473684210526
ja,0.003289473684210526
sagte,0.006578947368421052
warf,0.003289473684210526
hühnerknochen,0.003289473684210526
ließ,0.003289473684210526
rasch,0.003289473684210526
boden,0.003289473684210526
neben,0.003289473684210526
brotlaib,0.003289473684210526
nieder,0.003289473684210526
brach,0.003289473684210526
entzwei,0.003289473684210526
herz,0.003289473684210526
schwoll,0.003289473684210526
glück,0.003289473684210526
erleichterung,0.003289473684210526
hörte,0.003289473684210526
tür,0.003289473684210526
vorbei,0.003289473684210526
richtung,0.003289473684210526
raum,0.006578947368421052
trottete,0.003289473684210526
voller,0.003289473684210526
kehle,0.003289473684210526
morgen,0.003289473684210526
kommt,0.003289473684210526
hippogreif,0.006578947368421052
sang,0.003289473684210526
lust,0.003289473684210526
mitzusingen,0.003289473684210526
tag,0.003289473684210526
abreise,0.003289473684210526
rückte,0.003289473684210526
näher,0.003289473684210526
neigte,0.003289473684210526
immer,0.003289473684210526
stärker,0.003289473684210526
anfällen,0.003289473684210526
misslaune,0.003289473684210526
mrs,0.003289473684210526
weasley,0.003289473684210526
nannte,0.003289473684210526
deren,0.003289473684210526
wortkarg,0.003289473684210526
mürrisch,0.003289473684210526
wurde,0.003289473684210526
oft,0.003289473684210526
stundenlang,0.003289473684210526
zurückzog,0.003289473684210526
kreacher,0.003289473684210526
gestern,0.003289473684210526
verletzt,0.003289473684210526
moment,0.003289473684210526
feuer,0.003289473684210526
aufgetaucht,0.003289473684210526
oben,0.003289473684210526
haus,0.003289473684210526
pflegen,0.003289473684210526
tod,0.003289473684210526
gekümmert,0.003289473684210526
gehört,0.003289473684210526
lieber,0.003289473684210526
anordnungen,0.003289473684210526
treffen,0.003289473684210526
willst,0.003289473684210526
nein,0.003289473684210526
sofort,0.003289473684210526
bleiben,0.003289473684210526
