term,relative_frequency
ja,0.0011682242990654205
helden,0.0011682242990654205
spielen,0.0011682242990654205
ernst,0.0011682242990654205
schlimmer,0.0005841121495327102
VOLDEMORT,0.02570093457943925
deshalb,0.0011682242990654205
eingeredet,0.0011682242990654205
hilfe,0.0005841121495327102
schwarzer,0.0005841121495327102
magie,0.0005841121495327102
gelernt,0.0005841121495327102
schule,0.0005841121495327102
eindringen,0.0011682242990654205
hätte,0.005257009345794392
tun,0.0029205607476635513
animagus,0.0005841121495327102
gewisser,0.0005841121495327102
weise,0.0005841121495327102
immer,0.0040887850467289715
recht,0.0005841121495327102
hielt,0.0011682242990654205
anhänger,0.0005841121495327102
her,0.0005841121495327102
besten,0.0005841121495327102
männer,0.0005841121495327102
askaban,0.0005841121495327102
gebracht,0.0005841121495327102
spion,0.0005841121495327102
hast,0.0017523364485981308
ahnung,0.0011682242990654205
besitzt,0.0005841121495327102
waffen,0.0005841121495327102
denen,0.0017523364485981308
angst,0.0005841121495327102
nie,0.0005841121495327102
mutig,0.0005841121495327102
unschuldig,0.0005841121495327102
morde,0.0005841121495327102
verurteilt,0.0005841121495327102
worden,0.0005841121495327102
begangen,0.0005841121495327102
helfer,0.0005841121495327102
fast,0.0011682242990654205
tot,0.0005841121495327102
hielten,0.0005841121495327102
lange,0.0011682242990654205
sagen,0.0017523364485981308
lassen,0.0011682242990654205
solle,0.0005841121495327102
ohren,0.0005841121495327102
steif,0.0005841121495327102
halten,0.0005841121495327102
braver,0.0005841121495327102
junge,0.0005841121495327102
versuchung,0.0005841121495327102
widerstehen,0.0005841121495327102
blöden,0.0005841121495327102
tagespropheten,0.0005841121495327102
schreiben,0.0005841121495327102
klarzumachen,0.0005841121495327102
zurückgekehrt,0.0011682242990654205
dank,0.0005841121495327102
konnte,0.0029205607476635513
schon,0.0011682242990654205
knappe,0.0005841121495327102
stunde,0.0005841121495327102
rückkehr,0.0005841121495327102
orden,0.0017523364485981308
phönix,0.0005841121495327102
einberufen,0.0005841121495327102
sagte,0.005841121495327103
dafür,0.0011682242990654205
sorgen,0.0011682242990654205
pläne,0.0005841121495327102
verwirklichen,0.0005841121495327102
erwiderte,0.0005841121495327102
ministerium,0.002336448598130841
eingestehen,0.0005841121495327102
zurück,0.0005841121495327102
hieße,0.0005841121495327102
hätten,0.0011682242990654205
größten,0.0005841121495327102
schwierigkeiten,0.0005841121495327102
seit,0.0005841121495327102
vierzehn,0.0005841121495327102
jahren,0.0005841121495327102
bitter,0.0005841121495327102
stellen,0.0005841121495327102
verlieren,0.0005841121495327102
anfingen,0.0005841121495327102
mund,0.0005841121495327102
aufzumachen,0.0005841121495327102
wichtig,0.0011682242990654205
spione,0.0005841121495327102
davon,0.0017523364485981308
ausgehen,0.0005841121495327102
kannst,0.0005841121495327102
marschiert,0.0005841121495327102
leuten,0.0005841121495327102
klopft,0.0005841121495327102
türen,0.0005841121495327102
bruder,0.0005841121495327102
einzige,0.0005841121495327102
mal,0.002336448598130841
getroffen,0.0005841121495327102
merkwürdiger,0.0005841121495327102
kerl,0.0005841121495327102
eigenhändig,0.0005841121495327102
umgebracht,0.0005841121495327102
kurze,0.0005841121495327102
haare,0.0005841121495327102
dachte,0.0011682242990654205
würd,0.0005841121495327102
interessieren,0.0005841121495327102
pflantzen,0.0005841121495327102
verursachen,0.0011682242990654205
höchst,0.0011682242990654205
wirksam,0.0011682242990654205
entzündung,0.0011682242990654205
gehirnes,0.0011682242990654205
finden,0.002336448598130841
daher,0.0017523364485981308
oft,0.0017523364485981308
eingang,0.0017523364485981308
verwirrende,0.0011682242990654205
berauschende,0.0011682242990654205
artzeneien,0.0011682242990654205
zauberer,0.0005841121495327102
wünschet,0.0005841121495327102
heißen,0.0005841121495327102
kopfes,0.0005841121495327102
leichten,0.0005841121495327102
sinnes,0.0005841121495327102
gesagt,0.0017523364485981308
leichtsinnig,0.0005841121495327102
untätigkeit,0.0005841121495327102
verdammt,0.0005841121495327102
grimmauldplatz,0.0011682242990654205
tagesprophet,0.0005841121495327102
glauben,0.0011682242990654205
gehirn,0.0005841121495327102
sei,0.0017523364485981308
entzündet,0.0005841121495327102
rausfänden,0.0005841121495327102
wusste,0.0017523364485981308
fühlte,0.0011682242990654205
verwirrend,0.0005841121495327102
treffende,0.0005841121495327102
wort,0.0005841121495327102
warum,0.002336448598130841
überleg,0.0005841121495327102
trat,0.0005841121495327102
schritt,0.0005841121495327102
fünf,0.0005841121495327102
uhr,0.0005841121495327102
nachmittags,0.0005841121495327102
zaubereiministerium,0.0005841121495327102
voller,0.0005841121495327102
angestellter,0.0005841121495327102
reinkommen,0.0005841121495327102
sollen,0.0005841121495327102
gesehen,0.0017523364485981308
welt,0.0005841121495327102
hände,0.0005841121495327102
bekommen,0.0005841121495327102
ganze,0.0005841121495327102
zeit,0.0011682242990654205
verzweifelt,0.0011682242990654205
danach,0.0005841121495327102
gesehnt,0.0005841121495327102
haus,0.0005841121495327102
rauszukommen,0.0005841121495327102
beharrte,0.0005841121495327102
himmels,0.0005841121495327102
willen,0.0005841121495327102
benutzen,0.0005841121495327102
waffe,0.0005841121495327102
kriegen,0.0005841121495327102
worum,0.0005841121495327102
geht,0.0005841121495327102
vielleicht,0.0005841121495327102
einfach,0.0005841121495327102
jemand,0.0005841121495327102
ausmacht,0.0005841121495327102
verletzt,0.0005841121495327102
sehen,0.0005841121495327102
wisst,0.0005841121495327102
eben,0.0005841121495327102
eingefallen,0.0005841121495327102
gedämpfter,0.0005841121495327102
stimme,0.0017523364485981308
hört,0.0005841121495327102
tut,0.0005841121495327102
leid,0.0005841121495327102
rief,0.0005841121495327102
beide,0.0005841121495327102
sagt,0.0005841121495327102
weder,0.0005841121495327102
hand,0.0005841121495327102
fuß,0.0005841121495327102
gibt,0.0005841121495327102
beweis,0.0005841121495327102
überhaupt,0.0005841121495327102
wahrheit,0.0005841121495327102
schmerzte,0.0005841121495327102
narbe,0.0005841121495327102
heftig,0.0005841121495327102
annehmen,0.0005841121495327102
tödlichen,0.0005841121495327102
schlag,0.0005841121495327102
versetzt,0.0005841121495327102
mysteriumsabteilung,0.0005841121495327102
bewährung,0.0005841121495327102
