term,relative_frequency
lehrerin,0.0009302325581395349
wahrsagen,0.0027906976744186047
las,0.0009302325581395349
huschte,0.00046511627906976747
schippe,0.00046511627906976747
besen,0.00046511627906976747
hinüber,0.00046511627906976747
sagte,0.0074418604651162795
blauen,0.00046511627906976747
lieber,0.0013953488372093023
ausmacht,0.00046511627906976747
danke,0.00046511627906976747
ließen,0.00046511627906976747
teetassen,0.00046511627906976747
füllen,0.00046511627906976747
gingen,0.0009302325581395349
zurück,0.0009302325581395349
tisch,0.0018604651162790699
brühend,0.00046511627906976747
heißen,0.00046511627906976747
tee,0.00046511627906976747
rasch,0.00046511627906976747
möglich,0.00046511627906976747
tranken,0.00046511627906976747
sieht,0.0009302325581395349
tier,0.00046511627906976747
ja,0.0009302325581395349
kopf,0.0018604651162790699
wäre,0.0013953488372093023
nilpferd,0.00046511627906976747
nein,0.0009302325581395349
schaf,0.00046511627906976747
wirbelte,0.0009302325581395349
herum,0.00046511627906976747
schnaubend,0.00046511627906976747
auflachte,0.00046511627906976747
aufgesprungen,0.00046511627906976747
scharten,0.00046511627906976747
langsam,0.0013953488372093023
drängelten,0.00046511627906976747
sessel,0.0009302325581395349
gute,0.00046511627906976747
sicht,0.00046511627906976747
tasse,0.00046511627906976747
rief,0.0009302325581395349
schockiert,0.00046511627906976747
schien,0.0018604651162790699
begriffen,0.00046511627906976747
sahen,0.00046511627906976747
außer,0.00046511627906976747
aufgestanden,0.00046511627906976747
getreten,0.00046511627906976747
kletterten,0.00046511627906976747
schweigend,0.00046511627906976747
leiter,0.0009302325581395349
enge,0.00046511627906976747
wendeltreppe,0.0013953488372093023
hinunter,0.0009302325581395349
machten,0.00046511627906976747
verwandlungsstunde,0.00046511627906976747
sollten,0.00046511627906976747
wissen,0.0009302325581395349
seit,0.00046511627906976747
schule,0.00046511627906976747
jahr,0.0018604651162790699
tod,0.0013953488372093023
schülers,0.00046511627906976747
vorausgesagt,0.0009302325581395349
wahre,0.00046511627906976747
seher,0.0009302325581395349
selten,0.0009302325581395349
verstummte,0.0009302325581395349
nüchternem,0.00046511627906976747
ton,0.0018604651162790699
scheinen,0.00046511627906976747
bester,0.00046511627906976747
gesundheit,0.00046511627906976747
verzeihen,0.00046511627906976747
trotz,0.00046511627906976747
hausaufgaben,0.00046511627906976747
gebe,0.00046511627906976747
empfand,0.00046511627906976747
wachsenden,0.00046511627906976747
abscheu,0.00046511627906976747
stunden,0.0009302325581395349
stickigen,0.00046511627906976747
turmzimmer,0.0009302325581395349
deutung,0.00046511627906976747
schrägen,0.00046511627906976747
figuren,0.00046511627906976747
symbolen,0.0009302325581395349
zubrachte,0.00046511627906976747
dabei,0.00046511627906976747
versuchen,0.00046511627906976747
tränen,0.00046511627906976747
rühren,0.00046511627906976747
lassen,0.00046511627906976747
mal,0.0018604651162790699
riesigen,0.00046511627906976747
augen,0.0009302325581395349
traten,0.00046511627906976747
ansah,0.00046511627906976747
erste,0.00046511627906976747
stunde,0.0009302325581395349
neuen,0.00046511627906976747
weit,0.00046511627906976747
weniger,0.00046511627906976747
lustig,0.00046511627906976747
lehrte,0.00046511627906976747
handlesekunst,0.00046511627906976747
eröffnete,0.00046511627906976747
umschweife,0.00046511627906976747
kürzesten,0.00046511627906976747
lebenslinien,0.00046511627906976747
je,0.00046511627906976747
gesehen,0.0009302325581395349
tatsächlich,0.0013953488372093023
raunte,0.00046511627906976747
blickte,0.00046511627906976747
vorhersage,0.0009302325581395349
mindestens,0.00046511627906976747
woche,0.00046511627906976747
lang,0.0013953488372093023
schwelgte,0.00046511627906976747
glück,0.00046511627906976747
zusammen,0.00046511627906976747
marmortreppe,0.00046511627906976747
hoch,0.00046511627906976747
oben,0.0009302325581395349
verabschiedete,0.00046511627906976747
stiegen,0.00046511627906976747
siebten,0.00046511627906976747
stock,0.00046511627906976747
schon,0.0018604651162790699
klasse,0.0009302325581395349
zimmer,0.00046511627906976747
