term,relative_frequency
huschte,0.0012484394506866417
schippe,0.0012484394506866417
besen,0.0012484394506866417
hinüber,0.0012484394506866417
sagte,0.00749063670411985
blauen,0.0012484394506866417
lieber,0.0012484394506866417
ausmacht,0.0012484394506866417
danke,0.0012484394506866417
ließen,0.0012484394506866417
teetassen,0.0012484394506866417
füllen,0.0012484394506866417
gingen,0.0024968789013732834
zurück,0.0012484394506866417
tisch,0.003745318352059925
brühend,0.0012484394506866417
heißen,0.0012484394506866417
tee,0.0012484394506866417
rasch,0.0012484394506866417
möglich,0.0012484394506866417
tranken,0.0012484394506866417
bedeutet,0.0024968789013732834
stehen,0.0012484394506866417
bevor,0.0012484394506866417
tut,0.0012484394506866417
leid,0.0012484394506866417
sieht,0.0012484394506866417
sonne,0.0012484394506866417
wart,0.0012484394506866417
mal,0.003745318352059925
leiden,0.0012484394506866417
glücklich,0.0012484394506866417
solltest,0.0012484394506866417
inneres,0.0012484394506866417
auge,0.0012484394506866417
untersuchen,0.0012484394506866417
lassen,0.0012484394506866417
fragst,0.0012484394506866417
beide,0.0024968789013732834
mussten,0.0024968789013732834
lachen,0.0012484394506866417
verkneifen,0.0012484394506866417
schaute,0.0012484394506866417
gerade,0.0012484394506866417
richtung,0.0012484394506866417
aufgesprungen,0.0012484394506866417
scharten,0.0012484394506866417
langsam,0.0012484394506866417
drängelten,0.0012484394506866417
sessel,0.0012484394506866417
gute,0.0012484394506866417
sicht,0.0012484394506866417
tasse,0.0012484394506866417
kletterten,0.0012484394506866417
schweigend,0.0012484394506866417
leiter,0.0024968789013732834
enge,0.0012484394506866417
wendeltreppe,0.0024968789013732834
hinunter,0.0012484394506866417
machten,0.0012484394506866417
verwandlungsstunde,0.0012484394506866417
dachte,0.0024968789013732834
kristallkugeln,0.0012484394506866417
kommen,0.0012484394506866417
erst,0.0024968789013732834
nächsten,0.0024968789013732834
trimester,0.0012484394506866417
dran,0.0012484394506866417
murmelte,0.003745318352059925
vergewisserte,0.0012484394506866417
misstrauischem,0.0012484394506866417
blick,0.0024968789013732834
nähe,0.0012484394506866417
stand,0.0012484394506866417
zusammen,0.0012484394506866417
marmortreppe,0.0012484394506866417
hoch,0.0012484394506866417
oben,0.0012484394506866417
verabschiedete,0.0012484394506866417
stiegen,0.0012484394506866417
siebten,0.0012484394506866417
stock,0.0012484394506866417
schon,0.0024968789013732834
klasse,0.0012484394506866417
zimmer,0.0024968789013732834
saßen,0.0012484394506866417
letzter,0.0012484394506866417
minute,0.0012484394506866417
abfragten,0.0012484394506866417
aaaah,0.0012484394506866417
geheimnisvoll,0.0012484394506866417
waberndes,0.0012484394506866417
flüstern,0.0012484394506866417
nachahmend,0.0012484394506866417
zwei,0.0012484394506866417
neptune,0.0012484394506866417
himmel,0.0012484394506866417
erscheinen,0.0012484394506866417
sicheres,0.0012484394506866417
zeichen,0.0012484394506866417
zwerg,0.0012484394506866417
brille,0.0012484394506866417
geboren,0.0012484394506866417
nebentisch,0.0012484394506866417
arbeiteten,0.0012484394506866417
wieherten,0.0012484394506866417
laut,0.0024968789013732834
genug,0.0012484394506866417
aufgeregte,0.0012484394506866417
kreischen,0.0012484394506866417
übertönen,0.0012484394506866417
o,0.0012484394506866417
professor,0.0012484394506866417
sehen,0.0012484394506866417
avada,0.0012484394506866417
kedavra,0.0012484394506866417
gebracht,0.0012484394506866417
spinne,0.0012484394506866417
tot,0.0012484394506866417
umgefallen,0.0012484394506866417
einfach,0.0012484394506866417
löffel,0.0012484394506866417
abgegeben,0.0012484394506866417
verstummte,0.0012484394506866417
ausdruck,0.0012484394506866417
gesicht,0.0024968789013732834
sah,0.0012484394506866417
sprach,0.0012484394506866417
große,0.0024968789013732834
halle,0.0012484394506866417
gelangten,0.0012484394506866417
vorschlug,0.0012484394506866417
abend,0.0012484394506866417
voraussagen,0.0012484394506866417
anzufangen,0.0012484394506866417
sicher,0.0012484394506866417
