term,relative_frequency
denkarium,0.0011248593925759281
gesehen,0.0011248593925759281
seltsamen,0.0011248593925759281
apparatur,0.0011248593925759281
gedanken,0.0011248593925759281
erinnerungen,0.0011248593925759281
gespeichert,0.0011248593925759281
konnten,0.0022497187851518562
große,0.0011248593925759281
schwarzhaarige,0.0011248593925759281
frau,0.0011248593925759281
schweren,0.0022497187851518562
augenlidern,0.0022497187851518562
gericht,0.0011248593925759281
gestanden,0.0011248593925759281
unverbrüchliche,0.0011248593925759281
treue,0.0022497187851518562
lord,0.0011248593925759281
VOLDEMORT,0.024746906636670417
verkündet,0.0011248593925759281
stolz,0.0011248593925759281
sturz,0.0011248593925759281
finden,0.0011248593925759281
versucht,0.0011248593925759281
überzeugung,0.0011248593925759281
tages,0.0011248593925759281
belohnt,0.0011248593925759281
schluchzte,0.0011248593925759281
warf,0.0011248593925759281
füßen,0.0011248593925759281
langsam,0.0011248593925759281
näher,0.0011248593925759281
trat,0.0011248593925759281
herr,0.0044994375703037125
solltet,0.0011248593925759281
wissen,0.0011248593925759281
sei,0.0011248593925759281
still,0.0011248593925759281
sagte,0.007874015748031496
drohend,0.0011248593925759281
täuscht,0.0011248593925759281
glaube,0.0022497187851518562
keuchte,0.0022497187851518562
augen,0.003374578177727784
leuchteten,0.0011248593925759281
kurz,0.0022497187851518562
kapuze,0.0011248593925759281
prüfend,0.0011248593925759281
umblickte,0.0011248593925759281
sehen,0.0022497187851518562
wirklich,0.0011248593925759281
allein,0.0022497187851518562
wohl,0.0011248593925759281
kaum,0.0022497187851518562
obwohl,0.0022497187851518562
erfreut,0.0011248593925759281
posten,0.0011248593925759281
nie,0.0022497187851518562
verlassen,0.0011248593925759281
zurückkam,0.0011248593925759281
konnte,0.003374578177727784
informationen,0.0022497187851518562
geben,0.0011248593925759281
sechzehn,0.0011248593925759281
jahre,0.0011248593925759281
lang,0.0011248593925759281
gesammelt,0.0011248593925759281
nützlicheres,0.0011248593925759281
wiedersehensgeschenk,0.0011248593925759281
endlosen,0.0011248593925759281
geschichten,0.0011248593925759281
ungemütliche,0.0011248593925759281
askaban,0.0011248593925759281
geblieben,0.0022497187851518562
ja,0.0022497187851518562
zeigte,0.0011248593925759281
ersten,0.0011248593925759281
mal,0.0011248593925759281
anflug,0.0011248593925759281
ungeduld,0.0011248593925759281
schon,0.0011248593925759281
immer,0.0011248593925759281
großer,0.0011248593925759281
zauberer,0.0011248593925759281
o,0.0011248593925759281
verächtlich,0.0011248593925759281
geschnaubt,0.0011248593925759281
weiß,0.0011248593925759281
darum,0.0011248593925759281
saß,0.0022497187851518562
neben,0.0022497187851518562
schwester,0.0011248593925759281
dunklen,0.0011248593925759281
haar,0.0022497187851518562
aussehen,0.0011248593925759281
ebenso,0.0011248593925759281
wenig,0.003374578177727784
ähnelte,0.0011248593925759281
haltung,0.0011248593925759281
gebaren,0.0011248593925759281
starr,0.0011248593925759281
teilnahmslos,0.0011248593925759281
dasaß,0.0011248593925759281
beugte,0.0011248593925759281
worte,0.0011248593925759281
verlangen,0.0011248593925759281
nähe,0.0011248593925759281
ausdruck,0.0011248593925759281
bringen,0.0011248593925759281
höhere,0.0011248593925759281
freude,0.0011248593925759281
wiederholte,0.0011248593925759281
kopf,0.0011248593925759281
seite,0.0022497187851518562
geneigt,0.0011248593925759281
musterte,0.0011248593925759281
vergnügen,0.0011248593925759281
gegangen,0.0011248593925759281
hast,0.0011248593925759281
weitergeleitet,0.0011248593925759281
denkt,0.0011248593925759281
kreacher,0.0011248593925759281
wischte,0.0011248593925759281
handrücken,0.0011248593925759281
zauberstab,0.0022497187851518562
nimmer,0.0011248593925759281
gehören,0.0011248593925759281
zorn,0.0011248593925759281
entlud,0.0011248593925759281
grüner,0.0011248593925759281
lichtblitz,0.0011248593925759281
erfüllte,0.0011248593925759281
gefängnis,0.0011248593925759281
hob,0.0011248593925759281
gebrechlichen,0.0011248593925759281
alten,0.0011248593925759281
körper,0.0011248593925759281
fiel,0.0011248593925759281
leblos,0.0011248593925759281
hinab,0.0011248593925759281
kehrte,0.0011248593925759281
fenster,0.0011248593925759281
zurück,0.0022497187851518562
bändigender,0.0011248593925759281
wut,0.0011248593925759281
strafe,0.0011248593925759281
spüren,0.0011248593925759281
bekommen,0.0011248593925759281
guten,0.0011248593925759281
grund,0.0011248593925759281
zurückzurufen,0.0011248593925759281
stimme,0.0011248593925759281
schlammblut,0.0011248593925759281
beseitigen,0.0011248593925759281
stimmte,0.0011248593925759281
eigentlich,0.0011248593925759281
draußen,0.0011248593925759281
öffentlichkeit,0.0011248593925759281
vergibt,0.0011248593925759281
denjenigen,0.0011248593925759281
vergangenheit,0.0011248593925759281
treuesten,0.0011248593925759281
gedient,0.0011248593925759281
herablassendste,0.0011248593925759281
art,0.0011248593925759281
großartig,0.0011248593925759281
nachahmte,0.0011248593925759281
gesprochen,0.0011248593925759281
nächsten,0.0011248593925759281
zerzaustem,0.0011248593925759281
gesicht,0.0022497187851518562
blutig,0.0011248593925759281
ansonsten,0.0011248593925759281
unversehrt,0.0011248593925759281
aufgesprungen,0.0011248593925759281
sah,0.0011248593925759281
begierig,0.0011248593925759281
wogender,0.0011248593925759281
brust,0.0011248593925759281
kämpfte,0.003374578177727784
dachte,0.0011248593925759281
unerklärlicherweise,0.0011248593925759281
glühenden,0.0011248593925759281
blick,0.0011248593925759281
gefühl,0.0011248593925759281
lippen,0.0011248593925759281
erhoben,0.0011248593925759281
kniete,0.0011248593925759281
blieb,0.0011248593925759281
beide,0.0022497187851518562
ohnmächtig,0.0011248593925759281
geworden,0.0011248593925759281
bewusstsein,0.0011248593925759281
lasst,0.0011248593925759281
brauche,0.0011248593925759281
hilfe,0.0011248593925759281
kalt,0.0011248593925759281
stellte,0.0011248593925759281
hilfsbereit,0.0011248593925759281
ausgestreckte,0.0011248593925759281
hand,0.0011248593925759281
zurückzog,0.0011248593925759281
gleichzeitig,0.0011248593925759281
kalter,0.0011248593925759281
hass,0.0011248593925759281
stand,0.0011248593925759281
geschrieben,0.0011248593925759281
herumschlängelten,0.0011248593925759281
duckten,0.0011248593925759281
